sample_id,reference,hypothesis,wer,cer
0,"Vuodieke die yine yɔmʋ ta Ŋmɩŋ dɩ keŋ vʋarɩ wa ʋ wa bɩrɩŋ wa tɩ Yɔmʋtieŋ sɩɩtɩ ta bie ʋ dʋŋŋʋ; die gbaŋ vuodieke dɩ sɩna ʋ gbaŋ ta Masia dɩ keŋ vʋarɩ wa, ʋ wa bɩrɩŋ wʋnɩŋ Masia yɔmʋ.",vuodieke die yine yɔmʊ ta ŋmɩŋ dɩ keŋvʊarɩ wa ʊ waa bɩrɩŋ wa tɩ yɔmtieŋ siɩtɩ ta bie ʊ dʊŋʊ dɩa gbaŋ vuodieke dɩ sɩna ʊ gbaŋ ta masia dɩ keŋvʊarɩ wa ʊ waa bɩrɩŋ wa wʊnɩŋ masia yɔmʊ,0.45,0.1429
1,"Paliti die dɩ yiŋŋi balɩ ba dɩ, “Wudieke n maagɩna wa wo tarɩgɩŋ.”",pali tɩ die dɩ yiŋiŋ balɩba dɩ wu dɩke n magɩne wo wo tarɩgaŋ,0.7692,0.18
2,"Manɩŋ Jemisi, vuodieke dɩ yine Nabidie Ŋmɩŋ tʋntʋntʋ aŋaŋ tɩ Yɔmʋtieŋ Yisa Masia tʋntʋntʋ, n waasa Izara buuriŋ baŋ aŋaŋ bale wo dɩ jaasɩna dʋnɩa mana ma wa mana.",manɩŋ jemisi vuodieke dɩine naabɩ die ŋmɩŋ tʊntʊntɔ aŋaŋ tɩ yɔmʊtie yisamasia tʊtʊntɔ n wasa izara bʊʊrɩŋ baŋ aŋaŋ balee woŋ dʊjasɩa dʊnɩa mana ma wa mana,0.5172,0.1679
3,Ama die dɩ ka yʋasɩya ta bʋlɔgɩsɩkpeŋkpɩɩŋ die dɩ nɩga nyɩna ŋmɩŋ pɔsɩŋ chaaŋ a keŋ sʋʋna mʋgɩkpɩɩrɩ sʋŋ.,ama die di ka yuasiya ta bi lɔgsɩ kpiŋkpieŋ di dɩ niga nyina ŋmuŋpɔsiŋ chaaŋ a keŋ suu na mugɩ kpiirisuŋ,0.7368,0.2326
4,"Die ba wa daa dieke nine dɩ yuorine wo ka bule me a balɩ wa dɩ, “Hʋʋ Ŋmɩŋ nɩŋŋa dɩ baa fʋ balɩ wa wusie. Tɩ sɩba a baarɩ Yisa yiwo tʋntʋmbɩatɩ tieŋ.”",dieba wʊa daa dieke nɩɩne dɩ yuorine wo ka bu lieme a balɩ wa dɩ hʊ ŋmɩŋnɩŋŋa dɩ ba fʊ balio wusie dɩ sɩba a baarɩyisa yuotuntʊŋgbietitieŋ,0.5758,0.1875
5,Dɩɩ yi tɩ sɩɩ sɩba wabɩtɩ ta nɩ hagɩrɩŋ tɩ ŋaaŋ yaa sʋgɩfɩalɩŋ mɩŋ. Die wɩa tɩ Ŋmɩŋ jʋʋsɩŋ yiwo dɩ nɩ yi vuovɩɩna a kpatɩ.,dɩ yi ti siisiba wɔbɩtɩ ta nɩ hagɩrɩ tɩ ŋaaŋ yaa sʊgɩfɩalɩŋ mɩŋ die wɩa tɩ ŋmɩŋ juusi nyɩwa dini yi vʊ vɩɩna akpatɩ,0.5385,0.1895
6,"Die wɩa vuodieke mana dɩ benne Masia ma ka yie bɩaŋ; ama vuodieke dɩ yinene bɩaŋ ye ka sɩba Yisa dɩ yine vuodieke, ta ka wɔŋ sɩba wa.",die wɩ vuodieke mana dɩ bene maŋsɩ ma ka yie bɩaŋ ama vuodieke dɩ yinene bɩaŋ ya ka sɩba yisa dɩ yine vodieketa ka woŋsɩba,0.3214,0.0971
7,"Saŋka mi dɩ keŋ tʋgɩ, ʋ nan yi ʋ saŋkʋ a kpatɩ ta lagɩsɩ jadieke ʋ naanna mana ta a bie ŋmɩŋsikpeŋ aŋaŋ tɩŋgbaŋka gie me mana ta vaa Masia yi a sikpeŋtieŋ.",saŋka mɩ dɩ keŋtʊgɩ ʊ nan yi ʊ saŋ kʊʊ a kpatɩ ta lagɩsɩjadieke ʊ naanna mana ta a bie ŋmɩŋsɩkpeŋ aŋaŋ tɩŋgbeŋke gieme mana ta vaa man sia yi a sɩkpeŋtieŋ,0.5152,0.0992
8,"Ta daa wʋnyɩ die dɩ bie mi ba wasa wa Zakiyosi, die ʋ yiwo lampotuosiriŋ jakʋʋŋ, ta die yaa nyinti pam.",ta daa ʊ nyɩ die dɩ biemi ba wasa wa zakiyusi die ʊ yiwo lemfuotʊsɩrɩŋja kʊʊŋ ta dɩe yaa nyɩntɩ paŋ,0.5238,0.2125
9,"“Wusie maŋ bala nɩ, vuodieke nɩŋ mana dɩ tuone vuodieke nɩŋ mana n tʋnna wa tuo wo n gbaŋ, ta vuodieke nɩŋ mana dɩ tuone mɩŋ, tuo wo vuodieke dɩ tʋna mɩŋ wa mɩŋ.”",wusie maŋ bala nɩ vuodieke nɩ mɔna dɩ tone vuodieke nɩ mana n tʊnna wa to wo n gbaŋ ta vuodieke nɩ mana dɩ tone mɩŋ to wo vuodieke dɩ tʊnna mɩŋ wa mɩŋ,0.2941,0.0894
