sample_id,reference,hypothesis,wer,cer
0,alolo ɔbo la kɔ no ɛfuɛ boa ko owu edze afɔku owue anyamado uvi di ya no ayɛto ka zɔ ɔlɔdi,alʋlʋ ɔbʋ lakʋ ɔnʋ ɛfʋɛ bʋakʋ owu edzafokʋ owue anyamadʋ ʋvidi yanaxa ɛtʋ kazɔlɔdi,0.9048,0.2571
1,"adʊ use dini, alʊɛdɩnɩ kɔ nʊ ɛfɛ ɛdɩnɩ adʊ awu fue, ɛdɩnɩ adʊ awu vɛ, ɛdɩ adʊ avavlitsɛ, kʊ adʊ use dɩnɩ yɛ, kʊ akaɣa use",adu usedini aladini kɔnɛfɛ aduni adu awufui ɛdini adu awuvɛ ɛdini adu ɛblɔ kadu usedini kaka usedi,1.0,0.4066
2,"Alʋ ɛdini ya n'udzali Ɛdi adʋ aɣla n'idu, ɛdi adʋ aɣla nʋ akpɔ Atɛ ɛkʋyɛ nʋ atami alɔ, ɛdi zati n'atam'idu kʋ atɛ abidzo dʋ n'atamidu",alɛdini yanu dzɛli ɛdi aduala nidu ɛdi adu ayua nu akpo atɛ kuyɛnu atamialɔ ɛdizetinatɛ midu ku atɛ abidzo binatɛ midu,0.7692,0.1782
3,owʋ alɔ kʋ owʋalɔɛ eƒiodu Kʋ alʋme ivʋe abehui ɛfʋɛ kasɛsɛ aba owʋetʋ kama kɔdsu ɛsɛ kadzɔ iv owʋe kakɔnaeme ivʋebi ɔyanʋdue kalʋɛdini kɔ kakakɔsʋ nukunu sɛ kadzɔɛ,owu alɔ kʋ owu alɔɛ efiodo kʋ alɔ mivʋ ɛ abɛ wiɛfʋɛ kasɛsɛ aba owuɛ tʋ kaba kɔsɔɛ sɛkʋ lekajɔ owu kakɔnɔ mivʋ bi ɔyani ʋdʋ kʋ alɔɛ dini kɔ kakɔ sʋ lʋkʋ lʋ ose kajɔɛ,1.0714,0.3235
4,Alʋ ɛdini kana ɔlʋ kʋ ayɔ gagba dini lɛ kʋ ɛkʋti kʋ akana ɔlʋ ɛdini adʋ awʋfue nʋ ava edini adʋ awʋvɛ nʋ ava kʋ alʋ ɛdini akɔ ɛkɔmɔtɔ ofue nʋ ava kʋ ekʋ uti kʋ akana ɔlʋ iwui dini bibi dʋ atmi ava nʋ ɛfɛ,alɛdini kanɔlʋ kʋ ayɔ gagbadini lɛ kekuti kakanɔlʋ ɛdini adawʋ fʋe nava ɛdini adʋ awʋvɛ nava ɛdini akɔkɔtɔ fʋe nava kekuti kakanɔlʋo ɔɔ,0.8478,0.3354
5,Ɛmɛ lɛ ɛfʋɛdɩ kʋ na mʋ asɩ ɛla dɩnɩ akewele ɛkʋRɔba wɛ li la kʋ akewele ɛkʋɛ,ɛvɛlɛ ɛfuɛdi kunamusa asiɛlla dumu akewule gaze nɔkune nakunamu rɔbawuɛ rɔbawuɛ la kakewule kuelali ɔkudi nebikɔlu ku,1.0,1.0
6,"Edɩnɩ dɩ li la nʋ tɛ kʋ ɛtʋfue alʋ tsʋe Ɔsɩ kʋ ɔdʋ atamɩlɩ yɛ mʋa, ozǝtɩ nʋ uluvi dɩ bʋa kʋ adʋ aɣʋ ʋblɔ nʋ uti nʋ ɔwɛ nʋ ava Ɔsɩ yɛ mʋa akɔ tsɩtsɩ kʋ kɔpʋ ɔnʋlɩ dɩ yadʋ nʋ ɛkplɔ yɛ bʋakʋ ɔlɛ nʋ ayʋ ɛtʋ ava Uluvi ɛfua emlɩ ya nʋ atamɩlɩ kʋ atanɩ emʋ nʋ ʋwɔ ɣafa nʋ ava",ɛdi nililaŋtɛ kʋ ɛtufʋa lukyue ɔsiɛ kɔdʋ atamili mʋa ɔzati nʋ ʋlʋvi di bʋakʋ adʋ awʋ ʋblɔ nʋ ʋti nʋ ɔwɛ nava ɔsiɛ mʋa akɔ kyikyi kʋ kɔpʋ nʋ ʋlʋde yɛdʋ nɛkplɔ yɛbʋ akɔlɛ nʋ ayɛtʋ ava ʋlʋvi ɛfʋa emli yanatamili kʋ atani emʋ nʋ wɔ afa nava,0.7344,0.2794
7,"Alʋka dini ʋsealʋ dʋ usedza kʋ akamʋ inʋ Ɛdini kɔnʋ ava, ɛdini adʋ ɛkʋvɛ, kʋ adʋ ɛkʋfue yadʋ kʋ adʋ ʋblʋ awʋ, ɛkʋwɛ yadʋ kʋ awʋ Kʋ awɛgɛbi azɛ ɛkʋxɛsɛ dʋnʋ ayili kʋ ɔkaxɛsɛ",ɛdɩnɩ alʋkadɩnɩ ʋsealʋ dʋ ʋsedza kakamʋ ɩnʋ ɛdɩnɩ kɔnava ɛdɩnɩ adʋ ɛkʋvɛ kadʋ ɛkʋfʋ yɛdʋ kadʋ ʋbrʋ awʋ ɛkʋwɛ yɛdʋ ka awʋ ɔgɛbɩ aza ɛkʋɣɛsɛdʋ nayili kɔkaɣɛsɛ,0.7941,0.25
8,Ɛtʋfue alʋ wani lanʋtɛ kakpɔ ʋtokʋ adʋ awʋ ɔvɛ nʋ ava ɛdigbo ayavɛ kʋ ɔyakpɔ ʋtokʋe adʋ ɔwɛ nʋ ʋti kʋ akakpɔ ʋtokʋe atani aya ɛvʋ nʋ ɛmɛ alʋ poo dʋ ʋdʋ kʋ aka kɔsʋ ma nʋ alɛnɛ kʋ akakpɔ ʋtokʋe,ɛtufue alʋ wanɩ lanʋ tɛkakpɔ ʋtoku adʋ awʋ ɔvɛ nʋ ava edigbo ayavɛ kayakpɔ ʋtokue adʋ ɔwɛ nʋ uti kakakpɔ ʋtokue atanɩ ayɛvʋ nʋ ɛmɛ alʋ poo dʋ ʋdʋ kakakɔsʋ ma nʋ alɛnɛ kakakpɔ ʋtokue,0.5366,0.0987
9,Alɛ ɛku vɛ dunu uti kɔluwui ni di ku ɔyeli nu ayava ku akɔ agbavlɛ adu awu ofue adu ufa nu uwɔ kpɔlusi dibi ya nu itsɛdi akɔ ɛkɔtɔ ɔwɛ ku akɔ ɛku du nu unuku,alɛ kʋ vɛ dʋnʋ ʋti kɔlʋwɩnɩ de ɔyɛlɩnʋ ayava kakɔ agbavlɛ kʋ adʋ awʋfʋɛ adʋ ʋfa nʋ ʋwɔ kpolisi dɩnɩ biya nʋ ɩtsɛdɩ kakɔ ɛkɔtɔ ɔwɛ kʋ akɔ ɛkʋdʋnʋ ʋnʋkʋ,0.8056,0.3525
10,Ɛmɛ lɛ ɛfuɛdi alʋ Yovo di keyi ɛkʋ gɛdɛɛ Okeyi kusi ka atani ayɔkele bagi Okeyi ɔ tʋnʋgavi nʋ ɔ ɛkʋ gɛdɛɛ nʋ ɛkplɔ ava,ɛmɛlɛ ɛfuɛdialʋ yovodi keyi ɛkʋ gɛdɛ wokeyi kusi katani wokele bagi wokeyi ɔtʋnʋgavi nʋ ɛkʋ gɛdɛ nʋ ɛkplɔ ava,0.64,0.0851
11,"Ɛmloɖini ana aɖʋ ɔbɛli,atani azɛ bokiti n'ahla, atani akɔlu keno Ivieɛɖini azɛ kpolu n'ahla, ɛɖi aɖʋ ɛkɔtɔ",emlodi ni ɛna du obeli ata ni azɛ bokiti naɣla ata ni akɔlu gemivi ɛdini azɛ kpolu naɣla ɛdi aduɛkɔtɔ,0.9412,0.2118
12,Tʋ kɔdzɩnɩ wa aba suku dɩ li kʋ abakakɔsʋ evidzenɩ kʋ akɔsʋ yɛ bʋa mɛ aka yɛ atike Alʋtɛ ɔlʋkɔsʋ ɔ evidze wanɩ dɩ bɩ edigbo evidze nʋ aɣla la kʋ ɛdɩ bɩ zati nʋ ɩtsɛdɩ kʋ ɔkeŋlo ɛkʋ nʋ ɛkplɔ yɛ ava kʋ ɔkeŋlo atike ka ma kʋ kabakʋtʋ nyuǝ kʋ ɛtʋ kɔbese ma,tso kɔdzi niwa aba sukudili kaba kakoso ewidze ni ko akɔso ɛbuamakaya atike alote ɔlukɔso ewidze animi edigbaze ewidze nala kakedibize tinitsede kokeŋlo ɛkunɛkplafa kokeŋlo atike kama ko kaba tunyia ketu kobesema,0.9455,0.3232
13,Ɛvɛ lɛ alu ɔfue sɔŋ la za uti alu ɛfua aza uti nu itsu kika di wu akatulu owu di ma atami owu ma nu ayɛtu  Yovo wani bi ɛkplɔ ma nu atamiili Ku ɛkplɔdini atupa nu ɔfidini ma nu ɛkplɔ yɛ ava ku ezati katɛ ulu,ɛvɛlɛ alʋ fuesɛ ɔlazeti alʋɛfʋa azeti netsiwu keke adiwʋ akatʋlʋ ka owʋdi ma atami owue ma nayitʋ yovo wani bi ayikplɔ ma natami eli kɛkplɔ dini atʋpa nʋ ɔfidini ma nʋ ɛkplɔ ava kʋzeti katʋlʋ,0.766,0.2687
14,"Ɔsɩ ɛla dɩnɩ kɔ nʋ ɛmɛ, akɔ nʋ kpafo kʋ akewele ɔɣɔkʋ kʋ edogbo adʋ ɔvlɛawʋ kʋ ewu duku nʋ ɛlʋ kʋ ayɔ aɣla yɔyǝdu nʋ ɛlʋ kʋ edigbo awʋwɛ kʋ ewu dukuwɛ kʋ edigbo bɩ kewele kɔpʋ nʋ gagba li kʋ atigo lɛ nʋ atamɩɛtʋ nʋ bokiti nʋ rɔba botitinɩ",asiɛladini kɔnɛmɛ akɔnu kpafo kakewele ɔku kedigbo adɔ vlawu kewu uduku nɛlu kayɔ aɣlayɔyɛ du nɛlu kedigbo adɔ awuɛ kewu uduku wɛ kedigbo bi kewele kɔpu nu gagbali ku atigo lɛnatamiɛtu nu bokiti nu rɔba bokiti ni,0.9216,0.2246
15,"Alʋɛdɩnɩ dʋ ɛfʋɛ, ito dʋ atamidu ; apʋ adʋ bagɩ n'atamidu  Sno bɩ otsue n'ɛfʋɛ ",alɔde neduɛfuɛ itoodu atanidu atinadu bag natanidu snoo be etsue nɛfuɛ,1.0,0.322
16,Not clear atani adu awu kuaka la Aka la ɔɔ ata mi ala Ɛdini ayɔ ɛwu duku nɛ luKu ata tsi yɔ ɛvlɛ yɔ wu nu li,ɔsi wli ɔsi vidi ni atanadua wu ku akala akala ɔ atamiala ɛdini ayɔ ɛwu duku nɛlu ku atsatsi yɔ ɔvlɛ owu nuli,0.8148,0.2439
17,"Alʋɛdìní la ntɛ kʋ atadza, atani adu awu ɛlu ɛlu ɛlʋ kʋ ɛdigbo adu ugbatawla kʋ azɛ ʋwovi 'u nʋ aɣla kʋ atani azɛ ɛtu",aluede ni plante katadza tanadu awueluelu keliguadu guataula kaze uwuoviu nu aɣla katadza ze etu,0.96,0.3516
18,Alukpɔ ɛkutɛ dini dʋ ɛfuɛdi kʋ akakpɔ ɛkutɛAtani ama utu ɔnuli ni nʋ ɛfuɛƐdini akemuɣanavaƐdini bi yanu itsu diava kʋ akanɔlʋ nɛfuɛ,alu kpɛkutɛdini du ɛƒuɛdi ku aka kpɛkutɛ atani ama utu ɔnuli ni nu ɛƒuɛ ɛdini yakemua nava ɛdimi bi yanu itsudiaʋa ku akanɔlu nɛƒuɛ,0.8636,0.1273
19,Iwo ni tsue nʋ ɔbava nʋ ɔfuta tsɔdi lι Iwowani iwo ɛfua ɔsi edigbo uluvi edigbo kʋ kʋsi ya nʋ iwowani ayʋ itsɛdι Ɛdi iwo ɛfuani yɛ ɔsidι dʋ ayʋ iili kʋ lakɔ ɔvlɛ vɛ,iwo nitswe nʋ ɔbava nʋ ɔfʋta tsɔdili iwo wani iwo ɛfʋa awʋsi ɛdibo ʋlʋvi ɛdibo kʋ kʋsi yanʋ iwo ayɔ itsɛdi iwo ɛfʋaniɛ ɔsidi dʋ ayeli kʋlakʋ ɔvɛvɛ,0.7429,0.2231
20, Amu ɛmɛa alevidini du ʊdzɔli akagbɔ sika alevi wani azɛ kusi naɣla ɛdini ewu ɛkuvɛ nu aɣla kalevi efua kakɔsu ɛsɛ adi kalua ayɛlʊtɛ aleviwani azɛ kataya naɣla,amɛmɛa alevi dini dʋ odzoli kakagbɔ sika alevi wani azɛ kʋsi naɣla ɛdini ewu ɛkʋvɛ naɣla laka alevi ɛfʋa bi ya nɛfɛ kakɔsʋ ɛsɛ adikalʋɛa ɛtɛ alevi wani azɛ akataya naɣla,0.75,0.2137
21,"Ƒome l'ekualɛ n'ɛvɛ: kʋ osɩɛ zati nʋ owuava kazɛ ay'evidze n'aɣla , k'ɔnyɩɛ bɩ ya n'ayɛtʋ  Atadza akɔ ɛkɔtɔ, kayɔ ɔvlɛkɩka dɩ yɔ kɔdʋ nʋ atanɩ ayidue Ukpidɩ ya n'atamɩalɔ ɔkɔlʋ n'atamɩalɔ, kʋ owudɩ bɩ ma , k'owudɩ bɩ ma n'atamidu",kʋmɛ likʋ alɛ nɛvɛ kʋ ɔsi yezɛ tinʋ owʋ ava kaza evidze nala kɔnyɛ bi yana ɛtʋ atadza dʋ ɛkɔtɔ kayɔ ɔvlɛ kikadi ɔkɔdʋ nʋ atani ɛdʋ e ʋkpidi bi yanatani alɔ ɔkɔlʋ nʋ atani alɔ kʋ owʋ dibi ma yipo wɔ dibi ma natani edʋ,0.9487,0.2832
22,"Uvi di bi la ntɛ di yɛ kasɛ ku motoKi tsuwu di bi sua nu motoɛ Kɔ wu di ni bi maƆya nɔɔ ɔma nɔɔ itsɛdi ku akɔ ɛkɔtɔƐkɔtɔɛ bua kua kɔ mua ɔlɛ ublɔ, ɔtili su kɔ ya ba",uvidi vilɔni tɛdiɛ kase komoto kitsu udidi tsanomotoe kowudi nima ɔyanɔ ɔmanɔ itsɛdi ko akoɛ kɔtɔ kɔtɔɛ bakakoɛ ma ɔlɛ ko oblɔ mɔtiliso kɔyaba,0.95,0.2419
23,"Ɔsɩ ɔsɩ ofue azɛ ɩbɔtsɔ nʋ aɣla kʋ ɛkʋwɛ dʋ ayili kʋ bodobodo bɩ dʋ plɛtɛ li Kʋ namʋ itsede ɔvɛ nʋ ofue bɩ ɛtsue, ɛna nʋ ofue yɛ, ɛfʋa nʋ ɔvɛ yɛ kʋ kɔfɛ ayʋ ʋwʋ bɩ otsue",ɔsi ɔsi ofue azɛ ibɔ tsɔnaɣla ku ɛkuwɛdɔ ili ku bodobodo bi ɔdu plɛteli ku namu itsede ɔvɛ nu ofue bi etsue ɛna nu ofue ɛfua nu ɔvɛ ku kɔfɛ ayu owo bi otsue,0.7179,0.2403
24,"Ɔbɛ kɩka k'atʋ agba nʋ ɔbɛ yɛ ava, k'alʋ asɛsɛ nʋ agba yɛ mʋa ayava alo alʋ ya nʋ agba yɛ ava k'owudɩ bɩ mʋa ɔma n'uti",obekeka ka ato agba nobava kalo asese no agba ema ayawa aloya no agba ava kowiriwi ma omanuti,0.8519,0.3563
25,"awli wani azati nʋ itdza itdza kikaa, awli ɛlʋɛlʋ, ɔwlikataya kika kika, atani akɔ ɔvlɛ ɛlʋɛlʋ, akɔ sika kɔtɔ kʋadʋsika ɛkʋ dʋ nʋ ɛmɔ nʋʋƒa ni",awliwani azɛtsi nidza idzakika awli ɛluɛluɛluɛluɛlu ɛwli kataya kikakika ataniakɔ vlɛ ɛluɛlu akɔ sika kɔtɔ adu sikayo ɛkodu nɛmɔ nɔwufani,0.8462,0.292
26,"Ɔsɩ ƴɛ zati nʋ iƙpoƙu li t' aɖʋ awʋ wɛ, t' eƙele ɛlɔNʋ aƴʋ ɛƙplɔ ƴɛ ava mʋa,ƙɔpʋ ɖɩ lɛ ƙʋ ivi ɖʋ aƴili,ƙʋ ɔƙa ma ɩfɔ nʋ ɛmʋnʋƙpaƙo ƴɛ",ɔsiɛzi atini kpokuli aduawuwɛ kekeleɛlɔ nayikplava mua kɔpudi lɛ ku ivididuayili ku ɔkamefɔ nu ɛmunukpakue mua ayadu,0.9667,0.5253
27,"evidzedɩ ya nʊ itsɛdɩ, nʊ edini yɛ, ya mʊ ɔgba ɛlʊɛlʊ ɛdɩnɩ dʊ iko li, ɛdɩnɩ lɛ ugbata,",evidzedi yanʋ etsɛdi nʋ edini yi ɔgba yamʋ ɔgba ɛlʋɛlʋ ɛdini dʋ ikoli ɛdini lɛ ʋgbata,0.8333,0.2879
28,"Ɛmɛbi lɛ kɔndzi, dɔktɛ zati kʋ asɩyɛ bi zati Kʋ ɔke yi ɛsɛyɛ kʋ ɔkazɔfa kʋ ɔbamʋ alɛ ɛsɛlɛ lakʋ ɔba kʋtʋ kayi atike Atikeni kɔ ɛkplɔ, ikpokʋ dɔkta adʋ awʋfueƆsiyɛ adʋ awʋ pɩapɩa kʋ azɛ bagiwɛ, kʋ ɛkʋni kɔnʋ edinie",mɛbi nɛkɔ dzi ɔdɔkta ɛzatsi kɔkudi ɛsɛ tawɔfa kabamuɛ nɛbakɛsɛ nɛba kɔba sukayatsike atsike nekɔ ɛkunɔ ikpoku dɔkta adua ufe ɔsɛ adua ubiabia kazɛ bagiwɛ ɛku neku nɛdini,0.9512,0.4176
29,"Ase no aluvi ɔbu de ya kaka zɛvi kɔnu wa Ase wanw ayɔ uwi yɔ kele awu do no uti, ko atame ado awuvɛ no ava ko azɛ itsu Uluviwa be nado awu ko atame ado trɔza no uti ko aka zavi kɔnu wa",ase nʋ alʋvi ɔbʋde ya kakazɛve kɔnʋ wa ase wanɩ ayɔ ʋwi yokele awʋ dʋnʋ ti katɛmɩadʋ awʋvɛ nava kazetsu alʋvi wabɩ nadʋ awʋ katɛmɩadʋ trɔza nʋ ʋti kakazɛve kɔnʋ wa,0.8409,0.2571
30,ɛmɛ bi lɛ edini k'awi no ofue kò alɛ ɛkò ta ni sɔŋ n'edini yɛ ivu to n'ava k'ɔka lò n'edini yɛ ikpoku ma no edini yɛ keka kò sude bi do ayili kpe kpe kò ɛkplɔ ma no udunu li kò ivlitsɛ ya du n'ava,ɛmɛbilɛ edini awi nʋ ofue kʋ alɛ ɛkʋtani sɔnʋ edini ivʋ tsʋna wɔkɔ kalʋ nedini ikpokpo manʋ edini keka osude bi dʋɛle kpʋkpee kʋ ɛkplɔ manʋ ʋdʋ winli kʋ evletshɛ yadʋ nava,0.8043,0.2897
31,"Aalʋɛɖini lanutɛ aaza nʋ ɔrga kikadi bua kuu ekele lɛ kuu ɔlɔɛɖigbo kakpɔ ɔrganyɛƐɖi azɛ ɔsɛhako koka ɖʋ unɔ ɖu n'aili,ku ɔsi ɛtʋfue tsiɖi bi azɛ giŋta koka pɔ",alʋ dini lanʋtɛ azanʋ ɔga kekadi bʋakʋ ekele lɛ kʋ ɔlʋ edigbo kakpɔ ɔganiɛ ɛdi azɛ ɔsɛxakʋ kɔkadʋ nɔdʋnɛli kɔ ɔsi ɛtʋfʋe tsidi bi azɛ gitayi kɔkakpɔ,0.8276,0.2713
32,"Ɔsɩ ɛwlʋdɩ akakpɔ ɛwʋnyɛ Alʋɛdɩnɩ bɩ adʋ awʋ ɔvɛ, ɛdɩnɩ adʋ awʋfue, ɛdɩnɩ bɩ adʋ ɔyɔmɔawʋ Uvi dɩnɩ bɩ atanɩ nʋ ʋvatsɛ yɛ nʋ ɛfɛ, ata atanɩ adʋ awʋwɛ sɔŋ la kʋ atanɩ dʋ udu yɛ kʋ akakɔsʋ ma",nɔ ase ɛwlɔde akakpɔ ɛwɔnye alɔ deniado awɔve deniado awɔfui denibiado ɔyɔmɔ awɔ wuvidenibi atɛndo batsinaƒe ata atɛnado awɔɛ sɔŋ dakatɛndodoe kakakɔsuma,0.9487,0.415
33,ʊvɩ dɩ lanʊtɛ dʊ Shatawalɩ nʊ Stobɔyɩ atamɩ ɩlɩ Stobɔyɩ adʊ awʊ ɔwɛ ʊtɩ nava kʊ Shatawalɩ bɩ adʊ awʊ ovɛ katʊ tsɩtsɩ ɔwɛ Ʊvɩ dɩ akɔ ɔvlɛ kadʊ awʊ ofʊe nʊtɩ kazɛma nawla katanɩ kasɛmɔ kaka wlɛsɛdʊ,uvidi lantɛ du shatawali nɔ stombɔɛ atamili stombɔɛ adu au ɔwɛ utinava kɔ shatawali bia du au ɔvɛ katuti ki ɔwɛ uvidi akɔvlɛ au kadu osue nuti kazɛmanala katuti ki katani kasɛmɔ asɛwlɛsɛdu,0.9211,0.3861
34,"ɛmɛ lɛ ɛbʋɛlɛ dza kʋ ɛvidzɛ dini kɛ bʋɛlɛ, aka kpɔ ɔtsɛ, ɛdi ka kpɔ ɔtsɛ ɛdi azɛ itsʋ nʋ ala ka kpɔ ɔtsɛ kʋ ɛdibi ayɔ ala la katsi nʋ ɔtsɛ aɣa, kʋ alʋɛdini bi zanʋ atami ʋdʋ nʋ ɔtsɛ tʋ",ɛmɛlɛ ibueledza kʋ evidzedini kebuele akakpɔ ɔtsɛ ɛdi kakpɔ ɔtsɛ ɛdiɛ zitsu naɣla kakpɔ nɔtsɛ ɛdi bi ayɔ aɣla ala katsi nʋ ɔkpɛtsɛ ava alɛ dini bi zanʋ atamidʋ nɛkplɔdiɛ ayɛtʋ,0.7857,0.2643
35,"Ɔsɩ dɩ aɣa udzǝli kʋ oyevu ɛkʋ Ɔlʋ yɛ keyi ɔlɔkʋ, dzakali nʋ abula nʋ ɛfɛ Mɛ evidze dɩnɩ bɩ alʋ ɛkʋ nʋ ɛlʋ kasekpe fa nʋ ʋdza yɛ li Ayɛlʋtɛ ɔsɩyɛ oyevu ɛkʋ yɛa, kʋ ɔlʋyɩɛkʋ yɛ kɛwʋ ɛkʋ yɛ ka, evidze wani bɩ abakɔ kʋ aka kɔsʋ ma",ɔsidi aɣa udzali oyevuɛku ɔluɛ keyi ɔlɔku dzakali abula nɛfɛ mɛ evidzedini bi aluɛ ku nɛlu kase kpefa nudzieli atɛ ɔsieyevuɛkuɛa ku ɔluyekue kewu ɛkuɛ kaa evidze wani bi abakɔ nɛfɛ kɔtami kakɔsɔ,0.84,0.3314
36,Ɛmɛ asɩ kʊ aluvɩ zanʊ ʊtɩkpa kʊ owudɩ ma nʊ atamɩɛtʊ kʊ atanɩ zanʊ ʊtɩ kakɔsʊ ɛkʊ,ɛmɛlɛ alɛdini asi nalʋvi aza nʋ utikpa kʋ owʋdi ma nʋ atami ɛtʋ kʋ atani zanʋti kakɔsʋ ɛkʋ,1.0,0.4769
