sample_id,reference,hypothesis,wer,cer
0,1 KORINTO 10.,Oren,0.3333,0.07
1,Paulo Agba ba ní Kububitɛɔ su.,nema keblekwa topuya obweseliofu,0.1667,0.0434
2,"Mápɛ si mleze ní litumu me ní liboe lɛ ya su u, mɛ benemi ba, blɔ bakatsitsi ba petee beze ní liplɛ lɛ gi lɛ lizɛgbani ba ese e; lɛ ba pɔ́ bɛtsa axu la a.","Mɛ̀ pɛ̀ɛ́ sì mɛ̀ zɛ̀ nì lì tʊ̀mʊ̀ mɛ́, nì lì bwɛ̀ɛ́ lá sɔ́, mɛ̀ bɛ̀ nɛ̀ɛ́ m̀ì vá blɔ̀ bà kàtì sì bà bɛ̀tɛ̀, bɛ̀ zɛ̀ nì lὲ plɛ̀ɛ̀ lɛ̀ gè, lè zɛ̀ gbà nɛ̀ mbà ɛ̀sɛ̀, lè bà pɔ̀ bɛ̀tsà àkùlà.",0.0309,0.0047
3,"Lɛ ní aplɛ la ni axu la mɛ ɛ, Aya akpɛ kuni aki ba petee ŋwisi banɔ gi balɛ ni Mose kude e.","lɛnnè àplɛnnè akùlà mè, ayà akpè kùnè àkè bàpèté. Nwé sì bà nɔgì bàlɛnnè mòsèkùdé.",0.0416,0.0038
4,"Ba pɔ́ bɛŋa Ɔfuɛfuɛ nɔ mɛ bidɔŋaŋa lide tile; lɛ bɛŋwɛ Ɔfuɛfuɛ nɔ mɛ kuni yo; lɛ ese linu si bɛŋwɛ kuni yo ɛdɔni Ɔfuɛfuɛ nɔ mɛ liklakpɔ ɛlɛ gi lizeni ba kude me e, lɛ liklakpɔ ɛlɛ klɔ linu Kristo.",Ba bue nga ofofoe no me bi dongali detile. Lebe nwe ofofoe no me kunio. Leseli nuse be nwe kunie don ni ofofoe no me lekla kwe legeli zeni ba ku deme. Le lekla kwe le kloli nu Kristo.,0.0226,0.0026
5,"Gi liba lɛ mɛ nite kyɛ ɛ, Aya ɔ́mɔ isami ní bamɛ beglegle ba, ba bekpo ʋa bɛwɔ ní ɔyaya klɔ.",gbelegbele me ni teche aya omoyisami ni ba me begbelegbele. Babekpowa bewo ni oyaya ku,0.0385,0.0056
6,"Abla ɛ, eboa la ya ɛɛba la mɛ ŋwisi liŋwitsɛ ki blɔ, tɔ kukíki si blɔ ina nɛ izeni eboe zimizi na kude kiliɛ gi bɛbitɛ ɛ.","Able, ebwalanya, ebaleme nwiseli nwitɛkiblɔ, tɔku kikisi, blɔ inana izeni, eboezimizinakude, kiliɛgibeebitɛ.",0.0343,0.0019
7,Mlakíze babubitɛ ŋwisi kiliɛ gi bamɛ batɔ beze kinɛ ɛ.,mlaki zebobite musilili gba meba tobize kini,0.1,0.0077
8,"Ŋwisi kiliɛ gi bɛŋwlimi si i: “Banima beze kesea lɛ bɛŋa bidɔ ɔ, xe bɛŋwɛ bidɔ ɔ, lɛ bɛyɔ ɛ, xe bekpese abúvu na kuyo e.","O se ke le a gbe wũle mĩsi. Ba ni ma be ze ke sa, le be nga bi do, ke be wũle bi do, le be yue, ke be pɛ se a bu vu na ku yo.",0.0547,0.0047
9,"” Líma si kuwa kihasi ye ŋwisi kiliɛ gi bamɛ batɔ bɛwa kɛ kinɛ ɛ, xe ní liwe tile me e, bamɛ akpe avitaʋa ni tiata betse e.","lema se kowake hasiye, mose ke liagiba me batobe wake kine, kheni liwetileme bame ape avetavane twata bete",0.037,0.0031
