sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt",edua n adwena sɛmɔɔkɔ daa mmunu mu phone anam tablet,1.0,0.2889
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,mmaayewa nnan kɔ pɔ mmerɛ ne n enyin asosɔsɛm ntetewa ho nim,1.375,0.3182
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?",seɛdeɛnten nso wɔɔ mmaa yɛbaa da nsensua yɛhoa ne ne ba no,0.6923,0.383
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,yɛbɛɛɛ danii wɔ didienu mu,0.7143,0.36
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?",nsakraabɛɛn na wɔn a wɔn ho ka foɔ bepɛ sɛmɔ yɛ sɛneɛbɛyɛ a wɔrebɛtumi di electronic mfidie ayɛ adwuma yie,0.85,0.2927
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",baabɔ kasa ɛyɛn yie so anam akyi a ɛkyerɛ sɛn,0.6,0.3077
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,yehoɔ ahyia na asomfoɔ a wɔtena ase tete ne nkran,0.7778,0.2
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.",danhuase obetumi akansɛɛ yɛda wasesɛ brown ka wɔn a wɔkɔn ne baabi no odi abɔafoɔ resene bɛ obetumi aboa saafoɔ no asɛm tsia wasa abetumi ahyɛ wɔn kwan pa ara,0.7692,0.3071
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,tete wɔma wɔyɛhoa nteni so wɔ mu,0.7143,0.32
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,mmagyin hɔ afiri wɔn a wɔabuo wɔ animtea no nsam,0.6,0.3889
10,Dɛn na yebetumi ayɛ ama Yehowa ahu sɛ yɛpɛ sɛ yɛbɛka n’abusua no ho?,dan ne ebi tiri ayɛ ama yɛhoɔ ahoɔ ho sɛ yɛpɛse yɛbɛkan na bu sua no ho,0.8571,0.2642
11,"Nkɔso a mmofra nya wɔ Onyankopɔn som mu no, dɛn na awofo betumi ayɛ de aboa wɔn ma wɔadi ho ahurusi?",nkɔsoa mmɔfra anya wɔ nnyɛ akɔpɔn so mu no dan a ɔfoɔ bi tumia yɛde aboa a wɔredi ho ahosie,0.8095,0.3077
12,SƐNEA HONHOM FAM ADUAN A ƐYƐ DEN BOA YƐN MA YƐN HO KOKWAW,sane ahoho nwuramaduane a ɛredi bɔ aya ho,0.8462,0.5333
13,NEA NKURƆFO YƐE WƆ THE FINISHED MYSTERY NHOMA NO HO,neɛɛnkorɔfoɔ yie wɔde finis mystery ɛhoma no ho,0.7,0.2619
14,“Tie Nteɛso Na Hu Nyansa”,tientensoɔ ne ho nyansa,0.8,0.2105
15,W’abam Bu a Dɛn Na Wobɛyɛ De Agyina Ano?,wɔabambu a dan a wɔreyɛ deɛ gyina ano,0.7778,0.2333
16,SƐNEA YEBENYA AHOFADI ANKASA,sɛn ne a yɛbanyin ahoɔfɛ adi ankasa,1.5,0.28
17,Yehowa Bɛbɔ Wo Ho Ban—Ɔbɛyɛ No Sɛn?,yehuw a bebɛɛ ball ho ban ɔbɛyɛ ne sɛn,1.0,0.2963
18,Adesua Ho Nyansahyɛ,adesia ho nyansahyɛ,0.3333,0.0588
19,"Yɛn nuanom a wɔn mfe akɔ anim no, adɛn nti na Yehowa bu wɔn sɛ wɔsom bo?",enuan mu a wɔafi akɔ anim no ade nkyina yɛhoɔ abu wɔn sɛ wɔ sɔmbo,0.6471,0.2593
20,"NEA EDIDI SO YI, SƐN NA ƐBƐBOA WO MA W’ANI AGYE WƆ ASƐNKA ADWUMA NO MU?",neɛdidi soɔyi sɛn na ɛbɛbɔ wɔn wɔn ani agye wɔ asɛn kɛve,0.75,0.3962
21,"Ɔdɔ a Yɛwɔ Ma Yɛn Ho Yɛn Ho No, Yɛbɛyɛ Dɛn Ahyɛ Mu Den?",ɔdra a wɔwɔ mma yɛ anhu yɛ anhu no wɔreyɛ dan ahyiam dan,0.8571,0.45
22,NNIPA PII A WƆDE WƆN ANI HUI DII HO ADANSE,nnipa pii a wɔde wɔn ani hwen di ho adansɛ,0.3,0.1515
23,Nea Ɛbɛboa Wo Ma Woasua Ade Daa,neɛɛbɛbɔɔɔ wɔresua adeɛ da,1.0,0.48
24,Ma W’ani Nsɔ Mmarima a Wɔyɛ ‘Akyɛde Ma Asafo No’,maowani nso mmarima a ɔyɛ akyɛdeɛ mu asafoɔ no,0.7,0.1667
25,SƐNEA YƐBƐYƐ ADWUMA A ONYANKOPƆN DE AMA NE NKURƆFO NO,saneɛ a ɛbɛyɛ adwuma a ɔnyɛnko pɔɔde ama ne nkrɔfoɔ no,0.6,0.1818
26,"Awofo, Moreboa Mo Ba Ama Wanya Nkɔso Abɔ Asu?",awofo mmɔɔboa mmoba amonnwa nkɔsoɔ abɔɔso,0.8889,0.3143
27,"Ebinom kyerɛ sɛ, nsɛm a Bible ka no, ɛne nhwehwɛmu a nyansahufo ayɛ no nnansa yi no nhyia. Wɔn a wɔka saa no, ɛte sɛ nea wɔnte nea Bible no ka no ase papa.",ebinom kyerɛ sɛ nsɛm a baabɔ ka no ne nhwehwɛmu anyɛnsa hofoɔ a ɛyɛ no nansan yi no nhyia wɔn a wɔkasa no te sɛ nea wɔte nea baabɔ no ka no ase papa,0.3529,0.1538
28,Yɛbɛyɛ dɛn atumi ne afoforo atena yiye?,yɛbɛɛɛdɛm tu ne afofratena yie,0.8571,0.25
