sample_id,reference,hypothesis,wer,cer
0,"Mevɔ̃na ɣesiaɣi be ame aɖe akpɔ wo le nugoe me. Afikae matsɔ wo ade? Ɣeaɖewoɣi la, mekpɔnɛ wogblẽa wo ɖe anyigba le sukua ƒe nugododeƒewo. Zi geɖe la, ɖeko metsɔa wo ƒua gbe ɖe gbeɖuɖɔ gbogbo si le gota la me. Makpɔ egbɔ be mekpɔ nugoe si sɔ tso fifia dzi.","Mɔwoɔ na ye xeyi gbɔa, ama de akpɔ wo le nugwamɔ. Afikae ma mɔɔ wa de? Yae woyi la. Makpɔ nye wo gbɔa, wo de anyigba le sukufe nugodo de feɔ. Zigide la, dekometɔwo kpa gbe de, gbedodo gbogbo si le gɔtalamɔ. Makpɔ gbo be, makpɔ nu go si sɔ tso fifia zi.",0.7647,0.2677
1,"Ne míedze ŋudzedzekpɔkpɔ ɖe amewo ŋu ɖe nusi wowɔna alo alesi wowɔa nu ɖe ​​ame bubuwo ŋui ŋu le esi teƒe be míakpɔ ŋudzedze ɖe alesi wodzena ko ŋu. Aɖe vi ne ame tsitsiwo gblɔ na mí be míesɔ gbɔ abe míawo ke ene. Le nyɔnuviwo gome la, nusi wokpɔ mɔ na enye be woadze tugbe ahabɔbɔ wo ɖokui.","Nyamiedjangodjadzikpoaɖe amewodu ɖe, lusi wowa na alo ale si wowa nu ɖe amebuwo wui, le esi teƒe bi, miakpɔ ngodja ɖe ale si wodjena kɔwu. Aɖevine ametsitsiwo gblɔna mibe, mie sɔgbɔ, abe mie wɔkɛɛne. Delenugvi ogomela, lusi wɔpɔ mwo na enyebe, wadjetsugbe, ahabobowoduku.",0.8475,0.2731
2,"Mesena le ɖokuinye me abe ɖe mele ŋutsu zum ene, gake megasena le ɖokuinye me abe ɖevi ene ɣeaɖewoɣi. Edzɔ dzi nam be teƒe sia le asinye maƒo nu. Ena nyemegasena le ɖokuinye me be nye ɖeka koe li o. Nyabiase aɖe le asinye ku ɖe dzidzenuwo ŋu. Aleke mawɔ atso nya me le wo dometɔ siwo nye tɔnye kple esiwo nye dzinyelawo tɔ ŋu?","Mese na alɔkplɔnya ma abe míaĺe nchuzumɔ ene, kakamega mese na alɔkplɔnya ma devi ene alo eye, aɖyɔɖi na m̀be tepɛ siaa laa siñe mafo nu. Ene, nyema gaa mese na alɔkplɔnya ma be míaĺe kakwelii o, nya bíasara laa siñe kuɖe jiɛnuu nu. Alekɛ maɔ, aɖyo nya ma le wo dometo, siɔ nya tɔnyɛkpəlɛ asiɔ nya djiñela tɔnu.",0.8769,0.4336
3,"Nyemedi be mawɔ nu ŋudzɔmanɔmanɔtɔe o. Ɣeaɖewoɣi la, mesena le ɖokuinye me be mele geɖe zãm akpa. Ðe esia nyoa? Madze ɖeka tsɔtsɔ kpee ɖe nye akplo me gɔme gbesiagbe. Ke tsilele ya ɖe? Ðe wònyo be woazã adzalẽ le afima? Nukatae tso ŋgɔgbe yi megbe? Nyemenya ema kpɔ o.","Emede be Mawu wɔ nu nyui mɔɔ na mɔtɔe o. Yata woyilam, wosena le dokrinye mɔ be, woale ge de dzam akpa. De esia nywa? Woadzedze ka tsotso pi. Denye aklo mɔ, gɔmɔ gbesiagbe. Ke tsi le le ya de, de wonyɔ be wazaa adzalale afima. Wokataa, tso gbe yi mɔ gbe. Nyemanikpɔ o.",0.84,0.3143
4,"Nye menya o. Mebu eŋu be matutu nye agbalea ko, gake mehiãe be maƒo nu kple tɔɖinyeyɔvi siwo le duta. Mehiã kokoko be nàtutu wò agbalea o. Ènya be mɔ aɖewo li siwo dzi nàto akpɔ ɖokuiwò ta evɔ nàgalé wò mo ɖe tea?","Nya menya o, vɔ bu amewo gblɔ be ma tsɔ tsɔnye agbalẽa ku. Kake me hĩa be ma ɖo fukpe tɔɖi nyeyevi siwo le dume ta. Me hĩa kuku ku be ma tsɔ wo agbalẽa o. Enya be mɔ adewo li siwo dzinam be ma kpɔ ɖokuiwo ta, evɔ ma ga lɔ̃a womɔɖe ta.",0.9091,0.3273
5,"Ŋdɔ na wò, Tasi. Mele nyuie, ɖeko ɖeɖi te ŋunye vie le suku vɔ megbe. Ẽ, danye gblɔe nam vie, gake le nyateƒe me la, ena ŋu kpem.  Ame siwo le nye kɔƒea me gblɔna be enye dzesi be nyɔnuvi le nyɔnu zum, gake wogblɔna hã be ele be nàɣlae.","Ezɔ na nutasi, mole nyui, tekpodeditɔwo nye viɛwo le suku gbɔgbɔ, e, danyɛ gblɔ na nam viɛ kaka. Danyɛ kpɔmɔla, enam wugbɔm. Amesiwo le nye kɔfɛme gblɔ na be, anye dzesi be nyɔnuvi le nyɔnuzum, kaka wogblɔ na hã be, ele gbe na hli.",0.74,0.2955
6,"Nye me di be vinye na tsi abe nye ene, anɔ agbagba dzem anɔ ŋukpem o. Ne me fɔfu la, ɖe ema fia be wo ɖoe be ma nye amedahe tegbea? Ke ŋukpe lae, aleke ma dze ŋgɔ xɔ̃nye wo? Ɖeko mesusu be meyae wu nyuie. Ne ɖe nye me ɖo toe o la anye ne enyo ŋutɔ.","Enyameti be vinye na tsi abe nye ene, aṅo agbagbe dzen, aṅo ngbem o. Eme fɔ fula, ɖe ema fia be oɖui be ma nye amedahe tegbee oa? Ke nuka la? Ala ke ma dzen gbohonyẽ o. Ɖeko, me susu be menye wui, ne ɖe nyemedo to eola, anye ne enyo nto.",0.6207,0.2253
7,Mesusu be ame geɖe siwo le afisia menya ema o. Àte ŋu ava ƒo nu kple sɔhɛwo ƒe ƒuƒoƒo si le sɔlemexɔa mea? Woaɖo to wò. Ðeko medi be etsɔme nyui aɖe nanɔ xɔ̃nyewo si. Ðe wòle be míaƒo nu tso gbɔdɔdɔ ƒe dɔlélewo hã ŋua? Nyɔnuvi aɖewo vɔ̃na be yewoabia nya.,"Miasubamagaesio, lafia, meña Ewe-wo. Atenu ava xonuxo le solemexoxoma. Woto, ɖekeviwo le tsomi enye adenano xonye wosi. Rwolebe miakponu tso gbɔdɔdɔ fe ɖoɖo le wo hamwoa. Nyonuvi adewo wɔna be yewabiabya.",0.9231,0.4184
8,"Mezãa internet tsɔ wɔa numekuku tso nyatiwo ŋu na nye dzɔdzɔmeŋutinunya ƒe klass, gake zi geɖe la, menɔa hadomenyatakakadzraɖoƒewo le dze ɖom kple xɔ̃nyewo. Ema ɖi nya sia be esɔ. Smartphone le nye klass ɖesiaɖe si fifia, eye míezãnɛ na nusianu kloe. Le nyateƒe me la, ẽ.","Mɛzã internet tɔɔ wɔ le nufiafia me, eɖea vi na nunya gbegbe. Gake ehiã gbeɖeɖe, ma noa adɔmɔ nunya keke, xɔxɔwo le dzomplemle hoɔlewo. Ele be nyasia gblɔ, smartphone le nyanya le sukuxɔ me fifia, eye miazãnɛ na nunya kple nyateƒe ma lɔɔ. Ei.",0.8298,0.5139
9,Menye dzimesesẽ wonye be na di be ya kpɔ wo ŋutɔ ƒe etsɔme ta o. Eƒo nu tso nya sia ŋu na nɔ woa? Nɔnye gblɔ be ye mateŋu atsitre ɖe fofonye ŋu o.Evɔ̃ na na nusi nutoametɔwo agblɔ ne nye me wɔ nusia o. Enya sia nye nya geɖe fuu.,"Mègana dinaseeseo nye be nàdzi be yàkpɔ wò nutɔƒe etɔ̃a etɔ̃a o. Afɔnuto nyasiawo na nɔ anyi, nɔ nye gbɔgbɔm eye mado aɖitrɔ̃ de foƒonye wu o. Evɔ na... na nusianu tɔɔ me tɔɔ agblɔ, ne... nyemewɔ nusia o. Enyasia nye... enya gbedefu...",0.8235,0.3023
