sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,Sukɔm de me.,0.5,0.1
1,Akwadaa wei,akwa daa wɔ yi.,2.0,0.2
2,Mafe wo,M’afɛreɛ.,1.0,0.6667
3,Yɛ wɔ,Yɛ wɔn.,0.5,0.25
4,Ɔmee ne Ɛfeɛ,"Ɔmmɛn ne efie,",0.6667,0.6
5,Mɛtɔ credit 5 cedis,Mɛtɔ krade faesieeɛ.,0.75,0.625
6,ɛkɔm de me,Ɛkɔm de me.,0.0,0.0
7,Hyɛɛ n'anim teɛ,Hwɛɛ n’anim tiee.,0.6667,0.25
8,Medaase mensa aka,Mɛdaa ase me nsaaka.,1.3333,0.1333
9,Dum kanea no,Domka ne ano.,1.0,0.1
10,Na ɔkɔe kowui,"na ɔkɔe kɔ wii,",0.6667,0.1818
11,Neho ayɛ fi  paa,"Mɛhɔ anifi pa a,",1.0,0.4167
12,Me pɛse me tɔ credit na me de gu mtn number so,Mepɛ sɛ me tokorɛni tena medigu amteɛ nnama so.,0.8333,0.4286
13,Mepaa’kyɛw me number no yɛ 059,pakyaa me nnam ba ne yɛ ɛserɛɛ faeɛ nnan.,1.1667,0.9583
14,Ko buu no,"kɔmmu no,",0.6667,0.4286
15,Woka borɔfo,Okamroɔfɔn.,1.0,0.6
16,Tuu no,"tuu no,",0.0,0.0
17,ɛyɛ,Ɛyɛ.,0.0,0.0
18,Mepaa’kyɛw ma sesa m’adwene,"Mepaatwao m’asɛsɔ m’adwene,",0.75,0.2727
19,To nnwom,Sɔ nnwom.,0.5,0.2857
20,Yɛ wɔ,Yɛ woɔ.,0.5,0.25
21,Bra ha,"Bwa ha,",0.5,0.2
22,Nsuo,Nsuo.,0.0,0.0
23,Mame bebree,Mma me bebree.,1.0,0.1
24,Ma me bi,Mma me bi.,0.3333,0.1667
25,Dadeɛ bi twa dadeɛ bi mu,Dadeɛ bi twa dadeɛ bi nnwu.,0.1667,0.1579
26,Hyɛɛ n'anim teɛ,Hwɛɛ ne me mtiee.,1.3333,0.5
27,Tuu no,too no.,0.5,0.4
28,Dan mu,Daae mu.,0.5,0.4
29,Mepaa’kyɛw me number no yɛ 059,Mepaatɔ me n’abannie nsɛ no sɛ no sɛ afnan.,1.1667,0.9583
30,Hwan akonnwa,Hwan yɛ kɔnya?,1.0,0.4545
31,Wo pɛ deɛn,Wopɛ dɛn?,1.0,0.125
32,Dum kanea no,Dom nkanea ano.,1.0,0.3
33,Ne nea Ɔsɛe de yɛɛ buburoo wei,Ne me akɔsɛeɛ buuro wee.,0.8571,0.375
34,Mee tɔ akɔ 054 so,Me nkɔ akwasere fae fam.,1.0,1.0769
35,Mepaa’kyɛw Aane (spoken),Mepaatwɔɔ aane.,0.6667,0.5263
36,Ne yere,Ne yere.,0.0,0.0
37,Yoo medaase,Yɛɔ me daa ase.,2.0,0.3
38,Maa aboa bi twee,Ma aboa bi twaa yi.,0.75,0.3846
39,Mayera,Mayera.,0.0,0.0
40,ɛno akyi no,Ɛno akyi no.,0.0,0.0
41,Nante yie,Nante yiee.,0.5,0.125
42,Me pɛse me tɔ credit na me de gu mtn number so,"Mepɛ sɛ metɔ kurɛdeɛ nna medegu amtiɛ nnamma so,",0.9167,0.4
43,ɛkɔm de me,Ɛkɔm de me.,0.0,0.0
44,Efiri sɛ,ɛfiri sɛ.,0.5,0.1429
45,Wo pɛ deɛn,Wopɛ dinn.,1.0,0.25
46,Me credit aka sɛn,Akwaresisaka sian.,1.0,0.5714
47,Yoo medaase,Yɛu me dane.,1.5,0.4
48,Nante yie,Nante yie.,0.0,0.0
49,Wobɛtumi akyerɛ me hɔ,Wetumi atwerɛ me hɔ.,0.5,0.2778
50,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,Kaatwa mmepɛ sɛ me to mteɛ nkradeɛ.,0.8571,0.5
51,Mtn,Mti nn.,2.0,0.6667
52,Akwadaa no to dwom,akwa daa no todwom.,1.0,0.0
53,Mee tɔ akɔ 054 so,"Mɛnta akɔsɛm fɛrefoɔ,",1.0,0.9231
54,Me sika no aka sɛn,Mesika no aka sɛeɛn.,0.6,0.1429
55,Fa to hɔ,Fa to hɔ.,0.0,0.0
56,Na biribiara dwoi,Na mebrɛ a ara dwo yi.,1.6667,0.4667
57,Aane,Aane.,0.0,0.0
58,Woanyini kyɛn me,Wanni nkyɛn me.,0.6667,0.2143
59,Tikorɔ nnkɔ agyina,Te kurɔ nkwa agye no.,1.6667,0.4375
60,Me ho mfa me,Me ho mfa me.,0.0,0.0
61,Emu biara,ɛmu biara.,0.5,0.125
62,Woka borɔfo,Wokabrɔfoɔ.,1.0,0.2
63,Woforo dua pa a na yɛ pia wo,"ɔfod yɛn pa a, na yi pea nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia nnipia n",14.0,30.9524
64,Neho ayɛ fi  paa,Ne ho aefi pa a.,1.25,0.1667
65,Akwadaa no to dwom,akwa daa no to dwom.,0.5,0.0
66,Gye di,Gye di.,0.0,0.0
67,Okuu adubɔfoɔ,Ɔkoɔ adubafoɔ,1.0,0.3333
68,"Kosɛ, manhyɛ da",Ku sɛ manhyɛ da.,0.6667,0.0833
69,Ɛsoo aba pii,ɛso aba pii.,0.3333,0.1
70,Me hia wo mmoa,Nhyia wo mmoa.,0.5,0.2727
71,Medaase,Mɛdaa ase.,2.0,0.2857
72,Wo ewie,"Wɛawie,",1.0,0.3333
73,Merehwehwɛ Yaw,Merehwehwɛeɛ wo.,1.0,0.2308
74,Wɔ nnwomkorɔ kuo bi mu,Wɔ nnwom kurom kurom mu.,0.6,0.3333
75,Wo se sɛn,Wosesee.,1.0,0.2857
76,Hwɛ soro,Hwɛ soro.,0.0,0.0
77,Tikorɔ nnkɔ agyina,Te korɔ nkɔ agyina.,1.0,0.125
78,Woo tɔ akɔ number bɛn so,wɔotɔ agunam ba bɛn so.,0.6667,0.3158
79,Nante yie,Nante yie.,0.0,0.0
80,Wo pɛ deɛn,Wopɛdɛn?,1.0,0.125
81,Woadi Ńkɔmmɔ mprɛnsa,Wadi nkɔmmɔɔ mprɛnsa.,0.6667,0.1667
82,Maa wɔn ho yɛɛ huam,Ma wɔn ho yi hyɛm.,0.6,0.3333
83,ɛyɛ fɛ,"Ɛyɛ fɛ,",0.0,0.0
84,ɛkɔm de me,Ɛkɔm de me.,0.0,0.0
85,Number bɛn na wo pɛse wo tɔ gu su,Na mabɛn na wopɛ sɛ wotɔ gu so.,0.7778,0.24
86,Nsu kɔm de me,Nsekɔn de me.,0.5,0.2
87,Ne nea Ɔsɛe de yɛɛ buburoo wei,Ne me a ɔsɛe deɛ wɔburo wɔn.,0.8571,0.3333
88,Me credit aka sɛn,Me kra de akasɛn.,0.75,0.2857
89,Maa wɔn ho yɛɛ huam,Maa wɔn ho yɛn nya.,0.4,0.2667
90,Deɛ edi kan,deɛ ɛdi kan.,0.3333,0.1111
91,Afenhyia pa,afirahyira pa.,0.5,0.4
92,ɛyɛ,ɛyɛ.,0.0,0.0
93,Wote borɔfo,Wote borɔfoɔ.,0.5,0.1
94,Me ho yɛ paa,Me ho yɛ pa a.,0.5,0.0
95,Wo pɛ deɛn,Wopɛ dɛn?,1.0,0.125
96,Dadeɛ bi twa dadeɛ bi mu,"Dadeɛ bi twa dadeɛ mu,",0.1667,0.1053
97,Yoo medaase,Yɛɔ me daa ase.,2.0,0.3
98,ɛkɔm de me,Ɔm tɛ me.,0.6667,0.5
99,Daabi,Dabi.,1.0,0.2
100,Na ɔkɔe kowui,Na ɔkɔe kɔwi.,0.3333,0.1818
101,Wɔn ti,Wɔn ti.,0.0,0.0
102,Maa wɔn ho yɛɛ huam,Maa wɔn ho yii hwam.,0.4,0.2
103,Mepaa’kyɛw Aane (spoken),Mepaatwɔn ani.,1.0,0.6316
104,Nante yie,Nantin yi.,1.0,0.375
105,Wɔ ńkwankyɛn,Wɔn kwan nkyɛn yi.,2.0,0.3636
106,Ma me bi,Ma me bi.,0.0,0.0
107,Te so ma me,Te so ma me.,0.0,0.0
108,Medaase,Mɛdaa aseɛ.,2.0,0.4286
109,Woo tɔ akɔ number bɛn so,wɔotɔɔ akɔnama bɛn so.,0.6667,0.3158
110,Me ho mfa me,Ne ho mfa me.,0.25,0.1111
111,Merehwehwɛ Yaw,Mmarahwehwɛ yaa wo.,1.5,0.3846
112,Dan mu,Dane mu.,0.5,0.2
113,Yaw ne Ama,ɛya ɔne ama.,0.6667,0.25
114,To so ma me,Ɔsɔ ma me.,0.5,0.375
115,Adwoa Aboagye,adwo aboagye.,0.5,0.0833
116,Woanyini kyɛn me,Wɛn yi nkyɛɛ me.,1.0,0.2857
117,Mtn,Enti nn.,2.0,1.3333
118,Te so ma me,Te somaa me.,0.5,0.125
119,Ɛsoo aba pii,ɛso aba pii.,0.3333,0.1
120,Me pɛse me tɔ credit na me de gu mtn number so,Ɔpɛsɛɛ mɛtɛ kɔdeɛ nna mede gu nteɛ nnwoma so.,0.8333,0.5714
121,ɛyɛ fɛ,ɛyɛ fe.,0.5,0.2
122,Emu biara,ɛnno biaa.,1.0,0.625
123,Nsuo,Nsuo.,0.0,0.0
124,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,"Me ba kyerɛɛ, me pɛsɛɛ me tɔ, ɛmntien, redet.",0.8571,0.4286
125,Pia no bio,"pia no bio,",0.0,0.0
126,Wɔn ti,Wɔn ti.,0.0,0.0
127,Gye di,Gyidi.,1.0,0.2
128,Ne nea Ɔsɛe de yɛɛ buburoo wei,Ne ne a ɔsɛe deɛ buburo yi.,0.8571,0.2083
129,Hwan akonnwa,Hwan akanya?,0.5,0.2727
130,Wo pɛsɛ wo yɛ deɛn ɛnɛ,Wopɛ sɛ wɔyɛ dɛn nne.,1.0,0.2353
131,Medaase mensa aka,Mɛdaa ase me nsaaka.,1.3333,0.1333
132,Mafe wo,M’afɛ wo.,0.5,0.1667
133,Ɛsoo aba pii,Ɛso aba pii nnwuma.,0.6667,0.7
134,Yɛbehyia biom,"Yi bɛhyia bio, yi bɛhyia bio,",3.0,1.0833
135,Wɔ ńkwankyɛn,Wɔn kwan kyee.,1.5,0.2727
136,Yaw ne Ama,Yɛ ɔne ama.,0.6667,0.25
137,Mame bebree,Mma me bɛbuee.,1.5,0.3
138,Yeinom nyinaa yɛ wo dea,Eyee no nyinaa yɛwɔdeɛ.,1.0,0.2632
139,Tuu no,"Tu no,",0.5,0.2
140,Ɔbebue n'ani ɔkyena,Ɔbɛbuɛ n’ani ɔkyina.,0.6667,0.1875
141,Nokware di etuo,nokoridi atuo.,1.0,0.3077
142,Mee yɛ credit transfer 10 cedis,Mɛyiɛ krade transfa yɛ nsidis.,1.0,0.5
143,Na ɔkɔe kowui,Na ɔkɔe kɔ wee.,0.6667,0.2727
144,Okuu adubɔfoɔ,"ɛdubɔfoɔ,",1.0,0.4167
145,Me sika no aka sɛn,Nisika no akasɛn.,0.8,0.1429
146,Mtn,Ampie nnyeeɛn.,2.0,3.3333
147,Sua adeɛ,sɛeɛ adeɛ,0.5,0.4286
