sample_id,reference,hypothesis,wer,cer
0,"Mose ɖo nya sia ŋu na Yehowa be, “Ameawo mava Sinai toa dzi o, elabena ède se na wo be womekpɔ mɔ ava o.",mose ɖow nya sia ŋu na yehowa be ameawo mava si nae tɔa dzi o elabena ede se na wo be womekpɔ mɔ ava o,0.2083,0.0519
1,le dowòme.,le do wmea ,1.0,0.25
2,"Esi Sanebalat se be míele glia ɖom la, eku dzi nɛ.",esii senebalan mse be mieleglia ɖom la eko di ne,0.7273,0.2105
3,"” Nyɔnua kɔ vidzĩa dzoe, eye wòɖakpɔ edzi.",nyɔnua kɔb ɣidiadzoe eye woɖakpɔ edzi,0.5714,0.1562
4,"Fia Dario ɖe gbe be woayi dɔa dzi, eye wowu gbedoxɔa nu.",fia da ɖiɔɖegbe be woayi doa dzɛ eye woawuwo ʋedoxɔa nu,0.5833,0.186
5,"Míawo ɖeɖe míatui na Aƒetɔ, Israel ƒe Mawu la abe ale si Persia-fia Kores ɖoe na mí la ene.",mawo ɖe ɖe matui na aƒetɔ israel ƒe mawu la abe ale si pesia fia korese ɖoe na mi la ene,0.4211,0.0714
6,Ale wona gae tso esi wodzɔ le trɔ̃ Baal Berit subɔƒe la me eye fia Abimelek tsɔ ga sia ƒo gbevu aɖewo nu ƒu ɖe eɖokui ŋu.,alewo na gae tso esiwo dzɔ le tsrɔ baal berit subɔƒe la me eye fia abimelek tsɔ ga sia ƒo gbeʋu aɖewo nu ƒu ɖe ɖokui ŋu,0.2593,0.0323
7,Dzudzɔ de dzi ʋĩi abe dzudzɔti me wòle dodom tso ene; to blibo la le ʋuʋum sesĩe ŋutɔ.,dudɔ de dzivi abe dzudɔtimel ɖe dedɔŋu tsɔ ene to blibo la le ʋoʋom sese ŋutɔ,0.5556,0.2388
8,"Eya ta azɔ la miʋu miaƒe nuvɔ̃ me na Aƒetɔ, mia tɔgbuiwo ƒe Mawu la, eye miawɔ eƒe lɔlɔ̃nu.",eya ta azɔ laa miʋo miaƒe nu vɔwo me na aʋetɔ mia tɔgbuiwo ƒe mawu la eye mawɔ eƒe lɔlɔno,0.3684,0.1029
9,Ewɔ ɖeka kple Ahab to via nyɔnuvi ɖeka ɖeɖe me.,awɔ ɖeka kpla ahab tovia nyɔnu vi ɖekaɖeɖe me,0.7,0.0541
