sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,sukom dem,1.0,0.3
1,Akwadaa wei,akwadaa wei,0.0,0.0
2,Mafe wo,mafew,1.0,0.1667
3,Yɛ wɔ,yɛwɔ,1.0,0.0
4,Ɔmee ne Ɛfeɛ,ɔmmen yi afeɛ,1.0,0.4
5,Mɛtɔ credit 5 cedis,metall credit five seeders,0.75,0.75
6,ɛkɔm de me,ɛkɔm dɛ me,0.3333,0.125
7,Hyɛɛ n'anim teɛ,hyɛn anim tie,1.0,0.25
8,Medaase mensa aka,meda ase mmiensa akɛm,1.3333,0.2667
9,Dum kanea no,dum kanea no,0.0,0.0
10,Na ɔkɔe kowui,na ɔkɔɔɔ ɛrekɔ wi,1.0,0.5455
11,Neho ayɛ fi  paa,neho ayɛ fie paa,0.25,0.0833
12,Me pɛse me tɔ credit na me de gu mtn number so,mepɛsɛm metɔ kristo koraa de tsena me de gu mmtie nnam ba so,0.75,0.6
13,Mepaa’kyɛw me number no yɛ 059,epakya wɔ menamban ne yɛ 059,0.6667,0.3333
14,Ko buu no,kobuu no,0.6667,0.0
15,Woka borɔfo,wɔ kamberɛfoɔ,1.0,0.5
16,Tuu no,tunuu no,0.5,0.4
17,ɛyɛ,ayie,1.0,1.0
18,Mepaa’kyɛw ma sesa m’adwene,mepa kyerɛ wɔ ma sesam adwene,1.25,0.1818
19,To nnwom,Sonnyam,1.0,0.4286
20,Yɛ wɔ,yɛ wɔ,0.0,0.0
21,Bra ha,braha,1.0,0.0
22,Nsuo,nsuo,0.0,0.0
23,Mame bebree,maame bebree,0.5,0.1
24,Ma me bi,maame bi,0.6667,0.1667
25,Dadeɛ bi twa dadeɛ bi mu,dadiɛ bi twa dadeɛ bi no,0.3333,0.1579
26,Hyɛɛ n'anim teɛ,hyɛɛɛ ne nimtee,1.0,0.25
27,Tuu no,to no,0.5,0.4
28,Dan mu,dan mu,0.0,0.0
29,Mepaa’kyɛw me number no yɛ 059,mepaakyerɛw me namba ne yɛn 05-9,0.6667,0.2917
30,Hwan akonnwa,hwai akonnwa,0.5,0.0909
31,Wo pɛ deɛn,ɔpɛ dan,1.0,0.5
32,Dum kanea no,dum kanea no,0.0,0.0
33,Ne nea Ɔsɛe de yɛɛ buburoo wei,ne nyaa ɔsaa bi yɛ boboro wei,0.7143,0.4167
34,Mee tɔ akɔ 054 so,me to akɔserɛ faafoɔ,1.0,0.8462
35,Mepaa’kyɛw Aane (spoken),mepaakyeɛ a ne,1.0,0.4737
36,Ne yere,Mayor,1.0,0.6667
37,Yoo medaase,yɛwɔ me daase,1.5,0.3
38,Maa aboa bi twee,mmaaboa bi twene,0.75,0.1538
39,Mayera,maayewa,1.0,0.3333
40,ɛno akyi no,ɛno akyi no,0.0,0.0
41,Nante yie,nantieeɛ,1.0,0.5
42,Me pɛse me tɔ credit na me de gu mtn number so,me pɛ sɛ me toɔ krɛɛdeɛ n amediguo mtie nnamba so,0.8333,0.4
43,ɛkɔm de me,ɛkɔm dɛ me,0.3333,0.125
44,Efiri sɛ,efrisɛɛ,1.0,0.2857
45,Wo pɛ deɛn,wɔpɛ den,1.0,0.25
46,Me credit aka sɛn,nkwadaa deɛ ɛtɛ kɔsɛn,1.0,0.8571
47,Yoo medaase,yɛw me dansee,1.5,0.4
48,Nante yie,nanntee yie,0.5,0.25
49,Wobɛtumi akyerɛ me hɔ,wɔ bɛtumi akyerɛ me hɔ,0.5,0.0556
50,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,nnipakyerɛw mɛpɛ sɛ me to mtn krɛdet,0.7143,0.3929
51,Mtn,mtn,0.0,0.0
52,Akwadaa no to dwom,akwadaa no to dwom,0.0,0.0
53,Mee tɔ akɔ 054 so,metro akɔdereo faafoɔ,1.0,1.0
54,Me sika no aka sɛn,mesika no akasɛn,0.8,0.0
55,Fa to hɔ,fato hɔ,0.6667,0.0
56,Na biribiara dwoi,na beberee a hara joe yi,1.6667,0.7333
57,Aane,aha ne,2.0,0.25
58,Woanyini kyɛn me,wɔ nye nkyɛn me,1.0,0.2857
59,Tikorɔ nnkɔ agyina,te krɔm kwagyina,1.0,0.3125
60,Me ho mfa me,mehu mfam me,0.75,0.2222
61,Emu biara,ɛmu biara,0.5,0.125
62,Woka borɔfo,wɔ kabrɛfoɔ,1.0,0.4
63,Woforo dua pa a na yɛ pia wo,wofo dua pa ara na yɛpie a wɔn,0.625,0.3333
64,Neho ayɛ fi  paa,neho ayɛ fie pa ara,0.75,0.25
65,Akwadaa no to dwom,akwadaa no to dwom,0.0,0.0
66,Gye di,gidi,1.0,0.4
67,Okuu adubɔfoɔ,ɔkron adubɔfoɔ,0.5,0.3333
68,"Kosɛ, manhyɛ da",kɔsɛ maa nhyɛda,1.0,0.1667
69,Ɛsoo aba pii,ɛso aba pii,0.3333,0.1
70,Me hia wo mmoa,me ha wɔ mu a,1.0,0.3636
71,Medaase,medase,1.0,0.1429
72,Wo ewie,weiwie,1.0,0.3333
73,Merehwehwɛ Yaw,mmrɛhwɛhyɛ yaw,0.5,0.3077
74,Wɔ nnwomkorɔ kuo bi mu,wɔ nnwom kurakuruw bi mu,0.4,0.2778
75,Wo se sɛn,What's the sign,1.0,1.0
76,Hwɛ soro,hwɛ soro,0.0,0.0
77,Tikorɔ nnkɔ agyina,tekorɔ nkɔ agyina,0.6667,0.125
78,Woo tɔ akɔ number bɛn so,wɔretɔ agu namba bɛn so,0.6667,0.4211
79,Nante yie,nan tea yie,1.0,0.125
80,Wo pɛ deɛn,wɔ pɛ dan,0.6667,0.375
81,Woadi Ńkɔmmɔ mprɛnsa,wadi nkɔmmɔ mprɛnsa,0.6667,0.1111
82,Maa wɔn ho yɛɛ huam,mmaa wɔn ho yie wiem,0.6,0.4
83,ɛyɛ fɛ,ɛyɛ fɛ,0.0,0.0
84,ɛkɔm de me,ɛkɔm dɛ me,0.3333,0.125
85,Number bɛn na wo pɛse wo tɔ gu su,nam abɛn na wɔpɛ sɛ wɔtɔ gu so,0.7778,0.32
86,Nsu kɔm de me,nsukɔm damii,1.0,0.3
87,Ne nea Ɔsɛe de yɛɛ buburoo wei,ne nea ɔsradeɛ yɛ abuburowee,0.7143,0.25
88,Me credit aka sɛn,me krɛdet akasem,0.75,0.3571
89,Maa wɔn ho yɛɛ huam,mmaa wɔn ho yɛn ho no ho,1.0,0.4667
90,Deɛ edi kan,deɛ ɛdi kan,0.3333,0.1111
91,Afenhyia pa,afrɛhyia pa,0.5,0.2
92,ɛyɛ,ɛyɛ,0.0,0.0
93,Wote borɔfo,wɔte berɛfoɔ,1.0,0.4
94,Me ho yɛ paa,meho yɛ paa,0.5,0.0
95,Wo pɛ deɛn,wɔpɛ dan,1.0,0.375
96,Dadeɛ bi twa dadeɛ bi mu,dadeɛ bi twa dadeɛ mu,0.1667,0.1053
97,Yoo medaase,yɛw me daase,1.5,0.2
98,ɛkɔm de me,ɔm teme,1.0,0.375
99,Daabi,daabi,0.0,0.0
100,Na ɔkɔe kowui,na ɔkɔɔɔ a ɛrekɔwi,1.0,0.6364
101,Wɔn ti,wɔn ti,0.0,0.0
102,Maa wɔn ho yɛɛ huam,mmaa wɔn ho yɛrehwɛ mu,0.6,0.4
103,Mepaa’kyɛw Aane (spoken),mepaakyerɛw ani,1.0,0.5263
104,Nante yie,nannteyi,1.0,0.25
105,Wɔ ńkwankyɛn,wɔn kwankwan kyen,1.5,0.5455
106,Ma me bi,maame bi,0.6667,0.1667
107,Te so ma me,tesoma me,0.75,0.0
108,Medaase,medease,1.0,0.1429
109,Woo tɔ akɔ number bɛn so,wɔretɔ akɔ nna ma bɛn so,0.6667,0.4211
110,Me ho mfa me,mehunu fam,1.0,0.4444
111,Merehwehwɛ Yaw,mmerrahwehwɛ yaw,0.5,0.2308
112,Dan mu,dan mu,0.0,0.0
113,Yaw ne Ama,yɛɔne ama,0.6667,0.25
114,To so ma me,osomame,1.0,0.125
115,Adwoa Aboagye,adwoaboa agye,1.0,0.1667
116,Woanyini kyɛn me,wɔ anyin nkyɛn me,1.0,0.1429
117,Mtn,mcn,1.0,0.3333
118,Te so ma me,tsesuo maame,1.0,0.375
119,Ɛsoo aba pii,ɛson abɛpi,1.0,0.3
120,Me pɛse me tɔ credit na me de gu mtn number so,mpresa me ta krataeɛ tena me de gu mtien ntien wɔn ma so,0.75,0.6571
121,ɛyɛ fɛ,ef,1.0,0.8
122,Emu biara,mmobia,1.0,0.5
123,Nsuo,nsuo,0.0,0.0
124,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,me baako kyew me pɛ sɛ me to mtien kredits,1.1429,0.3214
125,Pia no bio,pianobiw,1.0,0.125
126,Wɔn ti,wɔn ti,0.0,0.0
127,Gye di,Giddy,1.0,0.6
128,Ne nea Ɔsɛe de yɛɛ buburoo wei,ne nea ɔsradeɛ yɛɛ buberowee,0.5714,0.25
129,Hwan akonnwa,hwan akonnwa,0.0,0.0
130,Wo pɛsɛ wo yɛ deɛn ɛnɛ,wɔ pɛ sɛ wɔyɛ den no,1.0,0.2941
131,Medaase mensa aka,meda ase me nsa aka,1.3333,0.0
132,Mafe wo,maffe wɔ,1.0,0.3333
133,Ɛsoo aba pii,ɛso aba pii,0.3333,0.1
134,Yɛbehyia biom,yɛbɛhyia bi mu,1.5,0.25
135,Wɔ ńkwankyɛn,wɔn kwankwai,1.0,0.3636
136,Yaw ne Ama,yɛɔnni ama,0.6667,0.5
137,Mame bebree,maame bebree,0.5,0.1
