sample_id,reference,hypothesis,wer,cer
0,1 YƐLIKURA 10.,yɛnkura din dandooni,0.3333,0.1157
1,Naa Sool kum.,naa soɣiriku nima,0.2222,0.07
2,"Filistianim’ mini Izraɛlnim’ daa ti tuhiri tɔbu, ka Izraɛlnim’ daa ŋmaligi guui ka chɛ Filistianima.",pilisiya nima mini ziraanima nima daa ti toori tobu ka yi ziraanima daa ŋmaligi guui ka chɛpilisiya nima,0.0444,0.0037
3,Ka Filistianim’ maa daa doli ti ku ba Gilibɔa Zoli zuɣu.,ka sabilinli nima maa daadɔtikkuba yili boɣa zoli zuɣu,0.0661,0.0072
4,Ka Filistianim’ maa daa kari doli Naa Sool min’ o bidibisi nti ku Jɔnatan mini Abinadab ni Malikishua.,ka polisiya ni maa daa ka di duli naai soli mini o bidibisi li n ti ku dɔla tami ni ka bɛ naai dabi ni mali kiishin wa,0.0648,0.0037
5,"Ka tɔb’ maa daa kpaɣi mii Sool, ka peentɔriba daa to o piɛm ti o daŋa.",katuɛma adaka kpahi mi soli ka peentɛri maa daato piɛm n tooi daŋa,0.0508,0.0052
6,"Di saha ka Sool daa yɛli ŋun ʒir’ o tɔbutuhiri’ nɛma, “Ŋoom’ a takɔbi na n-kuhi ku ma, di so ka bɛn bi gundi ŋɔ ti kana ti zaŋ ma diɛm.",doso ha ka so daɣa yɛla ŋun ʒiri o tobu tuuri niɛma ŋo maa takɔbina nkɔbu kuma do so kaba n bɛ gundi ŋo ti kana n ti zaɣi maa diɛm,0.0239,0.0026
7,” Amaa ka dabiɛm daa gbaag’ o neen’ ʒira maa ka o bi saɣi ku o.,amaaaka damgimda gbaagi o ni ʒiri maaki o bi saɣi nkpuhi,0.0489,0.0077
8,Di saha ka Sool daa zaŋ omaŋmaŋ’ takɔbi zali n-lu di zuɣu.,disaa ka suɣula daa zɔŋɔ maa niŋ takɔb zali n luri zuɣu,0.0625,0.0062
9,"O neen’ ʒira maa ni daa nya ka Sool kpi maa, ka o gba lu o takɔbi zuɣu kpi.",bɛnɛnidirimi ni laa nyɛla ka suɣu kpɛma ka o gba lo o takɔbi zuɣu kpɛ,0.0305,0.0065
10,Sool min’ o bidibis’ ata ni o neen’ ʒira ni o yiŋnim’ zaa ni daa laɣim kpi shɛm m-bala.,sɔl mini o bidibsi ata ni o neen ʒiri ni o yiŋ nima zaa ni la laɣim tu shɛm bala,0.0249,0.0033
11,"Ka Izraɛlnim’ bɛn daa be vinvamli ni ni daa wum ni Izraɛlnim’ ŋmaligimi guui, ka Sool min’ o bidibisi kpi, ka bɛ daa yi bɛ tinsi ni zo.",kaɣa ziraanila mbɛn daabɛ vuhim pamla ni niriba ayi ŋɔ ni ziraanila ŋmɛligim o gooi ka so o mini o bidibisi kpi ka bɛ daayibɛ tinsi ni zuɣu,0.0255,0.0034
12,Ka Filistianim’ maa daa chaŋ ti be di ni.,ka polisiya nima maa daɣa chɛŋ ti bɛ dini,0.0864,0.0083
13,"Ka biɛɣu daa neei, ka Filistianim’ maa daa chaŋ ni bɛ ti yeei kpiimba maa situra, ka nya Sool min’ o bidibis’ ata maa ni do Gilibɔa Zoli zuɣu.",ka biɛɣidaanahi ni ka polinsi yɛnima maa daa chɛŋ ni bi ti yɛ piibu maa sitira ka nyɛ soli mini o bidibisi ata maa ni do gili bɔrila zoli zuɣu,0.019,0.0025
14,"Ka bɛ daa ŋmaai Sool zuɣu, ka yeeg’ o tɔbutuhiri’ nɛma, ka bahi bihi ni bɛ gili Filistia tiŋgbɔŋ maa ni zaa m-moli lahibali suŋ maa ti bɛ buɣa mini bɛ niriba zaa.",kabi daaŋmaa n suhu zuɣu ka yɛgi o tobu tuuhuri niɛma ka bahi bihi ni bi diripɛsitɛla tingbani maa ni zaa n mɔli lahabali soŋ maa ti bi bɔɣa mini bi niraba zaa,0.0193,0.0021
15,"Ka bɛ daa zaŋ o tɔb’ nɛma maa ti niŋ bɛ buɣ’ shɛli jɛmbu duu, ka daa zaŋ o zuɣu maa ti yili bɛ buɣili Dagɔn jɛmbu duu puuni.",kabirila zan o tobu niɛma maa ti niŋ bi puɣu shɛli jamba duu ka daa zan o zuɣu maa ti yili bi puɣuli dagɔŋ jamba duu puuni,0.0166,0.0024
16,"Amaa ka Jabɛshigiliadnim’ zaa daa wum Filistianim’ maa ni niŋ Sool shɛm maa zaa, ka bɛ dɔbba bɛn zaa daa mali suhukpeeni daa yiɣisi chaŋ ti zaŋ Sool min’ o bihi maa niŋgbuna maa chaŋ Jabɛshi nti zaŋ ba sɔɣi Jabɛshi oki tia gbini, ka daa lo noli daba ayopɔin.",amaaaka jibibu shɛli diliyanima zaa daa wumpiriitɛ ni maa ni niŋ soobuli shɛbi maa zaa ka bɛ dɔbibu bɛ zaa daa mali suhupɛ ni daa yiɛsi chaŋ n ti zaŋ so mini o bɛhi maa niŋgbuna maa chɛŋ jabi shɛɛ n ti zaŋ ba so ayi jibibu shɛɛ o kiriti gbuni ka daa yino noli dibaayɔpɔin,0.0128,0.0014
17,Sool ni daa bi ʒe Yawɛ yim ka kpi shɛm m-bala.,salli niraba ʒɛya ŋɔ yim kaapɛ shɛm n bala,0.0826,0.0104
18,"O daa bi ʒe Yawɛ yim ka bi doli Yawɛ zaligu, ka daa lan chaŋ ti buɣi baɣa m-bɔr’ sɔŋsim.",bɛ daabɛ ʒɛ yaɣimi yin ka bɛ doyaɣimi zaliigu ka daalɛ chɛŋ ti bɔbbaɣa mbɔri sɔŋsim,0.04,0.0057
19,"O daa bi bo sɔŋsim maa Yawɛ sani, dinzuɣu ka Yawɛ daa ku o, ka zaŋ o nam maa ti Jɛsi bia Dauda.",daadɔbu sunsuuni maa yaari sani din zoŋɔ ka yaari daa puuo ka zaŋ o namda manisi jeesi bii daadɔda,0.0321,0.0065
20,1 YƐLIKURA 1.,yɛla kura di taapɛ din daŋ tooni yɛla kura din daŋ tooni soori yini,1.5556,0.47
21,Adam ʒiɛmani zaŋ ti paai Ibrahimma ʒiɛmani.,adam ʒɛmanila zaŋ ti pahi biriɛli maʒɛmanila,0.0816,0.01
22,"Adam n-daa nyɛ Shɛt ba, ka Shɛt nyɛ Ɛnɔsh ba ka Ɛnɔsh nyɛ Kɛnan ba, ka Kɛnan nyɛ Mahalalɛl ba, ka Mahalalɛl nyɛ Jafɛt ba; ka Jarɛd nyɛ Ɛnok ba, ka Ɛnok nyɛ Mɛtusɛla ba, ka Mɛtusɛla nyɛ Lamɛk ba, ka Lamɛk mi daa nyɛ Nuhu ba.",daadam daa nyɛ fest ba ka sheeri nyɛ ɛnɛ o sheba ka yinɔs nyɛ kɛnambaa ka kana nyɛ maala lala ba ka maala lala nyɛ jɛpɛdiba ka jɛri nyɛ ɛnɔbba ka yinɔg nyɛ mɛnti sala ba ka mɛti sala nyɛla mɛkpa ka lala mɛdi mi daa nyɛ nuu bahi,0.014,0.0018
23,Nuhu bidibisi n-daa nyɛ; Shɛm mini Ham ni Jafɛt.,niriba bidibsi n daa nyɛ shɛli mini haam ni jɛƒɛti,0.0864,0.0088
24,Jafɛt bidibisi n-daa nyɛ: Goma mini Magɔg ni Madai ni Javan ni Tubal ni Mɛshɛk ni Tiras.,dɛƒɔhi bidibisi n daa nyɛ gɔma mini ma gɔk ni ma daai ni diɛm vahin ni tu ba ni mali shɛŋa ni ti rasta,0.0554,0.0048
25,Goma bidibisi n-daa nyɛ: Ashikɛnaz mini Difat ni Tɔgarima.,gamo mini bidibisi n daa nyɛ a shiike naas mini di fat ni to gari maa,0.1481,0.005
26,Javan bidibisi n-daa nyɛ: Ɛlisha mini Tarishish ni Kitim ni Rodanim.,dabba n bɛ dibisi n daa nyɛ di laati shɛli mini tari shins ni kiripim ni rooda nim,0.1157,0.006
27,Ham bidibisi n-daa nyɛ: Kush mini Ijipti ni Put ni Keenan.,paɣa n bɛ dibisi n daa nyɛla kuushɛ mini ʒɛnʒɛ ti puuni ni puuni ni kpɛnnaaŋa,0.1074,0.0133
28,Kush bidibisi n-daa nyɛ: Siiba mini Havila ni Sabita ni Raama ni Sabitɛka.,kooyi mi di bɛ sinidaan yɛ fiiba mini waɣabila ni sabilitaa ni lala maa ni sabila biɛti,0.0769,0.0069
29,Raama bidibisi n-daa nyɛ: Shiiba mini Dɛdan.,raama bidibsi ni daa nyɛ shiba mini da daa,0.1224,0.0041
30,Kush n-daa nyɛ Nimrɔd ba.,kɔlisi daliya nɛm roodiba,0.2,0.0332
31,O daa nyɛla tɔbutuhiri’ biiŋa dunia ni.,hodaayɛla toɣu toori biaŋga du ni yɛn ni,0.1429,0.0125
32,Ijipti bihi n-daa nyɛ: Ludinim’ mini Anamnima ni Lɛhabinima ni Nafitunima ni Patirusinima ni Kasilunima ni Kriitinima .,bidibisi bee dibaayɛ lɔdɛ nim mini anahim nim ni lala banimaa ni nabitɔ nima ni patɛrisi nima ni ka salɔ nima ni kirɛt nima,0.0623,0.0031
33,Keenan bidibisi n-daa nyɛ: Sidɔn ŋun daa nyɛ o bituuli la mini Hɛt ni Jɛbusinim’ ni Amɔrinim’ ni Gɛrigashinima ni Hivinim’ ni Arikinim’ ni Sinitinim’ ni Arivadnim’ ni Zɛmarinim’ ni Hamatinima.,kihi nia n bɛ dibisi dibaayɛsi dibaayɛ ŋun daa nyɛ bɛ tuuli la mini heed ni jabisi niŋ ni amɔri nim ni gari shɛli ni maa ni hiliivi nim niɣariki nim ni sitiri nim niɣari ba nim ni zama din niɛ ha matuuka,0.0323,0.002
34,Shɛm bihi n-daa nyɛ: Ɛlam mini Ashur ni Aripakishad ni Lud ni Aram ni Uzi ni Hul ni Gɛta ni Mɛshɛk.,shɛba mbe daa nyɛla alam mini aship ni alɛpaaki shɛrit ni lɔod ni aram ni o ʒi ni ruuhi ni jɛta ni mali shɛrit,0.034,0.0055
35,"Aripakishad daa nyɛla Shɛla ba, ka Shɛla nyɛ Ɛba ba.",alɛpaɣibɛ shɛli daa nyɛla shɛla ba ka shɛli a nyɛ alibaribabababam,0.06,0.0125
36,"Ka Ɛba daa dɔɣi bidibisi ayi: yino yuli n-daa booni Pɛlɛg , ka o mabia yuli daa booni Jokitan.",kaayabaa daadɔdɔ adɔɣa bidibsi ayi yino yuli n daabɔni palak dama adɔbisi ka niriba daa wali taba ka o ma bɛ yuli daadɔd ni yoki taba,0.0648,0.0104
37,Jokitan bihi n-daa nyɛ: Alimɔdad mini Shɛlɛf ni Hazarimavɛt ni Jɛra.,jɔŋɔ ni tambihi n daa nyɛ alimɔdahi mini shɛli ni haa zali ma vɛnt ni jɛla,0.0992,0.0043
38,Hadɔram mini Uzal ni Dikila ni Ɛbal ni Abimeel ni Shiiba ni Ofiri ni Havila ni Jɔbab; bɛmbɔŋɔnim’ zaa daa nyɛla Jokitan bidibisi.,hairdressern mini o zaa ni dikpila ni abɛri ni abɛ maa ni fiiba ni o vuri ni haabila ni dabba banboŋɔ nim zaa nyɛla jokiɛta mbe dibisi,0.034,0.0036
39,"Shɛm mini Aripakishad ni Shɛla ni Ɛba ni Pɛlɛg ni Riu ni Sɛrug ni Nahɔr ni Tɛra ni Ibram, .",silmiin niriba ni paaki shɛŋa ni shɛla niɣi ba ni palɛk ni rɛɛbu ni sarɛbu ni na ŋɔ ni tɛra ni hibraam,0.036,0.0055
40,Ishimail bihi.,nachimaɣibihi,0.5,0.0347
41,Ibrahimma bidibisi daa nyɛla Yisahaku mini Ishimail.,dibaraya maa bidibsi daa nyɛla yili saa kom mini yiɣishima,0.1429,0.0079
42,"Bɛ zuliya m-bɔŋɔ: Ishimail bituuli n-daa nyɛ Nɛbaiɔt, bɛn daa dol’ o nyaaŋa n-daa nyɛ: Kɛdar mini Adibiil ni Mibisam ni Mishima ni Duma ni Masa ni Hadad ni Tɛma ni Jɛturi ni Nafish ni Kɛdɛma.",niriba ayi mbɔŋɔ shɛba bɛ tuuli ni n daa nyɛ nilibaayɔti bɛn daadɔli o nyaaŋga n daa nyɛ kadira mini adiibɛɔ ni mi bia saam ni mi shɛba ni duu maa ni mi masa ni hee daadɔ ni tam ni jɛktɛri ni na peenti ni kadama,0.0239,0.0026
43,Ishimail bidibisi ni daa nyɛ shɛba m-bala.,bipuɣibihi mini bidibisi ni daa nyɛ shɛbi mbala,0.0612,0.0095
44,Ibrahimma mam ŋun yuli daa booni Kɛtuura la ni daa dɔɣi bidib’ shɛba n-daa nyɛ: Zimiran mini Jokishan ni Mɛdan ni Midian ni Ishibak ni Shua.,tibaraya mammaŋa ŋun yuli daabɔŋ ni ka tuura la ni daadɔɣu bidibsi shɛba n daa nyɛ ʒɛ miran mini jɛkisha ni mali daa ni mi beni ni ʒi baak ni suwa,0.0311,0.0026
45,Jokishan bidibisi n-daa nyɛ: Shiiba mini Dɛdan.,duɣisi kam bidibisi n daa nyɛ shɛba mini da daa,0.1429,0.0069
46,Midian mi bidibisi n-daa nyɛ: Ɛfa mini Ɛfɛr ni Hanok ni Abida ni Ɛldaa.,meidiyɛn mi bidibisi n daa nyɛɛ ɛɛpa mini ɛɛ piri ni ha nook ni abɛda ni alzaa,0.0561,0.0046
47,Bɛmbɔŋɔnim’ zaa daa nyɛla Kɛtuura zuliya.,ban mbɔŋɔ zaa daa nyɛla ka durila zuriya,0.1389,0.0095
48,Iso bihi.,kpɛ so bɛni,0.75,0.102
49,"Ibrahimma n-daa nyɛ Yisahaku ba, Yisahaku bidibisi n-daa nyɛ Iso mini Izraɛl.",bidibiraamanda nyɛla yiɣisi a ku ba yiɣisi a ku bidibisi daliya yiɣisɔ mini yidiraa,0.0833,0.0081
50,Iso bidibisi n-daa nyɛ: Ɛlifaz mini Riuɛl ni Jɛushi ni Jalam ni Kɔra.,sisɔbi bidibisi n daa nyɛ alifas mini rɛɔ ni ji o shɛɛ ni jiɣila ni kɔhira,0.0592,0.0065
51,Ɛlifaz bidibisi n-daa nyɛ: Tɛman mini Omari ni Zɛfi ni Gatam ni Kɛnaz ni Timna ni Amalɛk.,alipadibisi n dina n nyɛ tamani mini o mali ni zanpe ni garitam ni kayaansi ni tim na ni amɛla,0.045,0.0053
52,Riuɛl bidibisi n-daa nyɛ: Nahat mini Zɛra ni Shamma ni Miza.,duu bidibsi n daa nyɛ naa mini zara ni shɛma ni mii zaa,0.0744,0.0054
53,Ninvuɣ’ shɛb’ bɛn daa tuui ʒini Ɛdom.,niriba shɛba ban daɣi tuugi ni laɣidɔm,0.1429,0.0191
54,Siɛr bidibisi n-daa nyɛ: Lɔtan mini Shɔbal ni Zibiɔn ni Ana ni Dishɔn ni Ɛzɛr ni Dishan.,siɛha bidibisi n daa nyɛ loota mini shɔba ni zibila bɛ ŋɔ ni anahi ni bɛ shɛŋa nihi zaa ni bɛ shɛŋa,0.0519,0.0059
55,Lɔtan bidibisi n-daa nyɛ: Hɔri mini Hɔmam.,loota mini di puuni ata nyɛla ŋɔ di mini ha na,0.2041,0.0165
56,Lɔtan tizɔpaɣa n-daa nyɛ Timna.,lotaŋ tuzo paɣanda ayi nyɛ timina,0.2,0.0112
57,Shɔbal bidibisi n-daa nyɛ: Alivan mini Manahat ni Ɛbal ni Shɛfi ni Onam.,shɔba bɛ dibu pindaa n nyɛ alivarim mini mana hat ni alibarɛ ni shɛbipi ni o na,0.071,0.0052
58,Zibiɔn bidibisi n-daa nyɛ: Aiya mini Ana.,zibihi mini bidibsi n daa nyɛ aayaka mini aana,0.1429,0.0098
59,Ana daa nyɛla Dishɔn ba.,paɣa ni daa nyɛla gishebi m baɣi,0.2,0.0305
60,Dishɔn bidibisi n-daa nyɛ: Hamiran mini Ɛshiban ni Itiran ni Kɛran.,kpɛ shɛbi mii dini siɣimdaa nyɛ haamɛrila mini ashibahan ni hiitiraan ni karan,0.0744,0.0082
61,Ɛzɛr bidibisi n-daa nyɛ: Bilihan mini Zaavan ni Jaakan.,nachɛra bidibsi n daa nyɛla bɛ nuhi am ni zaa va ni jɛɣukan,0.1481,0.0093
62,Dishan bidibisi n-daa nyɛ Uzi mini Aran.,dishɛla bidibsi n daa nyɛla paɣa o nuu mini arab,0.1837,0.0146
63,Ɛdom nanima.,adam nanima,0.25,0.02
64,Na’ shɛb’ bɛn daa di Ɛdom tiŋgbɔŋ nam hal ka Izraɛlnim’ ti naanyi mali nanima yuya m-bɔŋɔ.,nachɔɣu bɛn daadɛ adɛm tingbani nam halija ziraanim ti naayi mali nanim yuya m boŋɔ,0.045,0.0042
65,Bɛɔr bia Bɛla ŋun ya daa nyɛ Dinhaba la.,bihi la bia biɛla ŋun nyɛla din hoola bala,0.0988,0.0166
66,"Bɛla ni daa ti kpi, Jɔbab ŋun daa nyɛ Zɛra bia, ka o ya nyɛ Bɔzira la n-daa di nam zan’ o zaani.",bɛla ni daati kpɛ jɛba ban ŋun daa nyɛ zanabii ka o yɛn nyɛ boosirila la n daadɛ nam n za ni o zaa ni,0.0284,0.0036
67,"Ka Jɔbab daa ti kpi, ka Husham ŋun daa nyɛ Tɛmannim’ tiŋgbɔŋ ni nir’ la di nam zan’ o zaani.",kaadɔbba daati kpɛ ka huu shɛm ŋun daa nye ti maa nintin gba ni nirila dini nam zoro zaa ni,0.045,0.0041
68,"Ka Husham daa ti kpi, ka Hadad ŋun daa nyɛ Bɛdad bia, ka nyɛ ŋun daa tuhi nyaŋ Midiannim’ Mɔabnim’ tiŋgbɔŋ ni la daa di nam zan’ o zaani, o ya yuli n-daa booni Avit.",ka wuɣi shɛmda ti kpɛ ka haliya ŋun daa nyɛla bɛ daabia ka nyɛ ŋun daa tooniyaamɛ diɛnima mɔbi nima tiŋgbani la daazi nam zinim zaa ni o yɛla yuli daba ni afi,0.018,0.0026
69,"Hadad ni daa ti kpi, Samla ŋun daa nyɛ Masirɛka nir’ la n-daa di nam zan’ o zaani.",halɛla niraba ata kpɛ samila ŋun daa n nyɛ mashin ka niraba an daadɛ namdi n ʒɛ o nuzaa ni,0.0525,0.0067
