sample_id,reference,hypothesis,wer,cer
0,Nakai nɔɔ,Nakai nɔŋŋ.,0.5,0.25
1,Miikase Ga,Miikase gɔɔ.,0.5,0.2222
2,Tetɛŋ,Tsu kε hii.,3.0,1.4
3,Obaanyɛ ni ofee oha mi aloo,Aanya ni ofee oha amε aloo.,0.3333,0.2273
4,Oshwiee,Oshii.,1.0,0.4286
5,Oshwiee,Oshwie,1.0,0.1429
6,Kwɛmɔ ohe nɔ ojogbaŋŋ,Kwεmɔ ohe nɔ ojogbaŋŋ.,0.25,0.0556
7,Ofainɛ yoo,Ofai ni yoo,1.0,0.1111
8,"Mi shika a, enyiɛ eshwɛ","Meshi kaa,enii lε eshwε.",1.0,0.2778
9,Mi yɛ ojogbaŋŋ,Mi yε ojogbaŋŋ.,0.3333,0.0833
10,kɛfee lɛ tswaa mi,"Kε efee lε,tsɔɔ amε.",1.0,0.4286
11,"Ofainɛ hɛɛ, Miitaɔ mamaje mi bi shika",Ofai ni ee miitao ni mamaji miibi shika.,1.0,0.3
12,Kaa hani ohiepkanɔ,Kaa ha ni ohiε kpa nɔ.,1.6667,0.1875
13,Obaanyɛ ni ofee oha mi aloo,Obaanyε ni ofee oha mli aloo.,0.3333,0.0909
14,Miitaɔ ni ma maje,Miitao ni ma jεmε.,0.5,0.3571
15,Tetɛŋ,Tsu fεε yε.,3.0,1.4
16,Mɛni yaanɔ,Miini yaa nɔ.,1.5,0.2222
17,Ofainɛ nyɛɛ link ɛɛ ni ba  o’screen nɛɛ nɔ,ofaini lε hiε liŋki lε ni eba oskriŋ lε nɔ.,0.8889,0.5625
18,Nakai nɔɔ,Nεkpε kpo ko yɔɔ.,2.0,1.125
19,Te atsɛɔ enɛ tɛŋŋ,Tε atsεɔ enε tε lε.,1.25,0.4286
20,Number ni i kɛ twa bo nɛɛ nɔɔ,Namba ni ekεtswa gbε nεε nɔŋŋ nɔ.,0.875,0.5909
21,Ba ni obafatawɔhe,Ba ni oba fata wɔhe.,1.0,0.0
22,Mo wɔgbe otransfer ɛ naa,Mɔ wɔgbee otsrɔnsi fεε naa.,0.8,0.4
23,Ofainɛ mahe yɛ airtel tigo,"Ofai nεε,maŋhe yε L.T.O.",1.0,0.5
24,Tetɛŋ,Gbekε lε,2.0,1.2
25,Abaana bo,Abaana bo.,0.0,0.0
26,Nyɛɛ ekome,Nyεεε ekome.,0.5,0.3333
27,Ofainɛ osumɔ ni ohe airtel tigo 10 cedis yɛ 0260960586 nɔ aloo,"Ofai nεε osumɔɔ ni ohεεεta otee go, tεiŋsidis yε, zεri tuu sεεgbε, naisisεεε, fayfεεεsiks aloo.",1.0833,0.9804
28,Hewalɛ,Maheuniti.,1.0,1.1667
29,Ayekoo,Aheko.,1.0,0.3333
30,Number ni i kɛ twa bo nɛɛ nɔɔ,Namma ni mli kε tswa bo nεε nɔ nɔŋŋ.,0.875,0.5909
31,No ko kokro yɛ ni oosumɔ ni wɔfee wo ha bo lo,Nɔ ko kroko yε ni osumɔɔ ni wɔfee wɔha bo lo.,0.5,0.2059
32,Adafitwaa kɛ shwɛmɔ,Adafitswaa kε shwεmɔ.,1.0,0.1765
33,Ofainɛ noko  ekoŋ yɛ ni otawɔ ni ofee aloo,"Ofai lε, nɔ ko eko yε ni ootao ni ofee aloo.",0.7778,0.2424
34,Kaa hani ohiepkanɔ,Kεha ni ohiε kpa nɔ.,1.6667,0.3125
35,Miiya solemɔ he lɛ,Miiasɔlemɔhe lε.,1.0,0.2
36,Hewalɛ,Hewa lε.,2.0,0.1667
37,No ko kokro yɛ ni oosumɔ ni wɔfee wo ha bo lo,Nɔ ko kroko yε ni eesumɔ ni wɔfee hɔɔha bo loo.,0.5833,0.2941
38,Ofainɛ,Ofai nε.,2.0,0.1667
39,Adafitwaa kɛ shwɛmɔ,Adafi tswaa kε shwεmɔ.,1.3333,0.1765
40,No ko kokro yɛ ni oosumɔ ni wɔfee wo ha bo lo,Noko kroko yε ni osumɔɔ ni wɔfee wɔha bɔ loo.,0.75,0.2353
41,Jiemɔ ohitsirɛ kɛ lala,Jiemɔ ohiŋtsεε kε lala.,0.5,0.2632
42,gbɔi pii yɛ Ga,Gbɔi pii yε ga.,0.25,0.0909
43,Sane eba,Saneyiba.,1.0,0.2857
44,Ofainɛ tsɛ number oha mi,"Tsofa nε,tsεna baa oha mli.",0.8,0.5
45,Mi yɛ ojogbaŋŋ,Mi yε ojogbaŋŋ mli.,0.6667,0.3333
46,Sane agbo,Saneyagbo.,1.0,0.125
47,Nitsumɔ kpakpa,Nitsumɔ kpakpa.,0.0,0.0
48,Wolo yeŋ,Wolo yεŋ.,0.5,0.1429
49,"Mi shika a, enyiɛ eshwɛ",Mi shika enyε eshwε.,0.6,0.2222
50,Ofainɛ mɛɛ network osmɔ ni ohe credit ɛ yɛ nɔ,"Ofayεnε,mεi nεt wεki osumɔ ni ohe kεdi tεi yε nɔ.",0.7,0.4444
51,,Maŋtsεmεi.,1.0,9.0
52,Nyɔmɔwoo,Nɔmɔ wooo.,2.0,0.25
53,Toiŋjɔlɛ afee onɔ,Tuiŋjɔlε afee onɔ.,0.3333,0.1333
54,Miitaɔ ni ma maje,Miitao ni mamaje.,0.75,0.0714
55,Bo ni otswa mi aloo?,Bonyo tsu lε mli aloo.,0.8,0.3333
56,Yɔsemɔ nii,Yɔɔseemɔ nii.,0.5,0.2222
57,Nɛgbɛ oyɔɔ,Hii gbε bo yɔɔ.,2.0,0.5556
58,Kpakpa,Papa.,1.0,0.3333
59,Majemɔ shika kɛha mi mami,Majemɔ shika kεha mi mami.,0.2,0.0476
60,gbɔi pii yɛ Ga,Gbɔi pii yε da.,0.5,0.1818
61,Majemɔ shika kɛha mi mami,Majemɔ shika kεha miima mli.,0.6,0.1429
62,yoo,Yoo.,0.0,0.0
63,Ofainɛ tsɛ number oha mi,Ofai ni etsa ni abawa wɔha mli.,1.4,0.55
64,Obaasumɔ woya ŋshɔ naa,"Oblanuu lε, obaasumɔ wɔyaa ŋshɔ lε naa.",1.0,0.6842
65,Ofainɛ mɛni ji o acount number?,Ofai nyεmi ni ji wɔkaaunti maŋbaa.,1.0,0.56
66,Mɛni yaanɔ,Miini yaa nɔ.,1.5,0.2222
67,Shramɔ,Shwεmɔ.,1.0,0.3333
68,Mo wɔgbe otransfer ɛ naa,Mɔ wɔ gbe otsaŋsi lε naa,1.0,0.35
69,Bo ni otswa mi aloo?,Bonyo tsɔne aloo.,0.8,0.3333
70,Jiemɔ ohitsirɛ kɛ lala,Tsuemɔɔ oshitsiɔi kε lala.,0.75,0.4211
71,Foonɔ,Foonu nɔ.,2.0,0.4
72,gbɔi pii yɛ Ga,Bɔi pii yε gai.,0.75,0.2727
73,Nadaalɔ,Nadaa lo.,2.0,0.1429
74,Oyiwaladɔŋŋ,Oyɔɔ lε dɔŋŋ.,3.0,0.3636
75,Ofainɛ tsɛ number oha mi,Ofai ni tsεnsi baa nɔŋŋ hɔɔ mli.,1.4,0.65
76,Miiŋa bo,Miigabo.,1.0,0.1429
77,Foomii,Fɔɔ mli.,2.0,0.5
78,Nɛgbɛ oyɔɔ,Mεi gbε bu yɔɔ.,2.0,0.6667
79,Miiŋa bo,Mεi miiŋa bo.,0.5,0.4286
80,Te atsɔɔ bo tɛŋŋ,Ti atsεɔ bo tεi.,0.75,0.3846
81,Ayekoo,Ayε kɔɔl,2.0,0.6667
82,Nfonii fɛɛfɛo,Mfoniri fεεfεo.,1.0,0.4167
83,Ba ni obafatawɔhe,Ba ni oba fata wɔhe.,1.0,0.0
84,Te atsɛɔ enɛ tɛŋŋ,Tε atsεɔ enε fεε.,1.0,0.5
85,Wolo yeŋ,Wolo yεŋ.,0.5,0.1429
86,Ofainɛ obaanyɛ ni otsɛ e account number a,Ofainε obaanyε ni otsε eha kaunt nɔmɔ lε.,0.875,0.3529
87,Wɔ fee otransfer ɛ eha bo,Wɔfee otsuɔlɔi srɔtoi eha bo.,0.6667,0.55
88,Yoo minu,Yoo enyɔ.,0.5,0.5714
89,Ofainɛ noko  ekoŋ yɛ ni otawɔ ni ofee aloo,"Ofai nεε, noko eko hu yε ni ootao ni ofee aloo.",0.6667,0.2424
90,obaanyɛ onyiɛ wɔsɛɛ,Obaanyε onyiε wɔsεε.,1.0,0.2353
91,Miiya solemɔ he lɛ,Miina Sɔlemɔhe lε.,1.0,0.2
92,Nyɔmɔwoo,Nyɔŋma wuo.,2.0,0.375
93,Nɛŋgbɛ boyɔɔ?,Hii gbε gbohii lε yɔɔ.,2.5,0.9091
94,Nibimɔɔ,Nibii miiŋmɔ.,2.0,0.7143
95,Shidaa aha bo,Shidaa aha bo.,0.0,0.0
96,Ofainɛ wɔgbena,Kofai nεε wɔgbenaa.,1.5,0.3077
97,Oshikifɔɔ okadi,Oshikifɔɔ okadi.,0.0,0.0
98,Mɛni yaanɔ,Maa wɔ wolo.,1.5,0.8889
99,Majemɔ shika kɛha mi mami,Majimɔ shika kεha mi mami.,0.4,0.0952
100,Ani nakai lo,Aani nakai lε miiloo.,1.0,0.7
101,Nɛgbɛ oyɔɔ,Hii gbε bo yɔɔ.,2.0,0.5556
102,Ofainɛ oyiwaladɔŋŋ,Ofaa ni oyawala dɔŋŋ.,2.0,0.1765
103,Miiŋa nyɛ,Miina nε.,1.0,0.375
104,Ofainɛ mɛni ji o acount number?,"ofai nεε, mεniji ɔɔkaaundi  nɔba.",1.0,0.56
105,Obaanyɛ ni ofee oha mi aloo,Obaanyε ni ofee oha mli aloo.,0.3333,0.0909
106,Ofainɛ obaanyɛ ni otsɛ e account number a,Mfoni fain ni ee eesumɔ.Mɔ kome mamaji eebi shika.,1.0,0.9412
107,Foonɔ,Fɔɔ nɔ.,2.0,0.4
108,Ofainɛ tsɛ number oha mi,Ofai ni tsεna baa oha mli.,1.0,0.35
109,Mahe units,Maheuniti.,1.0,0.1111
