sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,Sucombe de me,0.5,0.5
1,Akwadaa wei,akwadaa wei,0.0,0.0
2,Mafe wo,maafio,1.0,0.5
3,Yɛ wɔ,yɛwɔ,1.0,0.0
4,Ɔmee ne Ɛfeɛ,ɔmɛnyi efie,1.0,0.7
5,Mɛtɔ credit 5 cedis,metal credit five se res,1.0,0.625
6,ɛkɔm de me,ɛkɔm dɛm,0.6667,0.25
7,Hyɛɛ n'anim teɛ,hyɛn anim tseɛ,1.0,0.1667
8,Medaase mensa aka,bedase mmiɛnsa aka,0.6667,0.3333
9,Dum kanea no,dum kanea no,0.0,0.0
10,Na ɔkɔe kowui,na ɔkɔɔ ekɔ wi,1.0,0.2727
11,Neho ayɛ fi  paa,mmerɛw ayɛ fi paa,0.25,0.4167
12,Me pɛse me tɔ credit na me de gu mtn number so,mɛpɛsɛmɛtɔkwa de tsena me de gu ɛmtien nnamu aso,0.75,0.4857
13,Mepaa’kyɛw me number no yɛ 059,paqew me namba ne yɛ 059,0.5,0.4167
14,Ko buu no,kobuu no,0.6667,0.0
15,Woka borɔfo,wɔ kamberɔfoɔ,1.0,0.4
16,Tuu no,tsunu,1.0,0.4
17,ɛyɛ,Eye,1.0,0.6667
18,Mepaa’kyɛw ma sesa m’adwene,mepakyeɛ wɔn asesa ma adwen,1.25,0.2727
19,To nnwom,Sanyam,1.0,0.7143
20,Yɛ wɔ,yɛ wɔɔ,0.5,0.25
21,Bra ha,brɔha,1.0,0.2
22,Nsuo,nsuo,0.0,0.0
23,Mame bebree,maame bebree,0.5,0.1
24,Ma me bi,maame bi,0.6667,0.1667
25,Dadeɛ bi twa dadeɛ bi mu,dadeɛ bi twa dadeɛ bi nu,0.1667,0.0526
26,Hyɛɛ n'anim teɛ,hyɛn enim tse,1.0,0.3333
27,Tuu no,to no,0.5,0.4
28,Dan mu,Daim,1.0,0.4
29,Mepaa’kyɛw me number no yɛ 059,mepaakyeɛw me namba no yɛ 059,0.3333,0.1667
30,Hwan akonnwa,ɔayɛ kɔnya,1.0,0.6364
31,Wo pɛ deɛn,ɔpɛ dan,1.0,0.5
32,Dum kanea no,dum kanea no,0.0,0.0
33,Ne nea Ɔsɛe de yɛɛ buburoo wei,nenya kɔsɛɛdi yɛ buburowii,1.0,0.2917
34,Mee tɔ akɔ 054 so,merito akɔ 05,0.8,0.4615
35,Mepaa’kyɛw Aane (spoken),mepa akyɛw ani,1.0,0.4211
36,Ne yere,Mayor,1.0,0.6667
37,Yoo medaase,yɛwɔm daase,1.0,0.4
38,Maa aboa bi twee,mmaa aboa bi twene,0.5,0.1538
39,Mayera,maayewa,1.0,0.3333
40,ɛno akyi no,enno akyi no,0.3333,0.2222
41,Nante yie,nantie,1.0,0.25
42,Me pɛse me tɔ credit na me de gu mtn number so,mipasa me to kredits na me di gu mtn namba so,0.5,0.2857
43,ɛkɔm de me,ɛkɔm dɛmɛ,0.6667,0.25
44,Efiri sɛ,efrisɛɛ,1.0,0.2857
45,Wo pɛ deɛn,wɔpɛden,1.0,0.25
46,Me credit aka sɛn,kuratit akɔsɛn,1.0,0.4286
47,Yoo medaase,wɔwɔ mi dansee,1.5,0.7
48,Nante yie,nnante yie,0.5,0.125
49,Wobɛtumi akyerɛ me hɔ,wɔtumi akyerɛme hɔ,0.75,0.1667
50,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,pakyɔm ɛpɛsɛm ɛtɔ mtn kredits,0.8571,0.3214
51,Mtn,mntn,1.0,0.3333
52,Akwadaa no to dwom,akwadaa no so dwom,0.25,0.0667
53,Mee tɔ akɔ 054 so,mmɛɛtɔ akɔdzeɛr fɛɛfoɔ,1.0,1.0
54,Me sika no aka sɛn,me sika no aka sɛn,0.0,0.0
55,Fa to hɔ,發出火,1.0,1.0
56,Na biribiara dwoi,na beberee a hara jo yi,1.6667,0.6667
57,Aane,ahaa ne,2.0,0.5
58,Woanyini kyɛn me,wɔn nyinkyeame,1.0,0.3571
59,Tikorɔ nnkɔ agyina,ti kura wɔn kɔ agyina,1.3333,0.25
60,Me ho mfa me,mehu fami,1.0,0.3333
61,Emu biara,ɛmu biara,0.5,0.125
62,Woka borɔfo,wɔ kabrɔfo,1.0,0.2
63,Woforo dua pa a na yɛ pia wo,wofo dua pa a n ayɛ pii aho,0.625,0.1905
64,Neho ayɛ fi  paa,neho ayɛ fi pa ara,0.5,0.1667
65,Akwadaa no to dwom,akwadaa no to dwom,0.0,0.0
66,Gye di,J-d,1.0,0.8
67,Okuu adubɔfoɔ,ɔkɔ adubɔfoɔ,0.5,0.25
68,"Kosɛ, manhyɛ da",kɔsɛ maa nhyɛ da,1.0,0.1667
69,Ɛsoo aba pii,ɛso abapii,1.0,0.1
70,Me hia wo mmoa,你還要我摸啊,1.0,1.0
71,Medaase,mme daase,2.0,0.1429
72,Wo ewie,weiwie,1.0,0.3333
73,Merehwehwɛ Yaw,mmirihwɛ hyɛ yaw,1.0,0.3846
74,Wɔ nnwomkorɔ kuo bi mu,wɔ nnwom kurakuruw bi mu,0.4,0.2778
75,Wo se sɛn,What's the sign,1.0,1.0
76,Hwɛ soro,hyɛ soro,0.5,0.1429
