sample_id,reference,hypothesis,wer,cer
0,Akyɩɩ anyɔ mʋ ba yɩlɛ sa ntɔwɛ‐kyula anyɔ mʋ nɩɩ Ɩbwaarɛ waa maa asa nsana mʋ.,"Akyi aŋɔmɔ, Balesa ŋtɔwukyula aŋɔ, mɔne Iŋbaawa mɛaasa nsaana mɔ.",1.0,0.377
1,"Ɩbwaarɛ maa sa anɛ mʋ Kayaayu Kyɩrɛkyɩrɛ sʋ, nɩɩ an nyi fɛɛ an bʋ mʋ tɔ nɩɩ ngbaa mʋ bʋ anɛ tɔ.",ɔba dɛ ma saansɔ mɔɔ gɛya yikkyɛrkyɛrmɔ sɔ na nyifiiɛ aa mbɔ mɔ tɔɔ nɛn gbamu ɔba aa ntɔ,1.0,0.5278
2,"Herodi ɩ daa yɛgɛ nɩɩ ba kɩtaa Gyɔn okyugyeepu, nɩɩ ba taa agbeeleebi da mʋ, nɩɩ ba taa mʋ tii obu.",Herod iyeda ayagana baketa John otujepu. Na ebata agbelebi damo. Na ebata muti obu.,0.9524,0.3553
3,"Amaa ɔkʋmaa mʋ nɩɩ ɔ man sʋ mʋ, halɩɩ pii kʋmaa mʋ nɩɩ ɔ sʋ mʋ gbaa mʋ, bee biti ba kɔɔlɛ lɩɩ mʋ asɛ.","Ama okwa mɔnɛ ɔmɔn somo. Halipuu mɔnɛ ɔso mɔgba mɔ, bɛbɛɛ tɔ ba kɔɔ lii mwa sɛ.",0.96,0.5
4,"Ɩ kaapʋ nɩn fɛɛ atɔbwaaya mʋ nɩɩ ba taa lɔŋɔ sa mʋ ɩ gyɛ kʋtɔ kʋ, abɛɛ ɩdakpa mʋ ɩ gyɛ kʋtɔkʋ?","Kafene fee a tabwaa mane bae taa lonensa muu e gyokotokuu, abe e tapa muu e gyokotokuu.",0.9545,0.5634
5,"Ɔ maa bʋ tʋtɔ mʋ, nɩɩ asa damantɛ ba ba mʋ asɛ, nɩɩ bɛɛ tɔwɛ yɛ, “Halɩɩ Gyɔn maa man waa asɩn kyinkyinsa ɩkʋ gbaa mʋ, kʋtɔ kʋmaa mʋ nɩɩ ɔ tɔwɛ lɩɩ ɔnyɩn nɩmʋ sʋ mʋ, kpini gyɛ kesintin.",ɔ ma ba tɔ ta mɔ na sɛ dambanta ba bɔɔ mu ase ne ba taawɔ yɛɛ Haligiɔn mama wɔɔ asikyinkyin saɛ ekugba amu Kutokuma mɔɔ ne ɔ tɔɔ welee ɔnyɛ nɔmɔ so mu pini gyikasi nti,0.925,0.413
6,"Tʋtɔ nɩɩ Yesu taasɛ mʋ abɩɩlapʋ mʋ yɛ, “Saŋa mʋ nɩɩ n kyɩna sun fanɛ yɛgɛ fan man sʋ afulee ɔwaakpa yɛ itaakpe yɛ asɩbɩta mʋ, fan pan kʋtɔ kʋ?","To to miyaasɔ tasa m'atela pu me yɛ. Saŋamɔna iŋino sumfanya gafa mɔŋsa afule ɔwa kpa yɛ. I takpɛ yɛ asəbətamu, fampanŋ kuto",0.9333,0.4128
7,"Nɩɩ ɔkʋ kan ɛɛ fɛ nfɛɛrɛ fɛɛ ɔ sʋ ɔkpa ɔ taa mʋ n‐yɩɩ tʋʋ kayɩɩ‐wʋlɛ kɩtɩn sʋ mʋ, naafɔɔ mɛ ɩ sʋ ɔkpa n kyɔ mʋ.","na ɔ kɔ ka ɛfɛ ɛmfɛrɛfɛ, ɔ su ɔkpa, ɔ tamʊ ɣi to, ka ŋewula ka tɛŋ sumɔ. na fɔ mɛ ɛ su ɔkpa ɛnkyam",0.8519,0.4321
8,"’ Nɩɩ fan kan nu asɩn nɩmʋ kasɛ nɩn, naafɔɔ fen mee bun asa mʋ nɩɩ ba man waa alibi mʋ kʋpwɛ.","Nɛ fankangɔ asɛnnɔɛ ka sɛnnɔng, na fɔfɔɛ mɔ bunɔ asamɔnɛ, bɛmɔ wura alubimɔ ko po.",1.0,0.4493
9,"Anɛ Gyiwu abi anɛ Ɩbwaarɛ mʋ, lɛɛ anɛ naana ana nɩɩ ɔ sa bamʋ kanyɛ saŋa mʋ nɩɩ ba bʋ Egyipiti ɔsʋwʋlɛ sʋ, nɩɩ ɔ taa mʋ ɔlʋn lɛɛ bamʋ lɩɩ ɔsʋwʋlɛ maŋa tɔ.","Anii abi, ani ibwarə mɔɔ lɛ ana nanaa, na ɔsɔbɔ mɔ gɛnyɛ, sɔɔ mɔ bɔɔbɔ Egypt ɔsɔrɔ so, na ɔtam ɔluu lɛ bɔ mɔ lɛ ɔsɔrɔ maŋatɔ.",0.9412,0.4831
10,"Ɩmʋ sʋ fan yɛgɛ alibi kɩwaa fanɛ kakyɩna tɔ kɛ fɛn buu Ɩbwaarɛ, kɛ ɔ taa fanɛ alibi kɛɛ fanɛ.","e mo sa fɛna ayarebi ku wa, fɛna kyɛtena tɔ, ke fombu ibware, ke ɔta fɛna ayarebi ke fɛna",1.0,0.5139
11,"Mʋ asɩn kyinkyinsa maŋa nɩɩ ɔ sʋ ɛɛ pɩna, bamʋ nɩɩ ba sʋ kadʋnbwɛ mʋ kakyʋlɛ, nɩɩ ba bɩla bee sun mʋ apɔyɩtɔ ɔdakpa mʋ.","Mɔ asintiŋtiŋ se mɔne ɔsoo ɛpɛna, ba mɔne basu gadoɔm mɔɔ gakyɔlaɛ. Nba bəla baəsuŋ mɔɔ apɔətɔ ɔdatam",0.96,0.4891
12,"Amaa ba kɔɔlɛ gyii fɛɛ Ɩbwaarɛ mʋ nɩɩ ɔ da mʋ kɔkɔlɔ sʋ sa bamʋ fɛɛ ee biti ɔ sa bamʋ kebii mʋ, gyɛ kesintin wuya.",a ba kwaligya feee i bwa re mɔne ɔ da mɔŋ kɔkɔlɔsɔ sa ba mɔ feeei ebi tee ɔ sa ba mɔ kebi mɔɔ gya ke sintiŋ wii,0.8846,0.4023
