sample_id,reference,hypothesis,wer,cer
0,Ɔtoo nsa frɛɛ nkorɔfoɔ no sɛ wɔmmra mma wɔmfa wɔn nsa nhyɛ Ne nkyɛn na wɔnte nnadewa a ɛwɔ Ne nsa ne Ne nan mu no ntwerɛwee nka.,ɔto nsa frɛ nkorɔfoɔ no sɛ wɔmmra ne wɔmfa wɔnsa nhyɛ ne nkyan ɛne nemfene ne nnamu nado a wɔde bɔɔ no,0.6429,0.38
1,na wɔnim [Warden Duffy] pa ara ɛnam ne mmɔdemmɔ sɛ ɔboa nnipa a wɔwɔ n’afiase hɔ ma wɔnya asetena pa.,na ɔnum hwɛ fo dafipa ɛnam ne mmɔde mpɔ sɛ ɔbo afo fɔm onyi asetenaa,0.85,0.4744
2,"nneɛma a yɛyi,",neɛma ho hia yia yɛbɛ tumi ɛ sua wɔhɔ saa asetere,3.6667,2.8182
3,"na ɛtɔ da a ɔdi awerɛhoɔ nya atenka sɛ ɔyɛ ankonam a ɔnni asɛmmisa,",na ɛtɔ dabi a odi awrɛhoɔ te nka sɛ ɔyankonam a oni asamisa,0.6429,0.2453
4,"sɛ yɛhyɛn ɔkwan teateaa ne teateaa a ɛde yɛn bɛsan akɔ Ɔsoro Agya anim no a,",ɛbɛn nante tene ne ɛkwn no so na ɛde ya nwa akɔ ɔsoro aja no n,0.8125,0.5333
5,ɔsom wɔ Asɔre no mu sɛ pɛɛwa agyinatukuo kɛseɛ ba.,ɔsom w asɔre ne mu sɛ pɛ wagyinabia tu kɛseɛba,0.6,0.225
6,M’agya nam Twerɛsɛm ne atenka hodoɔ a ɔkaa ho asɛm no so boaa me ma mede gyidie fapem a ɛyɛ den sii hɔ wɔ Awurade Yesu Kristo mu.,magyanam cyerɛ sɛm ɛne atenka hodo a ɔ ka ahoasɛm no so boame ma me gyidie fapim a adi si aywɔrade yesu kristo su,0.6786,0.2
7,"Amansan SodifoɔAduɔson a wɔdidi soɔ yi wɔbɛma wɔn agye wɔn ahome na wɔama wɔn emeritus dibea,",ama san sudufuɔ deɔson a wodede suoyi wɔbɛma wɔn najewɔ na hɔme na wama wɔn ameretus dibia,0.8125,0.2468
8,Nsakraeɛ a aba Mpɔtam Aduɔsonfoɔ mu Wɔgyee Mpɔtam Aduɔsonfoɔ a wɔdidi soɔ yi too mu wɔ akannifoɔ nhyiamu bi a wɔyɛeɛ sɛ amansan nhyiamu fa bi:,afre osanaa bosom,1.0,0.9052
9,yɛsua no pefee sɛ yɛn Soro Agya no akyerɛ saa nkyerɛkyerɛ a ɛsomboɔ yi fiti mfitiaseɛ ankasa.,yeyei anaa yeyei mɛsrasan,1.0,0.7763
10,na saa kuo yi hyiaa nsɛmdennden pii.,sa meremmabɔɔbokuo no tia nuɛma ne muɔden,1.0,0.8966
11,mede m’ahoɔden nyinaa pia sɛdeɛ ɛbɛyɛ a mframa rensa wɔ sankuo no mu.,mede maho ɔde nyina piasɛ deɛ bɛyɛ mframa a ɛde bɔ sɛ nko nou,0.9231,0.2364
12,a ɔhyɛ atadeɛ a ɔde da na ɔkuta Mormon Nwoma Abasɛm.,awo shaa taadea wo dedaa na o kuta momo nŋoma abase,1.0,0.3902
13,"Berɛ a na ɔrekɔ sukuu wɔ asraafoɔ atenaeɛ bi wɔ Germany no,",brebiaa no boasetoni hɔma nyammesom,1.0,0.8085
14,baabi a mekae yie a na mekɔ Yesu Kristo Asɔre no sakramɛmte nhyiamu berɛ a na meyɛ abɔfra no.,bɛbia na wasi yesu cristo yɛ comiti sacrament no ameraa na meyɛ abɔfra no,0.6842,0.4595
15,"na yɛbɔ mmɔden sɛ yɛbɛyɛ Yesu Kristo asuafoɔ mmapa a,",ɛwɔ sɛ yɛbɔ yɛhomɔden ɛwsɛ yɛbɔ yɛhommɔden biaaa,0.9,0.7209
