sample_id,reference,hypothesis,wer,cer
0,"Manɩŋ Pɔɔli vuodieke dɩ benne dansarɩka sʋŋ Yisa Masia saaŋ wɩa wa, aŋaŋ tɩ nɩmbʋa Timoti maagɩnana gbaŋkʋ gie a yɩa fʋnɩŋ tɩ tʋntʋŋ chanchaaŋ, vuodieke tɩ faasɩna cho wo,","Mane m'pore, vo dɛ kɔ dɛ bɛɛnɛ dansa kɔ sɔn. I sa m'tiɛ a san wɛɛ wa. A ngante ne m'bo ti m'bo ti magana na gban ku gɛ. A yɛfene tu tu tu n'chanchan. Vo dɛ kɔ dɛ fasene tu wo.",0.0433,0.0034
1,"aŋaŋ Masia dɩdɩɩsɩrɩ diekemba dɩ lagɩŋna a jɩama Ŋmɩŋ fʋ tigiri me wo, ta bɩ yɩa tɩ taa Afɩa aŋaŋ tɩ tʋntʋŋ chanchaaŋ Akapusi.","A ngamma se de di sride kan ba de la gna a jemang mang fatigri ma wo, te bi yati ta afia. Anga ti ton ton chian chian aka pusi.",0.0503,0.0041
2,Tɩ Chɔɔŋ Nabidie Ŋmɩŋ aŋaŋ tɩ Yɔmʋtieŋ Yisa Masia suŋŋi nɩ ta bɩ yɩ nɩ sʋgɩdʋagɩŋ.,De janna bɛdɛ nwen. A nɡati n tɛ yi sama sɛ sunni. Tɛbiyini suku duwa ka.,0.0625,0.0099
3,"N nɩmbʋa Filimoni, saŋŋa dieke mana maŋ keŋ jʋʋsa Ŋmɩŋ, ta tɩɩnsɩ fʋ wɩa n ŋaaŋ waasɩ wa mɩŋ.","Nnumba fəle moni, sanga deka manamankaŋ juusan mon 13 fəwe, nga waasuwam.",0.0526,0.006
4,Dama n wʋŋ fʋ yalla yada tɩ Yɔmʋtieŋ Yisa ma dene ta bɩ cho Ŋmɩŋ vuosi mana dene.,dama ongo fi yela yeda tu yamten yi samade ne tabi tuwongwo fi mane dene,0.0494,0.0063
5,"N jʋʋsa Ŋmɩŋ mɩŋ tɩnɩŋ aŋaŋ fʋ dɩ lagɩsɩna a yi Yisa Masia yada naa, die vaa tɩ mɩŋŋɩ sɩba berivɩɩnɩŋ dieke dɩ yine tɩ sɩɩtɩ ʋ ma.","Nyuu sang mamang, tenay anga fo de lang suna, ayi yisama siya, ya dana. De faateng sapa berfing diake, dina ti sito o",0.0357,0.0049
6,"N nɩmbʋa, fʋ chotiti gie yɩ mɩŋ wa sʋgɩfɩalɩŋ ta bɩ kpaŋŋɩsɩ mɩŋ, dama kpaŋŋɩsa Ŋmɩŋ vuosi mana mɩŋ.","nambo'a, pe kere tigie'im nambo'a su kufiala, tavi pangsima, damapangsama nuvu'usi manama.",0.0526,0.0069
7,Masia wɩa n tɩŋ kaaŋ chɩgɩ ŋmaamɩŋ dɩ n balɩ fʋ aŋ fʋ yi wudieke dɩ mʋna.,Masiya wura ntingka ntingka mama de yamba fo anfe yuda ka demuna,0.0588,0.0102
8,"Ama choti wɩa, n baa jʋʋsɩ fʋ mɩŋ, manɩŋ Pɔɔli vuodieke dɩ yine Yisa Masia tʋntʋntʋ ta lele a bie dansarɩka sʋŋ ʋ wɩa wa.",ama chetewura mbanju tefuman manimpoli voodekedi ineisamansiyatin tento talelle abedansarkaso uweovo,0.0384,0.0042
9,"Die wɩa, n zie wo Onisimusi naŋ ma, vuodieke dɩ yine n gbaŋ gbaŋ n bʋa Masia ma wa a jʋʋsa fʋ, dama n benne dansarɩka sʋŋ giena wa n balɩ wa mɩŋ wʋvɩɩnaha ʋ yi yada.","yɛ wuo. n se wuo o nu sumu sun na ma. bɛrɛ kɛ dɛ yi na ŋbwa ŋbwa, ŋ bwa, ma si ama wa. a ju sa fuo, dɛ ma ŋ bɛ na dansɛɛ kɛ sun gɛ na wa. ŋ bɛl wa mun. o fi na ha o yi yɛ dɛ.",0.0314,0.0038
10,"Saŋŋa dieke dɩ tɩanna wa die ʋ wo nyʋarɩ a yɩ fʋ, ama lele nɩŋ, ʋ yaa nyʋarɩ a yɩ manɩŋ aŋaŋ fʋ mana mɩŋ.","Zanga deka de te nawa, de uwanyere ayifo amale lennu uyanyere ayimana anga fomanama.",0.04,0.0054
