sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.",good up to lene nante ɛlas bɛyɛ dɛtɛtɛtɛtɛtɛkɔltubea no ase ɛhyɛ wɔn a ɛretɛn nsiese panin a wɔn me ɛdɛtɛs maeankɔɔ,1.0,0.8966
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.",ampa mmarima no bi wɔ hɔ a wɔnam ɛdu na wɔn ho nso yɛ den nso mmaa no deɛ wɔayɛ den asɛ yɛde mmaa asɔ wɔn so bɛ maame ɛta akasɛ ne nua baa no deɛ ne ho nso ɔtena fie ɔboa aduane yɛ ɔnkasa ntea mpanimfoɔ,0.434,0.209
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.",mmerɛ bi a me dɛm a wɔte afa me sukuu dan nkyɛn na ɛsesa me de sukuu dwumadie ɛɛ ma no wɔka nneɛma afa me nnipa dua hɔ na ɔka nneɛma a ɛɛma mehu wɔn tɔmɛ tehyɛ a ɛhyɛ nneɛma no yɛ ɔbaa,0.9318,0.4556
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.",nansoɔ seree no sɛ eduane noa yɛ mmar dwuma na mesɛ mmerɛ wɔ gyaade a yɛnhu me sɛ me aberanteɛ a me wanhoɔden a n’ato me wɔ mpɔtam ha me ne nsa anya ne koraa hyɛahemfoɛ kukuda mu wɔ nkran anaa mmeranteɛ a wɔnoa nnuane tɔn,0.6889,0.1913
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.",ebi te me akasa afa sɛ ne ebesia kadaa bi ɛtɔda a ayaanɛden ɛsan sɛ mmarima no ayaana wɔn gye pene ɛyɛ me dɛ sɛ ɛnyɛ me pɛ ɛna me dwen saa neɛma yi ho na wɔtwe ebi ɛsan ba bio,0.6364,0.2384
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?",mmehɔn tɔmɛn ɛsan sɛ yɛdi ade yi nkɔmmɔ dɛ na wɔsɛ meka so obi pɛ sɛ ɔhyɛ me so ma me yɛ adeɛ me mpɛ sɛ meyɛ a sɛnpɔ wɔnye nsɛmmea aeɛ anaa nkurɔfoɔ kasa so bi kasa dadeɛ a mpan kyerɛ sɛ dadeɛ me daase wɔ fa ebetumi a ehyia bio ɛbɛn ada,0.7368,0.2147
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.",wɔten kasa a wɔayɛ a akonam na wɔresoro sɛ wɔbɛba sukuuako mu akwan bɛyɛ na wɔbɛfa soanteɛ deɛ abeɛ a ɔbɛka no yɛ mmrɛ berɛ a obiaa reyɛ adeɛ a nteɛ no nnipa sɛ ɛyɛ me yɛ ɔkyerɛkyerɛfoɔ de bi nti me bɔ m me bɔn ɔden sɛ me twɛ mehuafi ɔham me bɔn ɔden sɛ me kɔ so de ma adwen si bi so,0.8103,0.3142
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.",eva ne fa…dantu na ɔtse lɔsɛm na ɛbɛdeɛsmii gyina pakese sɛn de scale of shelve agba kɛseɛ dabes ɛtere sɛrɛ bowls lae scale,0.9688,0.819
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.",dwumfɛ a ɔpono mmienuame sesa ananado baako mu na ɔsomɛtoma de me ebusiase mpɛ sɛ a mehu nsɛ wɔdwumayɛ aade kɛseɛ no a ɔtɔn me bi a saa wɔ ha yi a ayɛ sɛ na asosɛn nipa baako,0.8478,0.4787
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.",wɔsusu sɛ sɛmmea de wɔn mu dodoɔ a mpɔntɛm abɛhwɛ ase nsusu sɛ a yɛ akyiri sɛ ɛsesa nneɛma yɛ saa efisɛ a ɛsesa beree nyinaa wɔde atete sɛn de dwuma sɛ kyɛ me de ma nkurɔfoɔ yɛ kɔn mu wɔde hwɛ a yɛrehwɛ so na efiase,0.7143,0.2857
