sample_id,reference,hypothesis,wer,cer
0,"Ma dɛm anyɛnkofo no, ebusuafo no, na binom a woritsie no, misi Asɔr baanodzifo hɔn afotu do dɛ meserɛ hwehwɛ eduryɛ, adwen mu eduryɛ mboa, na sunsum mu mboa ber a edze wo werɛ rehyɛ Ewuradze mu.",也sdm看nwn女u我zmnd也,1.0,0.9408
1,"Tse dɛ Lehi no, nna onyim dɛ wonntsiw adɔfo a wonya nkã tse dɛ wɔayew.",tidɛ lihaae no nna onyim dɛ wɔnti wadɔfa a wonya nkate dɛ wɔayɛ o,0.6,0.2593
2,Yɛreyɛ esiesiefo nnkyerɛ dɛ ɔwɔ dɛ nkorɔfo hɔn adwenkyerɛ na dza wɔgye dzi no yɛpen do.,seuvejinhudasi wejiu,1.0,0.8592
3,"Ber a yɛka Asomdwee Hen do no, yɛbɛba abɛyɛ N’esiesiefo.",beraa yɛka asomdwui hie ni dun yɛbaba abayɛ neesuesiefo,0.9,0.25
4,Obesi dɛn bɛbɛn No mpo.,nɛ me sidem pumaa bɛnɛ n,1.2,0.8333
5,"Ekyir yi ehyiadzi no baa ewiei, mbom mekaa no ntsɛm ara dɛ mpanyin nhyiamu no bɛhyɛ ase dɔnhwer kor ntamu.",ɛkyeriasiezuno bɛ awie yi mbɔ mmeka a no ntɛmare dɛ mpɛnyine nhiɛ mo ne bɛhyɛase dɔnfe kuru ntem,0.9,0.3294
6,"… Sɛ yennya akwankyerɛ a, ɔwɔ dɛ yedzi hɛn nsusui papa ho dwuma.’’  Ewiei na Nsatõ  Ewiei no, ɔwɔ dɛ Nda a Odzi Ekyir Ahotseweefo yɛ ahyɛmudzi-sie nkorɔfo a wɔwɔ akyɛdze.",ti ɛnya kwankyera a yɛmfaa hɛna yɛnsɛmu ipapa nyi bedemasam bɛbieyi n ndɛ wodeyi ahote wɛfo no sɛdɛ wonyaa akyɛze dɛ wobɛdzimbrɛsam nyinaa do,0.9333,0.6923
7,"Dɛ yɛyɛ Jesus Christ akadofo yi, yɛhwehwɛ som nkaafo dɛ mbrɛ Ɔno bɛyɛ osiandɛ abrabɔ rotweɔn asesa.",dɛ yɛ yɛ crist jesus crist naaka dofo i yɛhwehyɛ sum nkaafo dɛmbrɛ ɔno bɛyɛ osan dɛ abrabɔretwan asesa,0.8235,0.1852
8,"Agyenkwa ne nkyerɛkyerɛ no twe hɛn dɛ, ahyɛmu mba no, bɛn No na ɔbɛkã ndzɛmba nyina a ɔsɛ dɛ [yɛ]yɛ akyerɛ hɛn.",agyenkwa no nkyeakyerɛ no twi hɛn dɛ ahyem mban bian no na ɔbɛka nzɛma nyina ɔsɛ dɛ yɛyɛ akyerɛ hɛn,0.4545,0.1529
9,"Ɔtɔfabi a iyi ma ahoper, awerɛhow, na enyimguase ba.",ɔtɔfa bi a eyi maaho per awrɛho na ahuambɔzeba,0.8889,0.2683
10,"“Sunsum Krɔnkrɔn no gye nokwar ho dase, na ɔnam Sunsum Krɔnkrɔn no tum do, hom botum ehu nokwar a ɔwɔ ndzɛmba nyinara mu” (“Moroni :)” (“The Holy Ghost Testifies of Truth,” Liahona, Ebɔw.",ɛno nyinaafaw ho ɛyɛ ne baa aesombo onyimu no a,0.9062,0.8357
11,"Yɛkɛtsenaa sene dan mu ekyir no, nkorɔfo a woetwa hɛnho ehyia nyina bɔɔ adwenpɔw amon mu ara dɛ wɔbɔsoɛr akɔtɔ popcorn.",yɛkɛ tena se ndaa ne mu ekyir no nkorɔfa wɔetwɛ nyɛ ahu esyi anyina bo adwempɔwɔ amun mmuarɛ dɛ wɔbɔ sɔre akɔtɔ pɔp kon,0.9524,0.268
12,"Obotum ayɛ yie ber a yɛdze “hɛn akoma mu ahoɔdzen nyina mbɔ mpaa ma Egya no, ama ɔdze dɛm ɔdɔ yi aahyɛ [hɛn] mã.” (Moroni :.",ndmg das b  nr,1.0,0.9111
13,Mekãe kyerɛɛ no dɛ iyi yɛ pɛpɛrdzi ho mbra no nsunsuando.,meka ɛkyɛne dɛ iyɛ yɛpɛ presi hombrɛ no nsyensyando,0.8182,0.3043
14,"Wobotum nye nkorɔfo ‘[a]ba hɔn Ewuradze hɔn Nyankopɔn, noho nyimdzee ho’ [ Nephi :] a worimma hɔn aman do” (“The Gathering of Scattered Israel,” Liahona, Ɔberɛfɛw , ).",dwom bɔm bɔzenare ye ɛnya kan fadom fa sosu abɔbɔɔ,1.0,0.8049
15,"Megye to mu dɛ, mber pii no, nna mobɔ Asɔr no ne dzin ntsɛntsɛm.",megye tom dɛ mbere pii no na mobɔasore ne zeno ntantem,0.6429,0.2708
16,"Mo somdwuma mu no, makɛsera ankorankor na ebusua ebusua dodow a ɔdomakoma esian ahwe hɔn.",musum dwuma mu n maakasera ankorankor na busia busi ɔdodo a ɔdoma nkoma esan ahwe hɔn,0.6667,0.1781
17,"Dwendwen mber tsĩabaa wɔ nkãtse a Jesus tsee ho ber a ahobrɛadze mu ara Ɔhohoor N’esuafo anan ho, a Onyim dɛ hɔn mu kor beyi No ama dɛm anafua noara.",dwondwene mbiritiabaa awɔ nkatyara gisɛt tee ho bera a ahobradimaraa ɔhoforu ne eturafo anan ho a onyim dɛ nho n mokoru be yunu amaa dam anofoan ara,0.7667,0.3333
18,"Tse dɛ binom no, Lena “gyedzi mu na owui, a [ne] nsa annkã anohoba no na ohunii na ɔyɛɛ [no] etuu wɔ ekyirekyir.”  Lena tsenaa ase tse dɛ ma oedzi ahyɛmu horow yinom dada wɔ n’abrabɔ mu.",nfɛ num akye no bira lena nyɛnsam ɔne ba,0.9459,0.8261
19,"“Biribiara mma ahotɔ, mma nkamfo, anaa onnhia tsitsir mma hɛn ankorankor mpontu nnkyɛn dɛ daa daa yebesi hɛn adwen pi wɔ nnuho do.",yɛnyaweehye no mwɔ ndɛ nnadaa mehyɛ nkɔm dɛ mire bi aa yɛbɛnyaweehye m wɔ,0.913,0.7788
20,Ɔyɛ Agyenkwa no N’edwuma dɛ ɔdze hɛn adɔfo bɛsan aba.,ɔyɛ agyenkwɔnne na edwuma dɛ ɔse hɛno adɔfo bɛsa no aba,0.7,0.1905
21,"Ber kor no so wɔkã “woesuo mu” wɔ Mormon Nwoma mu no nye wɔrekasa afa nkorɔfo no a “[wo]bosuoo poma no ano” ( Nephi :, ).",jun kto temp ho bera sarrasisa,1.0,0.8353
22,"Ɔkãa dɛ: “sɛ etse nkã dɛ dza eyɛ no dodow wɔ afe yi mu anaa wɔ mfe a ɔreba no mu mma nngye dzin a, nya awerɛkyekyer.",ɔka a dɛ sɛ ɛte nka dɛzaa ɛyɛn afe biyi muana afe araba na ɔma nkaɔfo nti wuzi n a shɛsen,0.8889,0.5465
23,"Na obiara a ɔdze akoma a abobɔ nye sunsum a abotow bɛba mo hɔ no, ɔno na medze ogya nye Sunsum Krɔnkrɔn bonuma.",na obiara ɔdze akoma bɔbɔ nyisunsuma bɔtew baba mo hɔne ɔno na mede ɔgya nyisunsum kɔnkrɔn bannuma no,0.6957,0.2069
24,"Pii fii hɔn efiefi, ɔkɔm dze hɔn, na nna wosuro.",pifi hɔn afiefi ɔkɔm de hon na na wohyero,0.7,0.25
25,"Moses :  “Enyiwa nnhunii na aso nntsee, na ɔnnhɛn nyimpa akoma mu, ndzɛmba a Nyankopɔn esiesie ama hɔn a wɔdɔ no”( Corinthfo :  John :  Nephi :",asiwa jesus crist nizinkonkronumu amen,1.0,0.8381
26,"Erosom  Elder Gerrit W. Gong ne Kasaa  Ɔkã Asomafo Duebien no hɔn Quorum no ho  Hom mma yɛmboa na yɛnhwɛ dɛ mbrɛ hɛn Agyenkwa bɛyɛ, tsitsir ara ma hɔn a ɔnam ɔdɔ na som dwumadzi do wɔayɛ hɛn adom ma yɛsom hɔn.",nem benyi nancianba dɔfu anyankofoma,1.0,0.858
27,Nna da no na mframa robɔ ma ewia epue na midzii kan tsee nsɛmfua no dɛ “Enya kokoram.’’ Ahobow kãa emi na mo kun!,nna ndaneno  na mframare bɔm awia abɔ bere na mete nsɔm no dɛ ɛnya kɔkorɔm aho bor kaeme na mo kon,0.7083,0.3765
28,"Hwɛ tu hyɛ Nyame nsa mpaabɔ no ma Bangkok Thailand Temple, temples.ChurchofJesusChrist.org.",dɛ m mbɛ ka nasɛm,1.0,0.8947
29,"Ana ibotum esusu woho dɛ ewɔ hɔ, ehyɛ nkorɔfo a woehyia basabasayɛ na ɔsɛɛ dodoodow hɔn mu a?",ana egbotum esusuụhụ da ewọ eche nkọ ọfọ awọ esi abasabasa ye na ọsa edụdu ụhọ nm a,0.8333,0.4189
30,Me mbasiamba pɛ dɛ wɔwasa nsa-tseaba enum anohoba yi kyerɛ hɔn mba (me nanamba) anapa biara—Egya a ɔwɔ Sor ho nkaa a krɔnkrɔn mu ara onyim ne mba hɔn mu kor biara.,obiagyeno saa w ahyɛmsi anamnkan no do ma mfa wo nkyerɛ agye nkanno,1.0,0.7559
31,"Ewia kɛse no yɛ tum a ɔyɛ ndam wɔ wiadze mu, mbom yenya ne nhyira fi [ne] hyerɛn mu osiandɛ ɔtow ba hɛn do nhyerɛnee nketseaba mu a, ne nyina bɔ mu dze ewia ne kan hyɛ wiadze nyina mã.",sunsuanne ne bɛɛfɛ fɛo na aho bɔ na ɛnyi gye akyena,0.95,0.8071
