sample_id,reference,hypothesis,wer,cer
0,"Ɩnʋ ɔlɛkpa amʋ́ dalɩ yɛfɩtɛ amʋ́ ɔbɛɛ, “Mɩ awie, ntɔ mbwɛ asa Bulu ɔhɔ mɩ nkpa?",ɩnʋ ɔlɛkpa amʋ́ dálɩ yɛ́fɩtɛ́ amʋ́ ɔbɛ́ɛ mɩ́ awíé ntɔ mbwɛ́ɛ asa bulu ɔhɔ mɩ nkpa,0.1875,0.069
1,"Ɩnʋ Yesu lɛbla amʋ́ ɔbɛɛ, “Mlɩkɩ wanklaan, mɛnɩ ɔhaa mɛ́ɛmlɛ mlɩ.",ɩnʋ yesu lɛ́bláa amʋ́ ɔbɛ́ɛ mlɩkɩ wankláán mɛ́nɩ ɔhaa mɛ́ɛmlɛ́ mlɩ,0.1818,0.0612
2,"Mʋ́ sʋ bɛkɩ ansɩ lɛ ɔklʋn kusubi amʋ dɩnka ɔpʋ amʋsʋ hɩɛɛ, fɛ simpi amʋ bʋdɛpʋsian ɔklʋn amʋ ɔnɔsʋ.",mʋ́ sʋ bɛkɩ ansɩ́ lɛ́ ɔklʋn kusubi ámʋ dɩ́nká ɔpʋ amʋsʋ hɩ́ɛ́ fɛ́ símpi ámʋ bʋdɛpʋsíán ɔklʋn amʋ ɔnɔ́sʋ́,0.3158,0.0897
3,"Mʋ́á bʋtowun pʋ́ mʋ́á bʋtamawun fɛ́ɛ́, ɔŋɛtɔ awie, ɔmásʋgyi tumi, atumipʋ, pʋ ɩsʋ agyipʋ fɛ́ɛ́.",mʋ́á bʋtowun pʋ́ mʋ́á bʋtamawun fɛ́ɛ́ ɔŋɛ́tɔ́ awíe ɔmásʋ́ gyí túmi atúmipʋ pʋ́ ɩsʋ agyípʋ́ fɛ́ɛ́,0.5333,0.1159
4,"Ɩtswɩtswɩ ha Bulu aha ánɩ́ bʋbʋ Yerusalem asʋn amʋ ɛ a, mlɩbwɛ mʋ́ fɛ alɩ amʋʋ nɛbla ɔpasua amʋʋ ɩbʋbʋ Galatia ɔmátɔ mbɛɛ, bʋbwɛ mʋ́ amʋ.",ɩtswɩtswɩ há bulu ahá ánɩ́ bʋbʋ yerusalem asʋ́n ámʋ ɛ́ á mlɩbwɛ mʋ́ fɛ́ alɩ ámʋ́ʋ́ nɛbláa ɔpasua ámʋ́ʋ́ ɩbʋbʋ galatia ɔmátɔ́ mbɛ́ɛ bʋbwɛ́ɛ mʋ́ ámʋ,0.4231,0.1038
5,"Ɩnɩá mʋa mʋ woyitɔ aha fɛ́ɛ́ bahɔ Bulu gyi sʋ a, ansɩ lɛhɩɛ gyi amʋ́.",ɩ́nɩá mʋa mʋ wóyítɔ́ ahá fɛ́ɛ́ bahɔ bulu gyí sʋ á ansɩ́ lɛhɩɛ gyi amʋ́,0.3333,0.12
6,"Ɩnʋ ɔlɛnatɩ yɔ nkpa kpalobi, ɔlɛda akpawunu pʋ ansɩtɔ bun ɔsʋlʋtɔ, kokoli Bulu ɔbɛɛ, “Mɩ Sɩ, nɩ bɔ́wa alɛ a, ha nta-ɛwɛ anfɩ ɩtsʋn mɩsʋ.",ɩnʋ ɔlɛnatɩ́ yɔ́nkpá kpalobí ɔlɛda akpawunu pʋ́ ansɩ́tɔ́ bun ɔsʋlʋ́tɔ kókóli bulu ɔbɛ́ɛ mɩ́ sɩ́ nɩ́ ɩbɔ́wa alɛ́ á hantá ɛwɛ ánfɩ ɩtsʋn mɩsʋ,0.36,0.0777
7,"Kɩ, nyasubiá bayopula fʋ klu yinki lawie obu-ɔnɔ ɩnʋ a.",kɩ nyasubi ánɩ́ beyépulá fʋ́ kulu yínkí lawíé obu ɔnɔ́ ɩnʋ á,0.9,0.2791
8,Mlɩyin alɩá bʋtɛlɛ ɔsʋlʋsʋ pʋ́ nwʋlʋtasʋ atɔ asɩ.,alɩá pututɔ-oyí ntswɩ́tswɩ tɛdan ɩtamayɔ́ agyʋ́má ntɛ́ɛ ɩlɔ,1.0,1.0
9,"Brɛá sumbi ayɔpʋ amʋ bɛdalɩ Yudafɔ asʋn ogyikpa ɩnʋ bɔyɔ a, ansɩ dɛ amʋ́ gyi.",brɛ́á sumbí ayɔpʋ́ ámʋ bɛdalɩ yudafɔ asʋ́n ogyíkpá ɩnʋ bɔyɔ́ á ansɩ́ dɛ amʋ́ gyí,0.4,0.1167
10,"Amʋ́tɔ ɔkʋkʋ megyi ohian, tsufɛ amʋ́á bʋbʋ ɔsʋlʋ pʋ́ woyi betsia fɛ mʋ́, pʋ mʋ́ ɔnɔ kɔba ba sumbi ayɔpʋ amʋ, betsia ye mʋ́ ha ɔhagyiɔha alɩá ilehian mʋ.",amʋ́tɔ́ ɔkʋkʋ mégyi ohian tsúfɛ́ amʋ́á bʋbʋ ɔsʋlʋ́ʋ pʋ́ wóyí betsiá fɛ́ mʋ́ pʋ́ mʋ́ ɔnɔ́ kɔ́ba ba sumbí ayɔpʋ́ ámʋ betsiá ye mʋ́ há ɔhagyíɔha alɩá ilehián mʋ,0.4483,0.1228
11,Alatsʋn mʋ Ɔŋɛ amʋ pʋ́ anɩ Wie Yesu Kristosʋ tsu mlɩá mlɩ asʋn da ɔkpa mʋ ansɩtɔ.,alatsʋn mʋ ɔŋɛ́ ámʋ pʋ́ anɩ wíe yesu kristosʋ tsú mlɩ ánɩ́ mlɩ asʋ́n da ɔkpa mʋ ansɩ́tɔ́,0.2941,0.0952
12,"Aha amʋʋ bʋbʋ ɩnʋ alɩ brɛ amʋtɔ akʋ bɛbla Yesu bɛɛ, Pilato lamɔ Galileafɔ akʋ brɛá bʋdɛ afɔdɩɛ bɔ ha Bulu, Yerusalem Bulu ɔtswɛkpa ɩnʋ, ha obugya lada afɔdɩɛ amʋ.",ahá ámʋ́ʋ́ bʋbʋ ɩnʋ alɩ brɛ́ ámʋtɔ akʋ bɛbláa yesu bɛɛ pilato lamɔ́ galileafɔ akʋ brɛ́á bʋdɛ afɔdɩɛ bɔ há bulu yerusalem bulu ɔtswɛ́kpa ɩnʋ há obugya ladáa afɔdɩɛ ámʋ,0.3,0.0698
13,Mlɩlagyi Bulu ɔnɔsʋ atɔɩpʋ afunupʋ amʋsʋ.,mlɩlagyi bulu ɔnɔ́sʋ́ atɔɩ́pʋ́ afunupʋ amʋsʋ,0.0,0.0
14,"Ɩlɔpɔn ha kpɔsɔ ánɩ́ ɔbɔ́tsʋn ɔbɩn-atɔ ɔbɔtɔ, dʋn ánɩ́ ɩwɩ onyapʋ obówie Bulu iwiegyi amʋtɔ.",ɩlɔpɔn ha kpɔ́sɔ́ ánɩ́ ɔbɔ́tsʋn ɔbɩantɔ ɔbɔ́tɔ́ dʋn ánɩ́ ɩwɩ onyapʋ́ obówie bulu iwíegyí amʋtɔ,0.3333,0.0972
15,Alɩ kɛn anɩ Wie lɛhɩɛá mʋ asʋn wanklaan amʋ ɔkan adapʋ ɛ bʋgyi atɔ tsu aha ánɩ́ bʋdɛ labi nya tsu asʋn amʋtɔ wa nɩ.,alɩ kɛ́n anɩ wíe lɛ́hɩɛ ánɩ́ mʋ asʋn wankláán ámʋ ɔkan dapʋ́ ɛ́ bʋgyíi atɔ́ tsu ahá ánɩ́ bʋdɛ labi nya tsú asʋ́n ámʋ ɩtɔwá ánɩ́,0.52,0.1798
16,"Nɩ negyi asʋn o a, ɔnɔkwalɩ ɔkpasʋ negyi mʋ́ tsʋn.",nɩ́ negyi asʋ́n ó á ɔnɔkwalɩ ɔkpasʋ negyi mʋ́ tsʋ́ʋn,0.3,0.0789
17,Tamɛ Petro lɛpɛtɩ obuo amʋ́ ɔma tsutsuutsu alɩɩ bowie igyi ɔhapʋ dɛhɛn woyitɔ ɩnʋ.,támɛ petro lɛ́pɛtɩ́ obu amʋ́ ɔma tsútsúútsú alɩɩ bowie igyí ɔhapʋ́ dɛhɛn wóyítɔ́ ɩnʋ,0.3571,0.1343
18,"Nɩ mlɩyin ánɩ́ yile ɔbwɛpʋ Yesu gyi a, mʋmʋ mlɩbɩá yile ɔbwɛpʋ Bulu mʋ bi okugyiɔkʋ gyi.",nɩ́ mlɩyin ánɩ́ yilé ɔbwɛpʋ́ yesu gyí á mʋ́mʋ́ mlɩbɩ ánɩ́ yilé ɔbwɛpʋ́ bulu mʋ bi okugyíɔkʋ gyí,0.5294,0.1449
