sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt",edua n adwena sɛ mu rekɔ daa mmunu mu phone anam tablet,0.9167,0.2444
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,mmaa wɔn nyinaa kɔ pɔ mmerɛ ne n enyin asosɔsɛm ntetewa ho nim,1.5,0.3409
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?",sia de tentensoɔ wɔ mmaa yɛbɛɛɛden nsensua yɛhoa ne ne ba no,0.6923,0.3617
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,yɛbɛɛɛ danii wɔ gedeɛ no mu,0.5714,0.36
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?",nsakraabɛɛn na wɔne wɔn ho kɔfoɔ bepɛ sɛ mɔ yɛ sɛneɛbɛyɛ a wɔbɛtumi di electronic mfidie ayɛ adwuma yie,0.75,0.2683
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",baabɔ kasaeɛ ne ne esoa nam wɔ akyi a ɛkyerɛ sɛn,0.7,0.3333
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,yehoɔ ahyia na asomfoɔ a wɔtena ase tete nnum kwan,0.7778,0.275
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.",danhuase ɛbɛtumi akansɛɛ yɛda wasesɛ brown ka ne ɔkoro ne baabi bi no ɔde abɔafoɔ resene bi ɔbɛtumi aboa saafoɔ no asɛm tsia wɔ saa bɛtumi ahyɛ wɔn kran pa ara,0.8205,0.3429
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,tete wɔmma wɔ yɛho wɔnten so wɔ mu,0.8571,0.24
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,mmagye hɔ afiri wɔn a wɔbu wɔ animteɛ no nsam,0.6,0.3056
10,Dɛn na yebetumi ayɛ ama Yehowa ahu sɛ yɛpɛ sɛ yɛbɛka n’abusua no ho?,dan ne ebi tumiayewa yi ama yɛhoɔ ahosuo yɛpɛ sɛ yɛbɛkan na bu sua no ho,0.8571,0.3019
11,"Nkɔso a mmofra nya wɔ Onyankopɔn som mu no, dɛn na awofo betumi ayɛ de aboa wɔn ma wɔadi ho ahurusi?",nkɔsoa mmɔfra anya wɔ nyɛnko pɔn so mu no dan a ɔfoɔ bi tumia yɛde aboa a wɔredi ho ahosie,0.8095,0.2821
12,SƐNEA HONHOM FAM ADUAN A ƐYƐ DEN BOA YƐN MA YƐN HO KOKWAW,sane ahoho ho famuaduane a ɛredi bɔ a ɛyɛn ho,0.8462,0.4667
13,NEA NKURƆFO YƐE WƆ THE FINISHED MYSTERY NHOMA NO HO,neɛɛn nkurɔfoɔ yie wɔde finis mystery ɛhoma no ho,0.7,0.2619
14,“Tie Nteɛso Na Hu Nyansa”,tientenɛsoɔ ne ho nyansa,0.8,0.2105
15,W’abam Bu a Dɛn Na Wobɛyɛ De Agyina Ano?,wɔabambu a dan a ɔbɛyɛ deɛ gyina ano,0.7778,0.2
16,SƐNEA YEBENYA AHOFADI ANKASA,sɛnea yi ebenea ahofadi ankasa,0.5,0.08
17,Yehowa Bɛbɔ Wo Ho Ban—Ɔbɛyɛ No Sɛn?,yɛhuu a bebɛbɔɔ wɔ ho ban ɔbɛyɛ ne sɛn,1.0,0.2963
18,Adesua Ho Nyansahyɛ,adesua ho nyansahyɛ,0.0,0.0
19,"Yɛn nuanom a wɔn mfe akɔ anim no, adɛn nti na Yehowa bu wɔn sɛ wɔsom bo?",enuan mu a wɔm fɛ akɔ anim no ade nkyina yɛhoɔ abu wɔn sɛ wɔ sombɔ,0.6471,0.2407
20,"NEA EDIDI SO YI, SƐN NA ƐBƐBOA WO MA W’ANI AGYE WƆ ASƐNKA ADWUMA NO MU?",neɛdidi soɔyi sɛn na ɛbɛbɛb wɔ wɔn ani agye wɔ asɛn kɛve,0.75,0.3774
21,"Ɔdɔ a Yɛwɔ Ma Yɛn Ho Yɛn Ho No, Yɛbɛyɛ Dɛn Ahyɛ Mu Den?",ɔredra a ɛwɔ mma yɛn ho yɛn ho no yɛbɛyɛ dan ahyiam dan,0.5,0.25
22,NNIPA PII A WƆDE WƆN ANI HUI DII HO ADANSE,nnipa pii a wɔde wɔn ani hwen di ho adansɛ,0.3,0.1515
23,Nea Ɛbɛboa Wo Ma Woasua Ade Daa,mea bɛbɔɔ a wɔresua adeɛ da,1.0,0.48
24,Ma W’ani Nsɔ Mmarima a Wɔyɛ ‘Akyɛde Ma Asafo No’,ma wɔn ninsuo mmarima a ɔyɛ akyɛdeɛ mu asafoɔ no,0.6,0.2222
25,SƐNEA YƐBƐYƐ ADWUMA A ONYANKOPƆN DE AMA NE NKURƆFO NO,saneɛ a ɛbɛyɛ adwuma a ɔnyankopɔnɔ de ama ne nkrɔfoɔ no,0.5,0.1591
26,"Awofo, Moreboa Mo Ba Ama Wanya Nkɔso Abɔ Asu?",awofo mmɔɔbɔ amoba amonnwa nkosuo abɔ asuo,0.7778,0.3143
27,"Ebinom kyerɛ sɛ, nsɛm a Bible ka no, ɛne nhwehwɛmu a nyansahufo ayɛ no nnansa yi no nhyia. Wɔn a wɔka saa no, ɛte sɛ nea wɔnte nea Bible no ka no ase papa.",ebinom kyerɛ sɛ nsɛm a baabɔ ka no ne nhwehwɛmu anyansɛn hofoɔ a ɛyɛ no nansan yi no nhyia wɔn a wɔrekasa no te sɛ nea wɔte nea baabɔ no ka no ase papa,0.3529,0.1795
28,Yɛbɛyɛ dɛn atumi ne afoforo atena yiye?,yɛbɛyɛ dɛ ntumi ne afofrat no ayie,0.7143,0.1875
29,Nifa: Mfiri a na wɔde yɛ adwuma wɔ radio steehyin hɔ,nnifa mfriana a wɔde reyɛ adwuma wɔ radio station hɔ,0.4545,0.2439
30,Wobɛbɔ wɔn mu biara ho ban daa afi awo ntoatoaso yi ho.”,ɔbɛbɛwom biara aho ban daa wɔretɔtoa so yi ho,0.5833,0.3721
31,SƐNEA YEBEGYE KRISTO AKWANKYERƐ ATOM DAA,sɛnea yɛbagyi kristo akwankyer atum da,0.6667,0.1714
32,Ɛbɛma yɛahu nea ɛbɛboa yɛn ama yɛagye adi sɛ Yehowa gye yɛn tom.,ɛbɛme yi ho ne abɛbɛbɔn ama yi agye di sɛ yɛhua agye ntom,0.9231,0.3137
33,Sɛnea wubetumi aboa wo mma ama wɔanya suban pa,seneɛ obi te mmienu aboa wɔn a wɔrenyɛ so banpa,1.1111,0.5263
34,“Mɛwosow Aman Nyinaa”,mmarowosɔ amanyin a,1.0,0.4706
35,a Wɔasesa edin no bi.,aseɛ ahwasam no kankansɛɛ wɔaseseɛ dien no bi aseɛ hwasam no asi,2.0,2.4375
36,"Yɛbɛyɛ dɛn aboa no, na wansɛe ne bere nyinaa wɔ ɛlɛtrɔnik mfiri ho, sɛnea ɛbɛyɛ a obenya bere de ayɛ nneɛma foforo?",yɛbɛɛɛ da aboa ano na wɔn ansane biri nyinaa wɔ nnɛto nika mfidie ho sɛdeɛɛ bɛyɛ a obi nya bradie a ɛyɛ nneɛma foforɔ,0.7727,0.2747
37,DƆ WO NUANOM KRISTOFO SƐNEA YEHOWA DƆ WƆN NO,dɔw nnua no kristofoɔ sɛnea yɛho adɔɔw wɔn,0.7778,0.25
