sample_id,reference,hypothesis,wer,cer
0,"Bi din baar naasubure, ki be tiŋ na kur po. Li naasuut din yab ki gar naasuut nba kur mi baar, ki bia yab gar naasuut nba kur saa mi baara.","Bədənbana suburɛ, kəbətəŋ nakulpu, lənasud danyab kəga nasutənbakul məba, kəbiayab ga nasutənbakul saaməba.",1.0,0.3333
1,"Yii mei Yennu batnba nan binba kur tee yikoo damm na paak, a tii be nan laafia nan parmaasir, kii tee yentina, kii be soonna.",Yi me ye nu batem ba na mbe mba ko le te yi ko dam na pa ate yi be na la fi a na mpal ma te ki te yen ten na ki be su na,1.36,0.3505
2,"Ŋaan i ki sikin i mɔŋ nan dinna. I ki turin baakir, koo ki wei sennii nba kur ki n tur yimm nan i yeejamm na.",nga iko sak n yiman nandina iko turan bakul kokowu seni bakolka ntul yem na iya jamna,1.0,0.3951
3,"Wunba dɔŋ pot u punn ŋaan tan teen Masiaweirɔ, ŋaant ki wun dian nna; wunba mun ki pot ŋaan teen Masiaweirɔ, wuu kii loon u ji daa porii u punni.","Wunba dang puote puon nanten tiee maase weero, nante ku wun diani na, wunba mon ku puote nanten tiee maase weero, wuki luon wun jida puote opunne.",0.9,0.4196
4,"Tingbouŋ, gbiintir. N baat nan boontue niib na paak, ki li sii tee bi biit tubdatu, kimaan bi yêt n tumiiue, ki bia ki gaar n maan.","Dungbon, gbintal, ambatnam buontuwe nibinapak. Kelesit yebit tubidatu, kamambiyet, ntumiyu we. Kabia kagar ama",1.0,0.3636
5,"Li-i tee ki i lakin leeb ki di, li ki tee ti Yomdaanɔ jeet kaa ki i dii.",Ti tie ke la kan lie ke de de ke tie tie n da na jie de ka ki di,1.1111,0.4808
6,"Li tee yoo kur mɔlor nyinne ki tur yimm Israel teeb nan min, kimaan min Yennu-e nan sanpaak nan tiŋ, daa ŋanloob na ni, ŋaan nyik toonn ki foi daaŋanlore daar.”","La tii, yo kul ma la li nye ne. Katuriyem is ray tii ni am ma, ka ma mi yen nu e na san pa na tin. Da ngan lo bi na ni, ngan nyig tuun ku fui. Da ngan le re da",1.2903,0.4032
7,"Yoo nba ki n loo dindouŋ ni na, ki Yennu maan ŋamm baar n boor.",yoombaaka unloodindongnina. nnuumaangampal mbua.,1.0,0.4255
8,"ki Netanel, wunba tee Suar bija na tee Isakar booru ni tɔɔndaanɔ,","Kena Tanial, un batesuol biijana ti isakaboru ni tuandano.",0.9167,0.3269
9,"Neria bija Baruk-o beta a fan pak linba na ki jiin ti po, a Babilonia teeb na n la nyannu ti paak, ki kpit, koo ki soorit ki saan nant Babilonia.”",Néerìibéjàa bárukòo bèta àapam páakì lèmbáana kàjííntépò àbabìlónàtìébì nà ànlànyàanù tèpàak kàkwèet kwòkàsòòrò kàsàannàn Bábilónìa.,1.0,0.5
10,"Daanɔ nba yêen Yennu Bija Yiisa, ti Baa Yennu ki be nanɔ, ŋaan wunba piak ki yeen a u teen yada nan Yiisa tee Yennu Bijae, ti Baa Yennu be nanɔ.",da nan ba yie yie no be jaa yisa te ba yie nu ke be na na. Na o ba ti a ke yie o wo te yada nan yisa te yie no be jaa. Te ba yie no be na na,1.1935,0.3909
11,"Li paak, wunba biir Yennu diiuk, Yennu mun saa biir li yɔɔwa. Kimaan Yennu diiuk tee diyeeŋe; ki yimme tee diiuk maŋ.",Le pa wann ba bi yenno diɛ. Yennu mun sa bi len yowo. Kema yenno diɛ ro tɛ di yenngɛ. Yin metɛ yennu diɛ gman,1.0455,0.4725
12,"Baa lek yeen a, “Nan Yennu nba be na,”","M ba la ga yie a. Na ye no, m ba be, na",1.1111,0.4231
13,"Ii tuu taan leeb ki jiant min Yennu daaŋanlore daar, ŋaan daa tuun i mɔŋ toona.",tuo tan lieb ki jant mun ye nu da nga loredar. Nga nda tu imwantuona,0.9375,0.3387
14,"N kan fit jii niib na kur jika n kuukɔɔ, li saa yabit ki paakima.",Inka fūri jī ni binakùr jikà unkùnkua le sà yabet ke pàaka man,1.0,0.4898
15,"“N saa te ki niib nba nami na-ii tiinin jaŋmaanii. N saa baar nan ŋmatir, niib nba ki i kɔn namm na sinsuuk ni, ki bia te ki i datai kur n chiar ŋaan nyiki.",nsa te ka ni be mba na mi na ti ni jan mani. Nsa ba na matar ni be mba ka i kwa na mi na sun su guni. Kabe te ka e data i kol in chial nga nyi ki.,1.0571,0.3448
16,"Ki Moses jii sɔn na ki mii mii niib na paak ŋaan yet a, “Linba nae tee sɔn nba gbeen mɔlor nba ki Yennu lor nani, yoo nba ki u turi u sennii na.”","Komɔs di swan na kɛ mimmi nim na paag, nga yet aa lemba nɛ tiɛ swan mban bagbiɛ mɔlɔ lemba ka ye nɔlɔɛ nani, yombat ka u turu use nina",0.8529,0.4486
17,"nan Hesbonn, nan Jaser doi, nan li bonkobit kpinkpaar boa.",Na he sbon na njesa dui na lebo nko bte pun pwa le bwa,1.4,0.3478
18,"Ki ti mɔŋ mɔŋ mun bann Yennu nba loont biaŋinba, ki bia teen yada nan u set loont.","Keda maa ngamunban, yenun banlunt bia ngamba, kedia tien yada, na osatluntu.",0.9444,0.4127
19,"Li poor po, ki u kpakir Sedekaya maŋ ninbina, ŋaan te ki bi baanɔ jarit, a bin saan nanɔ Babilonia.","Lapo lapo, ka upala side kaya man nan bana ngate kababano jalet, agalsannono Babilonya.",1.0,0.3684
20,"I poŋ mi nan binba tuun Yenjiantu ŋasaakak ni na, bi jeet nyi bi toonn maŋ nie; ki binba mann mannu ki teen Yennu ki ŋamii binbintir na mun gaan bi yar leŋe.",ebwa me na bemba tu yenya o yangi tu nga sakara nina be yite nye be tu na ma ni ye ke bemba ma ne ma noke tie yenya ke nga me bembe tre na muga bi ya lenga,1.1515,0.5082
21,li doi nan niib nba be leŋ na. Niib saa mɔ boi sommir po.,"Nindani, naniib, mbaba, lin'gana nniib sabma bwesonmulo",1.0,0.4762
22,"Ii tuu tiar daar na ni, ki di jaamm, ki lii tiani min Yabint Yennu nba tun linba. Ii di jaamm maŋ binn kur.”","I ti ti ya daal nani, kedi jaam, kali tiani mi yabinti yenno mbatu lemba. I di jaam mang bennuku.",0.9167,0.3
23,Ki bi piin ki somm nan biaŋinba ki Yennu wann Moses na.,kibupien kusom nambian baa kiye nu wan moses,0.9167,0.2791
24,"Parbiir nba kaa paak baar Gasa teeb paaka,",tabi lambaka pa balgati paka,1.0,0.4706
25,"Bii tuun toonŋana, ki bi toonŋana maŋ-ii yab; ki bi nii-ii yaa nan piinii turu.","bɛɛ tuu ntɔɔ ŋana, kɛbɛ tuu ŋana maŋi ya, kɛbɛ nnyii ya na mpiiɛ",1.0,0.4167
26,"Tɔn, li-i tee ki i di, amii ki i nyu bonnyunyuut, amii ki i tuun linba kur, yii tee man linba sa tur Yennu baakir.",Dɔn ni tiɛ ki di kɔ kɛ nyu bɔ nyu nyuut kɔ kɛ tuu lenn bako li tiɛ ma lenn ba sa trii yɛ nno bako,0.92,0.4762
27,"Ki Yennu yet a, “N saa te ki n baakir ŋant na n gar a boor, ŋaan ki man wanna n sann. Min Yennu sii mɔk ninbatinu niib nba ki n gannib na paak,","Yennu yie aa, nsa te ka mba ka lenga nte na ngal abul nga ka ma wana nsan, me yennu si mor n mba tennu nib mba, ka ngal b napag.",0.9412,0.3905
28,"Lanne tee n nyɔɔti? N nyɔɔt tee maa mɔɔntir barŋanii maŋ yann nae, ki ki jii yaak nba ki n mɔk barŋanii toona ni na ki gaan siari.","La nete inyote, inyote nma moante bagani mane yanne ne, kigiji yagan baka moabagani tuonani nagane serere.",1.0,0.43
29,"Jeyel-e din sibir Gibeonn doo ki kar leŋ, ki u ŋaapoo sann tee Maaka,",J a L din su bil gibian do ka ka lenn ka u nga a pu sa ni tie ma ka,1.3571,0.4151
30,"Mi-i mei Yennu maboorganu ni, n seeke mei, ŋaan n yan kaa leŋi.","Mii me yen no, baare ga niini. Nseeke mii, naa in ya nka leeni.",1.0,0.3191
31,"ŋɔɔe tee n baa Yennu, ki n saa yin yaŋ ki jiin u yabint po.",Nwetie mbayinnu ke nsayin yang kejiin uyabentupu.,1.0,0.3488
32,"Li din tee waat yooe, ki kpanbar na kar u waat naakuuk ni ki kpia muu.","La den tiɛ waat u yue, pamba nala u waat na ku kune kɛ kwiɛ mu.",0.875,0.4151
