sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt",edua n’adwena sɛmɔkɔ daa mmunu mu phone ɛna mmɔ tablet,1.0,0.3111
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,mmaa wɔn nyinaa kɔ mbɔ mmerɛ ne ne nyinaa nso sɛm ntoto aho ne mu,1.625,0.5
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?",sia de ntsensoa wɔ maa yɛbaa dan sunsua yɛhoa ne ne ba no,0.6923,0.3404
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,yɛbaa dan yi wɔ gyinnii no mu,0.5714,0.36
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?",nsakraebe na wɔn a wɔn ho kɔfoɔ bepɛsɛm yɛ sɛdeɛ bɛyɛ a wɔbɛtumi de retɔ ne kɛnfidie ayɛ adwuma yie,0.8,0.3049
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",baabɔ kasɛɛ ɛnu yi so ananmo akyi a ɛkyerɛ sɛn,0.6,0.3333
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,yeho ahyia na asomfoɔ a wɔtena ase tete ne nkran,0.7778,0.2
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.",dan hɔ ase obetumi a kansɛɛ yɛda wasesɛ braa a nkaeɔ no kɔn de baabi no odi abɔafo resene bi obetumi abo asafo no asɛm tia wasa abetumi ahyɛ wɔn kran pa ara,0.7436,0.2714
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,tete wɔn mma wɔ yɛhoa ntene so wɔ mu,0.7143,0.32
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,mmagye hɔ afi wɔn a wɔbu wɔ animteɛ no nsam,0.5,0.25
10,Dɛn na yebetumi ayɛ ama Yehowa ahu sɛ yɛpɛ sɛ yɛbɛka n’abusua no ho?,dan na ebi tumi ayɛma yi ho ahoosɛe yɛpɛse yɛbɛkan abusuano ho,0.8571,0.2075
11,"Nkɔso a mmofra nya wɔ Onyankopɔn som mu no, dɛn na awofo betumi ayɛ de aboa wɔn ma wɔadi ho ahurusi?",nkɔsoa mmɔfra anya wɔ nyɛnko pɔn so mu no deɛ na ɔfoɔ bi tumia yɛde aboa wɔn adi ho ahosie,0.7143,0.2564
