sample_id,reference,hypothesis,wer,cer
0,TA WA TERƐ SORI KA NEƐZAA VƐNƐ KA SAGEDIIBU HO NAŊ TAA A LAŊNOƆRE PUORUU EŊƐŊ NA SIGRE TEŊƐ,ta wa terɛ sori ka neɛ zaa vɛnɛ ka sagdiibu ho naŋ taa a lannoore puuruu eŋɛ n na sigri teŋɛ,0.4211,0.0822
1,YƐLƐ TE NAŊ NA ZANNE,yɛla te naŋ na zãne,0.4,0.1875
2,VƐŊ KA HO TEƐROŊ GAŊ KA HO NAŊ KYƐNƐ SIGRI HO MEŊƐ MEŊ,vaŋ ka ho teɛroŋ gaŋ ka honaŋ kyɛnɛ sigre ho meŋ a meŋ,0.4615,0.0714
3,YƐLƐ TE NAŊ NA ZANNE,yɛlɛ te naŋ nazanne,0.4,0.0
4,"A maŋ kyɛrɛɛ fẽẽ ka N nyɛ accident, kyɛbee N maŋ de la a lɔɔre te va boma mine naŋ are?",a maŋ kyɛre yɛ fẽẽ ka n nyɛ asedɛn kyɛ bee n maŋ de la a lɔɔrɔ te vaboma mine naŋ ara,0.4286,0.1385
5,GYOOB YƐLƐ ŊA NA BAŊ SOŊ TEŊ KA TE NYƆGRƆ TE MENNE,dzoho beyɛlɛ ŋa na baa soɛŋ teŋ ka te nyɔgrɔ te menne,0.3333,0.1538
6,Bon nanso ka Naaŋmen tere sori teŋ dire dɔgɛɛ,bonnaŋ so ka naa montre sore teŋ dre dɔgɛɛ,0.6667,0.1622
7,"Sobuoŋ ka a Baabole vɛŋ teŋ baŋ peɛlaaŋ ka ka Jehoovaŋ wa di suuri ko te, a ba la seŋ ka te vɛŋ ka a dɔnnɔ te?",so boŋ ka a baabole vɛŋ teŋ bampeɛlaŋ ka ka jehova n wa di suuri ko te a ba le seŋ ka te vɛŋ ka a dɔnɔ te,0.2963,0.0854
8,Hulda Da Toɔ̃ Ta La Yɛlɛ Na Oŋ Da De Biŋ O Nimitɔɔreŋ Na,hulda da toɔ̃ tare la yɛlɛ na on da de biŋ o nimitɔɔre na,0.2143,0.0952
9,Jehoova da wuli teŋ ka o sereŋ eɛ siri ka o kaa te zu. Yɛlɛ yoŋ aŋ da seŋ ka te e la ka te de o Naaloŋ yɛlɛ de weɛ te zemmo poɔŋ.,jehoova da wuli seŋ ka fo sereŋ eaa siri ka o kaa te zu yɛlɛ yoŋ ane da seŋ ka te e la ka te de o naaloŋ yɛlɛ de weɛ te zomɔ poaŋ,0.1765,0.1064
10,Bonso aŋ e nimizeɛ ka noba naŋ waana ka ba kultaa de emmo ko Jehoova ba kultaa bebiri?,boŋ so hanne ne miŋ ziɛ ka noba naŋ waana ka ba kuli taa de emmoko jehoova ba kuli taa bebiri,0.6667,0.1324
11,WALA HOŊ NA IRI A NOƆRE?,waŋ a honna iri a nɔre,0.6667,0.1667
12,Bonso aŋ ba fɛre ka te baŋ bieu yɛlɛ sɛre kyɛ na baŋ taa popeɛloŋ?,bonso an ba fɛrɛ ka te baŋ bio yɛlɛ sɛrɛ kyɛnɛ baŋ taa popeɛloŋ,0.4,0.1176
13,WALA HOŊ NA IRI A NOƆRE?,wala hɔnnɛ ire a nuɔre,0.6667,0.2778
14,Maŋ Moɔrɔ Ka Ho Manne Yɛlɛ Na Hoŋ Zanne Na Ko Ho Taaba,mam mɔɔra ka ho mane yɛlɛ naa ho zane na ku ho taaba,0.5385,0.1905
15,LƐ TEŊ NA BAŊ E TAA POPEƐLOŊ KYƐ NAŊ KYƐNLƐ,lɛ te na baŋ e taa po peɛloŋ kyɛ naŋ kyɛnlɛ,0.3,0.0294
16,"Te na zanne nyɛɛ tɛɛtɛɛ naŋ be yelmeŋɛ na te naŋ zanne yi Jehoova zie, ane zirii na Setaana ane te dɔndɔnne naŋ ŋmaara na kpakyagaŋ.",te na zane nyɛɛ tɛɛtɛɛ naŋ be yelmeŋɛ na te naŋ zane yi jehova zie ane zirii la setaana ane te dɔndɔne naŋ ŋmaara na kpakyagaŋ,0.1923,0.0476
17,"Ka ba naŋ yelka Jehoova de la o yuori na ko Yezu, wala ka lɛ wuli?",ka bana ŋ yɛlɛ ka gyɛhova de la o yori na ko yezu wala ka la wele,0.5,0.2041
18,Gyoob Gane Na Na Baŋ Soŋ Boŋ Ka Ho Terɛ Kawaŋ-Sonne,job gane na na bansom boŋ ka ho terɛ ka wansonne,0.4545,0.15
19,NAŊ KYƐNƐ TU PUORE SƆROO EŊƐŊ A TAGRA PEƐLƐ JEHOOVA,naŋ kyɛnɛ tu puuri-sɔroo eŋɛŋ a tagra peɛlɛ jehoova,0.2,0.0476
20,Sobuo ka Jehoova da maŋ tu kyɛ korɔ a Izerayɛl biiri sowuli?,sobuɔ ka jehova da mantu kyakkura a izraa bire se wele,0.8333,0.3333
21,De Apoɔsori Ho Naŋ Taa Ka Ho Puoro Jehoova O Siiloŋ Ŋmenpuoredie Naŋ Tegroŋ Yaga Zaa,de a poɔ sori ho naŋ taa ka ho puoro jehova o seeloŋ ŋmempuoridie naŋ tegroŋ yaga zaa,0.375,0.0725
22,"Aneazaa ka a Kyɛrite noba, a Pɛlite noba, ane a Giti noba da ba e Izerayɛl biiri, kyɛ ba da taaɛ gyeremɛ naŋ e zuluŋ a ko Jehoova a yelmeŋɛ Naaŋmen, a neŋ neɛ na Jehoova naŋ sɔ naaloŋ kãã na. Deevid niŋe da paalɛɛŋ yaga zaa neŋ lɛ na a dɔbɔ ŋa naŋ da be o zieŋ a dire yelmennoŋ koroo na!",a zaŋ nɔɔ yɛlɛ baareŋ,0.9841,0.9315
23,Sori A Daŋyelbo Naŋ Tu A Nyɛ Eebo,suri a daŋyɛlɛ bo naŋ tu a nyɛ eebɔ,0.5,0.1538
24,TƆNƆ NOBA NAŊ BE A SIILOŊ POƆ PARADIISI NAŊ NYƐRƐ,tɔnɔno baa naŋ be aseelimpoɔ paradise nanyɛre,0.8,0.225
25,MOƆRƆ HO MOƆBO ZAA A SONNƆ HO TAABA,mɔɔrɔ ho mɔɔbo zaa a sonnɔ ho taaba,0.25,0.0714
26,"“Naaŋmen naaneŋ maale boma, boma la leɛre a menneŋ a wa bebe.”",naaŋmen naane maale boma boma la leɛre amenneŋ a wa bebe,0.25,0.0213
27,YEZU POƆ MAŊ PƐLEŊ KA TENEEŊ WA PUGIRO JEHOOVA YUORI,yeezu poɔ maŋ pɛleŋ ka tenee wa pugro a gyuova yuore,0.6,0.186
28,YƐLƐ TE NAŊ NA ZANNE,yɛlɛ te naŋ na zãne,0.2,0.125
29,WALA HOŊ NA IRI A NOƆRE?,walaa honna ir a nɔɔre,0.8333,0.2222
30,"Mɔɔ kyɛ kanna gama na zaa ba naŋ maŋ iri teŋ de pono korɔ noba na, a maŋ kaa vidiori ane boma na zaa ba naŋ maŋ de eŋ jw.org zuŋ na.",moɔ kyɛ kanna a gama na zaa ba naŋ maŋ iri tendeponi korɔ noba na a maŋ kaa vidiore ane boma na zaa ba naŋ maŋ de eŋ jw org zuŋ na,0.25,0.051
31,SOŊ HO BAABOLE ZANNEZANNA KA O ZƆƆTOƆ̃ YELKPEƐNE NA OŊ TUORO NA,soho baabole zanazanna ka o zɔɔ toɔ̃ yele kpɛne na o toore na,0.75,0.1569
32,Wala ka a ŋmenpuoredie na Soolomoŋ naŋ da mɛ na varanda da do seŋ?,wala ka a ŋmen-puoridiena solomon naŋ da menna varanda da do seŋ,0.3571,0.0962
33,Sori A Daŋyelbo Naŋ Tu A Nyɛ Eebo,sori a dayɛlebo naŋ tu a nyɛ eebo,0.125,0.1154
34,Naaŋmen Nɔmmo Bebeŋ Tegitegilɛ,naa mennɔ mo bebeŋ tekitigi lɛ,1.25,0.1481
