sample_id,reference,hypothesis,wer,cer
0,“Maanib bi ke ipiih i aapihkpaal cha i wɔŋ ŋijoo ponn ni na la.,maa ni bi ke ipi i aapikpaa cha iwɔŋ ni joo poni nala,0.7857,0.1667
1,Li cha aate ni aana aah nan chaa ŋiwaa aabɔnabr bi chee na.,li cha ata ni ana anaŋ cha ŋiwa abɔ na bicheena,0.7692,0.2391
2,"Isakar ŋichur piiŋmu ni ŋinaa, ni ikui inaa.",isaka ŋi chori kpii ŋmuniŋi na ni ikoin na,1.0,0.2286
3,Binib ngem mu bi ke njikaabim mu lir ikokon ponn ni na la.,binin fob biba mun nanni n di bim mɔnlu ikuŋkon aapool ninla,1.0,0.5778
4,Kina pu le Ahab kuun Israel aanib mɔmɔk ni liwaal Baal aawaadam ke bi keln tɔb Kamel Aajool paab.,kina pu le ahaab kuun isral animɔmɔ ni li waa baal awaa dam ke bi kel ntɔb kaamɛɛl aajol paa,0.6842,0.1538
5,"Ni lik ke kitiŋ ngbaan bi kinye, ki lik ke binib biŋa bi ki ponn ni, ki lik ke bi kpa mpɔɔn kinye.",ni luk ke ki tingbaan bi kinyi ki luk ke binib bi ŋa bi ki po ni ki luk ke bikpɔmpɔɔn kinyi,0.5652,0.1233
6,"Le ni saa tikur tiwae yoonn, le u ki buen kinyaŋ ni ki ti mui bijab bibaa si nima, kaa kpa lituln libaa.",le ninan fo ti kuti wee aayo le u jon ki nyaŋi ki ta mi bijab biba siniyaan kaa jɔɔ toon liba,0.7826,0.3797
7,"Tisufar ngbaan aabil le ye liwaatiir, ŋibil mɔmɔk filk jer lima la.",ta ŋab timɔɔrmɔna le u len ke aai ni jia na ni ye ni ŋab timɔɔrmɔn ke niba ke idi iba mul,1.6667,0.8889
8,"Cha binib bi kpokl m pu na aalan ŋmal, aan bi fenn bipuwɔb.",cha bini bin kpool mpu na aa lan ŋmar aan bi fenn bipoɔ,0.6923,0.1556
9,"Aaronn ni uyaabitiib mɔmɔk ga li joo nkaal ngbaan kina, le ki cha n‑yoonn mu kaa kpa ndoon na.",eron ni uyaa bitii mɔmɔ ga lin jo nkaal ngbaan kina le ki cha n-yon mu kaakpa nduun na,0.5263,0.1507
10,"“Libiln ni kan, ni dan ki nan doon min, nimi Israel yaab Aadindaan Uwumbɔr, u ni dii u na, nfum mutaa.",li bil ni ka nídan kinan duo u mi ními israel yaab aadindaan uwumbɔr uun ní dii u na mfu mita,0.6667,0.1842
11,"Bi dak ke ni ga duun la, ni yaa kaa ye kina kan, u ga kpo.",bi nan tu ke ni yin duun le naa ye maŋke u yiŋp,0.6875,0.575
12,"Moses yaa ti koo li ponn ni kan, le ntaalangbam dan nan sil Libool ngbaan aabisamɔb, le Uwumbɔr len Moses chee tibɔr ntaalangbam ngbaan ponn ni.",mosis yaa ti kool poni kɛ len taalangban danan si li boolngbaan aabisan mɔb le uwumbɔl le mosis chee tibɔl ntaalangbangbaan poni,0.8462,0.1466
13,"Le butɔb aajab aaninkpel Julius gee Pɔɔl aabɔr, ki cha u buen ujɔtiib chee nima, u ti kan waah ban pu na.",le sojam aaniŋkporo juliɔs kpie pɔɔl bu ki che ujon ujɔ tii ban ni yaan un ta kan waah ban na,0.7273,0.4321
14,Pɔɔl aah tuk Ubɔr Agripa waabamɔn pu na.,paul ka gbe ubọt agrippa ubamoim,1.0,0.5625
15,"Le u ga gaa bi lii na kpa mpɔɔn, waayimbil le ye Uwumbɔr Mpɔɔnsakpiindaan.",le u ga gaa bili nan kpa mpɔan waah yim bi la ye uwumbɔr mpɔansa kpindaa,0.7143,0.1525
16,"Bi yaa kan limukl ti pu kan, bee binib yaa ŋa bi falaa ti pu kan, libuul ngbaan ni, le bi ga di ti lii.",bi kan li mugel ibu ke bee bi ninfob jim fala ibu ke libol libol l mɔn yaa li bi n taaik,0.84,0.56
17,"Le u ti bui ubɔr ke, “Nte ni nkpetiib fuu ni a.",le uti buii ubɔr ke n te nin kpa tii fuu na,0.8333,0.1212
18,"U nan ŋman le ki nyun nnyun, le ki ki gir doon.",u na ŋman la ki nyu nnyu la ki kii girdoo,0.6667,0.2059
