sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,Nsukɔm deme.,1.0,0.0
1,Wo pɛsɛ wo yɛ deɛn ɛnɛ,Wɔpɛ sɛ wɔyɛ den no.,1.0,0.2941
2,Awi no rehwehwɛ ahu,Awino rehwehwɛ ho.,0.75,0.125
3,Wɔ nnwomkorɔ kuo bi mu,Wɔ nnwom kuro kuo bi mu.,0.4,0.1111
4,Nante yie,Nante yie.,0.0,0.0
5,Te so ma me,Tesoa maame.,1.0,0.25
6,Wobɛtumi akyerɛ me hɔ,Obetumi akyerɛ me hɔ.,0.25,0.1111
7,Afenhyia pa,Afihyia paa.,1.0,0.3
8,Nokware di etuo,Nnua redi atuo.,1.0,0.3077
9,Maa wɔn ho yɛɛ huam,Mmaa wɔn ho yɛ hwam.,0.6,0.2
10,Kafra,Kapfura.,1.0,0.4
11,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),Nnipa yi yɛ baag.,0.8571,0.697
12,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),Nnipa yi yɛ baage.,0.8571,0.7273
13,"Kosɛ, manhyɛ da",Korow sɛ ɛman hyɛ da.,1.3333,0.3333
14,Woforo dua pa a na yɛ pia wo,Wofir duapa na epiaw.,0.875,0.2857
15,Wote borɔfo,Wɔte borɔfo.,0.5,0.1
16,Neho ayɛ fi  paa,Mehunu ayɛ fi pa ara.,0.75,0.5
17,Me ho yɛ paa,Mehunu yɛ paa.,0.5,0.3333
18,Ko buu no,Koguulu.,1.0,0.4286
19,Mefri Ghana,Mfiri Ghana.,0.5,0.2
20,Me ho yɛ pa ara,Oyɛ pa ara.,0.6,0.2727
21,Na biribiara dwoi,Na biribiara dweɛ.,0.3333,0.1333
22,Ɔmee ne Ɛfeɛ,Ɔmmienu afie.,1.0,0.6
23,Me nsa aka,Mbɛnsa aka.,0.6667,0.25
24,Nsuo,Nsuo.,0.0,0.0
25,Wo se sɛn,Wɔte sɛn.,0.6667,0.2857
26,Meda wo ase,Meda wɔ ase.,0.3333,0.1111
27,Hello good morning. Mepaa’kyew mɛ tɔ credit (Maakye mepaa’kyew mɛ tɔ credit),"Alo, good mɔwene, na mpa kyerɛw no kɔkɔɔde.",0.9167,0.6833
28,Mame bebree,Maame bebree.,0.5,0.1
29,Nti ɔtɔɔ afe fa bi,Nti ɔtɔw afifan bi.,0.6,0.2143
30,Akwadaa wei,Akwadaa Wei.,0.0,0.0
31,Me sika no aka sɛn,Mbasi kanoa kasa yi.,1.0,0.3571
32,Apoobɔ nnyɛ,Apolbɔ yi .,1.0,0.4
33,Wo pɛ deɛn,Ɔta dan.,1.0,0.75
34,Pia no bio,Bea ne bio.,0.6667,0.375
35,Me sika no aka sɛn,Misika no akasɛn.,0.8,0.0714
36,Yɛbehyia biom,Yɛbesia bio.,1.0,0.25
37,Hwɛ soro,Hyɛ soro.,0.5,0.1429
38,Hyɛɛ n'anim teɛ,Hyɛn enim tsiaa.,1.0,0.5
39,Na biribiara dwoi,"Ɛna biribiara, joy.",0.6667,0.2667
40,Yoo medaase,Yɛw ɔm'edɛ ase.,1.5,0.4
41,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),Nnipa yi yɛ baag.,0.8571,0.697
42,Kɔɔ dua bi akyi,Kɔɔdua bi akyi.,0.5,0.0
43,Mefri Ghana,Afiri Ghana.,0.5,0.3
44,Anwa a aguu asuafo no ho,Anwa a ɛgu asuafoɔ no ho.,0.3333,0.1579
45,Aane,Aane.,0.0,0.0
46,Daabi,Gaabi.,1.0,0.2
47,Kɔɔ dua bi akyi,Kɔɔ edua bi ekyi.,0.5,0.1667
48,Mepawokyɛw aane,Nnipa kye wɔn hɔ.,2.0,0.7143
49,Esian sɛ,Esa nsɛɛ.,1.0,0.2857
50,Emu biara,Mmo biara.,0.5,0.25
51,Te so ma me,Tse soma me.,0.75,0.125
52,Na biribiara dwoi,Nna biribi adwiri.,1.0,0.3333
53,Hwan akonnwa,Yi akonnwa.,0.5,0.3636
54,Hyɛɛ n'anim teɛ,Hyɛn ne ne nteɛn.,1.3333,0.4167
55,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),Nnipa yi yɛ bag.,0.8571,0.697
56,Boa me,Mboa me.,0.5,0.2
57,Nsu kɔm de me,Nsuo kɔ mu da mu.,1.25,0.4
58,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),Nnipa yi yɛ bag.,0.8571,0.697
59,Ɔbebue n'ani ɔkyena,Ɔbebue n'ani ɔtena.,0.3333,0.125
60,Okuu adubɔfoɔ,Okuw adubɔfoɔ.,0.5,0.0833
61,Yɛbehyia biom,Yebɛhyia bi wɔ hɔ.,2.0,0.5
62,Number bɛn na wo pɛse wo tɔ gu su,Number bɛn na wɔpɛ sɛ wotɔ gu so.,0.5556,0.12
63,Ebi didi ebi akyi,Ebi dede ebi akyi.,0.25,0.1429
64,Na ɔkɔe kowui,Na ɔkɔɔ egu hɔ yi.,1.3333,0.5455
65,Daabi,Dɛɛ bi.,2.0,0.4
66,Na biribiara dwoi,Na biribiara gye wɔ yɛ.,1.0,0.4
67,Wɔ ńkwankyɛn,Wɔ kwan kyɛn.,1.0,0.0909
68,"Kosɛ, manhyɛ da",Kusɛn ɛma hyɛ da.,1.0,0.3333
69,Saa ɔkɔdeɛ no,Saa ɔkɔdeɛ no.,0.0,0.0
