sample_id,reference,hypothesis,wer,cer
0,"Akon mɔ a don mɔ-abaa so mɔ, nengyene fɛɛ ɔ nyɛ akuuri mɔ ilaa gyisɛ gbaa mɔ, nkana ɔ kya laarɛ kyɔde. Imɔ gɛnen mɔ, ɔko mɛŋ kya sa mɔ imɔ iko‑rɛ iko.",,,
1,"Imɔ‑rɛ imɔ gɛnen gbaa mɔ, Wurubuaarɛ gi kii kyingi mɔ. Ɔ lɛɛ mɔ lii lɛwu anyanyan dɔ. I kya nyiile yɛɛ iŋ bo no yɛɛ ɔ laa wuꞌ sii isɛ dɔ.",,,
2,Gɛnen kee ne fɛye-sɛ Wurubuaarɛ dɛ ne. Iŋ gyɛ mɔ-gɛlaarɛ yɛɛ apiipii adɛ dɔ ɔko ɔꞌ fuɛ Wurubuaarɛ ɔkpa mɔ de mɔ-ɔkyenaten Wurubuaarɛ asɛ ɔꞌ lii mɔ-gibaa.,,,
3,"Nꞌ tɔgɛ fo yɛɛ mɔ-ilaa nyɛnyɛn ibono i nyaakyɔ ne nɛ kyu kyɛɛ mɔ mɔ ne n yɛgɛ ɔ nyɛ gɛlaarɛꞌ belɛ sa me faa. Isa ɔbono, mɔ, mɔ-ilaa nyɛnyɛn iŋ kyɔ ne ɔko gi kyu kyɛɛ mɔ mɔ, gɛlaarɛꞌ pi‑i ne ɔ laa nyɛ sa kaasɛ kee.”",,,
4,‘Gɛŋ sa foꞌ daasɛ fo-Wura Wurubuaarɛ kerɛ yɛɛ ɔ laa wɔra fo-gɛlaarɛ sa fo.’ ”,,,
5,"Meŋ bo ɔkpa de nꞌ kyu me-aterenbi kyu wɔra ilaa ibono n kya laarɛ mɔ? Abɛɛ fo wu me-gidɛnsɛ gibono nɛ wɔra mɔ, i kya loo fo daa?’ ”",,,
6,"Me-sɛana, n kya ŋmarasɛ fɛye ɔwolɛ baarɛ n kya tɔgɛ fɛye",,,
7,"“O nu gɛnen mɔ, ɔ sɔɔ ginyadon ne o kine yɛɛ ɔ maŋ baa loo gɛten dɔ. Mɔ-sɛ gi nu yɛɛ mɔ-bi belɛnsɛ mɔ gi sɔɔ ginyadon mɔ, ɔ lii kpe mɔ asɛ, ɔ kya buɛɛlɛ mɔ.",,,
8,"Owi ɔko dɔ mɔ Yesu kya dalaa mɔ wolɛ, ne mɔ-akasɛbo mɔ mɛ bo mɔ asɛ. Nfono mɔ ɔ taasɛ mɔmɔ yɛɛ, “Sakpii mɔ asɛ mɔ, menɛ nyamesɛ ne nꞌ gyɛ?”",,,
9,"Gɛsintin mɔ, ɔtɛgɛsɛ mɔ gi koso, ne ɔ naa kyon kpe mɔ-gɛwi.",,,
10,"ne mɛ taasɛ Yesu yɛɛ, “Ibono adɛ mɛ kya tɔgɛ faa, foŋ kya nu de foꞌ gya mɔmɔ?” Yesu gi lɛɛ gɛnɔ sa mɔmɔ yɛɛ, “N kya nu kyɔde. Wurubuaarɛ agyɛbi ako a tɔgɛ yɛɛ,",,,
11,Mɛ naa kpaa loo Anfipolisɛ de Apoloniya isowolɛ so lii kpaa fo Tɛsalonika ɔsowolɛ so. Gyuda awura gikyangbon gi bo nno.,,,
