sample_id,reference,hypothesis,wer,cer
0,"Ka maa bare ba ne a kɔŋ ka ba kulo, ba na yĩĩe la a sobiriŋ, bonso, ba mine yi la tentɔbɔ a wa.","Kama barbanan akong kabokulo, bana yela asobirin bonso, bumeni yela tin toba.",0.9583,0.2941
1,"Yɛ puoro korɔ te meŋ a yɛ puoruu poɔ ka Naaŋmen yuo sori ko te ka te moɔle a Kirista yelsɔglaa na eŋɛ N naŋ be a nempagdie poɔ, ka ka N na toɔ̃ manne a weliweli ka a sãã a seŋ N naŋ na manne a lɛ.",,,
2,"A Yeezu naŋ da gɛrɛ Gyɛruzɛlɛm, O da kpɛ la a teŋkponni ane a tembilii poore a kanna a noba gɛrɛ.",يا زو ناندا كاري جيروزاليم.,1.0,1.0
3,A Naaŋmen Bagmaale Wederebɛ Nembɛrɛ Zusoba Naŋ Soore Yeezu Soorebie.,سور بالا انلا کایا بوارو کبا دئیلی یسول نئی نازره کای,1.1,1.0
4,"A yelderebɛ naŋ yi a be naŋ da wa woŋ a te yɛlɛ, ba da yi la Apeyo Daa Poɔ ane Teree Taavens ka ba tuori te.",I did not understand the audio. It is too noisy and the speaker's voice is unclear.,1.0,0.825
5,"Azuiŋ, yɛ ta daŋ di sɛrɛɛ kyɛ ka a saŋ ba ta; kyɛ ka a Daana waabo naŋ ba ta sɛre.","As we yet to done the sale, check our song but check our number.",1.0,0.8644
6,"O naŋ da wa pɔge te a Azɔ poɔ, o da kpɛ la a gbori ka te gaa Mitelen.",नंदावा पोर्टा अज़ोपोर्वा।,1.0,1.0
7,"Ba da lɔɔ o la bare ka o sigi wa a teŋɛzu, a lɔɔ a o malekere meŋ poɔ o eŋɛ.",,,
8,"Ka a toŋkpeɛne ama naŋ toŋ fo poɔ, da toŋ Sodom teŋɛ poɔ, o da na kyɛnɛ bebe la wa ta zenɛ.",Kaachun pyane ama nan tum poor datum sodom tingapur odanachane bibela awatose.,0.9091,0.4478
9,"Azuiŋ, yɛ tɔglɔ Naaŋmen yɛ naŋ waa O poyɛŋ biiri, a taa nɔmmo aŋa lɛ a Kirista naŋ da nɔŋ te lɛ, a de O meŋɛ tere ka ba maale ne bagre naŋ nyuuro noɔ Naaŋmen zie.","As we, you are all on our money, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm saying, you know what I'm",4.3784,4.377
