sample_id,reference,hypothesis,wer,cer
0,"Wɔde wɔn fi amanaman no mu, na mprempren wɔn nyinaa te asomdwoe mu.",wɔde wɔn mfe amanaman no mu na mprempren wɔn nyinaa te asomd,0.2308,0.1321
1,"Mebɔ mpae sɛ omfi nʼanuonyam ahonya no mu mfa ne Honhom a ɛte mo mu no so nhyɛ mo den, sɛnea ɛbɛyɛ a Kristo bɛfa mo gyidi so abɛtena mo koma mu.",memmɔ mpaeɛ sɛ ɔntwini anuonyam ahonya no mu mfa ne honhom a ɛte mo mu no nhyɛ mo den abɛtena mu ko,0.5,0.4054
2,"“Awurade, afei yɛ nea woahyɛ ho bɔ afa me ne mʼabusuafo ho no.",awurade afei yɛ nea woahyɛ ho baafa me ne mma abusua ho,0.3846,0.1489
3,"Anaasɛ, sɛ wɔde ɔbo kɛse bi bɔ obi ma owu a, ɛyɛ awudi enti ɛsɛ sɛ wokum owudifo no.",anaasɛ sɛ wɔde ɔbo kɛse bi bɔɔ bi ma owuo a ɛyɛ ahu dii enti ɛsɛ sɛ wɔkum awudifo,0.4211,0.127
4,"Ɔde asie wɔ ɔsoro ama mo, efisɛ hɔ de, ɛremporɔw anaa ɛrensɛe na ɛrempa nso.",ɔde asie wɔ ɔsoro ama momprɛw,0.6667,0.6102
5,"Ɛno na ɛbɛyɛ nsɛnkyerɛnne a ɛkyerɛ sɛ, Onyankopɔn adi mo anim rekɔka Filistifo no agu.",ɛno na ɛbɛkyerɛ nsɛnkyerɛnne a ɛkyerɛ sɛ onyankopɔn adi mo ani rekɔka filistifoɔ no,0.2667,0.1143
6,"Twa wʼani hwɛ me na bua me, Awurade, me Nyankopɔn.",hwɛ w ani hwɛ me na bua mede me nyanko,0.6,0.2895
7,"Ɛno akyi no, ababaa a ɔsɔ wʼani yiye no na wobesi no ɔhemmea, asi Wasti anan mu.",ɛno akyi no ababaa a ɔsɔɔ w aniiɛ no na wɔbɛsi no ɔhemmea asi w'ase ana,0.4118,0.1967
8,"Akofo akɛse a wofi Efraim abusuakuw mu no, na wɔn dodow yɛ mpem aduonu ne ahanwɔtwe a wɔn mu biara agye din wɔ nʼabusua mu.",akofoɔ akɛseɛ a wɔfie efraim bepɔ abusuakuo mu no na wɔn dodo yɛ mpemaduonu nnua aha nwɔtwe a wɔn mu biara gyegye din wɔn abusu,0.56,0.2062
9,"Afei, Dawid ne Israelfo no nyinaa kɔɔ Baala a na wɔfrɛ no Kiriat-Yearim a ɛwɔ Yuda no sɛ wɔrekɔfa Onyankopɔn Apam Adaka a wɔde ahyɛ kerubim ntam na Awurade din da so no aba.",afei dawid misraimfoɔ no nyinaa kɔɔ baala a na wɔfrɛ hɔ kiriat-yearimma wɔ yuda ne sɛ wɔrekɔfoɔ nyankopɔn kerubim ntam,0.6176,0.3723
10,"Afei, wɔbɛhwɛ mmeamu nnua, mpuran, nsisiso ne ɛho nneɛma a wɔde di dwuma no nyinaa, ne mpuran a ɛwɔ adiwo hɔ nyinaa ne ne nsisiso, nnyinaso, ne ntampehama nyinaa, wɔbɛhwɛ so.",afei ɔbɛhwɛ mmea mu nnua mpuran nea ho nneɛma a wɔde di dwuma no nyinaa na wɔadi hɔ nyinaa ne ne so ne ntapehama,0.5484,0.3529
11,"mo a moka se, “Hena na obetumi ako atia yɛn?",mo a moka sei hena na ɔbɛtumi ako atia,0.3,0.1875
12,"abufuw, anibere ne ɔtan; abɔfo asɛefo kuw no.",abufuw anibere na ɔtan abɔfoɔ asɛefo ku,0.5,0.1429
13,"Dawid kohyiaa wɔn kae se, “Sɛ moaba asomdwoe so sɛ morebɛboa me a, yɛyɛ nnamfo.",dawid kɔhyiaa wɔn kansie soma baal asomdwoeɛ sɛ morebɛboa me a yɛyɛ n,0.5333,0.2295
14,Wʼabufuwhyew ayɛ duru wɔ me so; woama wʼasorɔkye nyinaa abu afa me so.,m'abufuhyew ayɛ duru wɔ me so woama woasorteɛ nyinaa abu afa me,0.2308,0.1786
15,Ahyɛde a woayɛ no yɛ trenee; ɛyɛ nea wonya mu ahotoso pa ara.,ahyɛdeɛ a wɔayɛ no yɛ tenenee wɔnnya mu ahotoso pa,0.5385,0.2766
16,"Ɔbrɛɛ no ntade sɛ ɔmfa nsi atweaatam no anan, nanso ɔpoe.",ɔbrɛɛ no ntade sɛ ɔmfa nsi atuatam no anan,0.2727,0.2667
17,"Wʼankasa wʼano bu wo kumfɔ, ɛnyɛ me de; wʼankasa wʼano di adanse tia wo.",w'ankasa w'ano buukumfoɔ ɛnyɛ mede wankasa wɔ ne di adanse ti,0.7857,0.2143
18,"Wowɔ abodwokyɛre, mma me nwu; hwɛ sɛnea wo nti wɔbɔ me ahohora.",wowɔ abodwokyɛre mma menka sɛnea,0.6667,0.4694
19,"Eyinom ne asɔfo ne Lewifo a wɔfrɛɛ wɔn no: Wɔn a wofi Kohat abusua mu no, na wɔn dodow yɛ ɔha aduonu a Uriel tua wɔn ano.",ebinom ne asɔfoɔ no lewifoɔ a wɔfrɛɛ wɔn no sɛ ɔha adu,0.7778,0.5978
20,"Wɔkae se, “Awurade hyɛɛ wo se bɔ ntonto na gyina so kyekyɛ asase no ma Israelfo no.",wɔkae se awurade hyɛɛ wo sɛ bɔntonto n agyina so kyekyɛ asase no ma israel,0.4118,0.0781
21,"Edii nnanson, na wɔyɛɛ no wɔ Susa ahemfi adiwo turo mu.",ɛdii nnanson na wɔyɛɛ no wɔ susan ahemfi adiwo tu,0.3636,0.1395
22,Nhyira nka wɔn a wɔte wo fi; na wɔkamfo wo din daa.,nhyira nka wɔn a wɔate wo fi na wɔka,0.4167,0.3158
23,"Ɛbɛyɛ Awurade nsɛnkyerɛnne sɛ ɔbɛboa yɛn, ama yɛadi wɔn so nkonim.",ɛbɛyɛ awurade nsɛnkyerɛnne sɛ ɔbɛboa yɛn ama yɛde wɔn sunku,0.2727,0.1296
24,"Me ne wɔn bɛyɛ asomdwoe apam, ɛbɛyɛ apam a ɛte hɔ daa.",me ne ɔmo bɛyɛ asomdwoeɛ apam ɛbɛyɛ apam a ɛte hɔ,0.25,0.1707
25,"Manase mmarima no bi tew wɔn ho kɔdɔm Dawid, bere a na ɔne Filistifo no rekɔko atia Saulo no.",manase mɛmma no bi tee wɔn ho kɔdɔm dawid berɛ anaa ɔne a sau,0.5789,0.4247
26,Ɛnsɛ sɛ mo mu biara hu amane sɛ owudifo anaa owifo anaa odwotwafo anaa ɔsɛmpɛfo.,ɛnsɛ sɛ mohu obiara hu amane sɛ awudifo anaasɛ woana,0.6667,0.4308
27,"Ɔde kɔma Onyankopɔn nnipa a wayi wɔn a wɔabɔ ahwete sɛ ahɔho kɔ Ponto, Galatia, Kapadokia, Asia ne Bitinia amantam mu no.",ɔde kɔma onyankopɔn nipa a wayi wɔn a wɔabɔ ahwete sɛ ahɔhoɔ,0.5455,0.4896
28,"Ɛno nti, metu mo afi saa asase yi so de mo akɔ asase a, mo anaasɛ mo agyanom nnim so, na mobɛsom anyame foforo wɔ hɔ awia ne anadwo, na merenhu mo mmɔbɔ.",ɛno nti mɛtu mo afiri saa asase yi so da mu akɔ asase ahunu soro wɔ hɔ awia nyanadwo,0.6364,0.5259
29,"Sɛɛ na Otumfo Awurade se: Bere a wiase nyinaa redi ahurusi no, mɛma wo ada mpan.",saa na otumfoɔ awurade sei bera wiase nyinaa yeredi ahurisie no mɛma wo ada,0.5,0.2097
30,"Esiane sɛ kan no mo Lewifo ansoa Apam Adaka no nti, Awurade, yɛn Nyankopɔn, abufuw sɔre tiaa yɛn.",awurade yɛ onyankopɔn abufuo sɔre tia,0.8889,0.6053
31,Anuonyam nka Onyankopɔn a ne tumi yɛ adwuma wɔ yɛn mu.,anuonyam nka onyankopɔn a ne tumi yɛ adwuma wɔ y,0.1818,0.093
32,"Momfa ɔpapo baako nyɛ bɔne ho afɔrebɔ nka daa ɔhyew, atoko ne nsa afɔrebɔde no ho.",momfa wo papa baako yɛ bɔne ho afɔre nka daa ɔhyew atoko ne nsa afɔrebɔde,0.375,0.1538
33,Ɔpa abaw sɛ obeguan afi sum mu; wɔabɔ no ato hɔ ama afoa.,ɔpa abaw sɛ wobɛgu afiri sum mu wabɔ no ato hɔ ama,0.3077,0.2326
34,Yɛbɛyɛ yɛn nguannan na yɛakyekyere nkurow akɛse ama yɛn mmea ne mmofra.,yɛbɛyɛ yɛn wanan na yɛakyekyere nkuro akɛse ama yɛn mmea no m,0.3333,0.1864
35,"Mo nyinaa nni aware ni, na okununom ne ɔyerenom nni wɔn ho wɔn ho nokware, efisɛ Onyankopɔn bebu nguamanfo ne aguamammɔ atɛn.",mo nyinaa ani awareni,0.9091,0.8317
36,"Eyi maa Hiob sɔre gyinaa hɔ, sunsuan nʼatade mu na oyii ne tinwi.",yi ma a hiob sɔre gyinaa hɔ sunsuanatade mu no ɔyii ne,0.6154,0.1961
37,"Na mmom monyɛ kronkron wɔ biribiara a moyɛ mu, sɛnea Onyankopɔn a ɔfrɛɛ mo no yɛ kronkron no.",na mmom moyɛ kronkron wɔ biribiara a moyɛ mu,0.5556,0.5135
38,"Abobow ano no trɛw yɛ anammɔn dunum, na afasu a epuepue wɔ afaanu no trɛw yɛ anammɔn ason ne fa.",aboboano na monndum pii wɔ afanu no,0.85,0.6667
39,"Afei osusuw abɔntenpon no ano kwan, na ne trɛw yɛ anammɔn dunum na ne tenten mu nso yɛ anammɔn dunkron ne fa.",afei wususuw abɔntempɔn no ano kwan na ne trɔ yɛ anammɔn dunum na ne tenten mu nso yɛ anammɔn du nkuro,0.2727,0.1395
40,"Na sɛ muhu amane wɔ mo Kristosom mu a, mommma mo ani nnwu, na mmom, monna Onyankopɔn ase sɛ moyɛ Kristo de.",sɛ muhu amane wɔn kristosom,0.8182,0.7317
41,"Nanso wɔde ɔhene frɛtumi nkra kɔmaa ɔhemmea Wasti no, wamma.",nanso wɔde ɔhene frɛ tumi nkra kɔmaa ɔhemmea wɔ ase no wa,0.5,0.1224
42,"Wubefi wʼasase so wɔ atifi fam nohɔ tɔnn, wo ne aman bebree a wɔn nyinaa tete apɔnkɔ so, nnipadɔm kɛse, asraafodɔm a ɛso.",wobɛfiri hɔ asase so wɔ atifi fam no hɔ tɔnn wo nua aman bebree a wɔn nyinaa tete apɔnkɔ so asraafoɔ dɔm,0.4783,0.2632
43,Di mʼasɛm ma me na gye me; kyɛe me nkwa so sɛnea wo bɔhyɛ no te.,di masɛm ma me na gye me wobɔhyɛ,0.625,0.4681
44,"“ ‘Ɔsram a ɛto so ason no da a edi kan wɔ afe biara mu no, munni torobɛnto afahyɛ no.",afe biara mu no,0.7895,0.8065
45,Eyi ne ɔkwan a wonam so fi wo mmerantebere mu; woanyɛ osetie amma me.,yei ne ɔkwan a wonam so fii wo mu mmerantebere muntie am,0.5,0.3148
46,Ɛno nti momfa nidi nyinaa mma no wɔ mo nna a aka mo wɔ asase yi so no.,ɛno nti momfa nnidi nyinaa mma no ɔmo nna a aka,0.5,0.3269
47,"Eyinom ne ahemfo a wodii Edom so ansa na Israelfo renya ahemfo: Beor babarima Bela, a ɔtenaa kuropɔn Dinhaba so dii hene.",eyinom ne ahemfo awodii edom nso asa na israelfoɔ no nya ahemfo ebia ɔbabarima balaa ɔtenaa kuro,0.7273,0.299
48,"Ɛno akyi no, Aramfo ampɛ sɛ wɔbɛboa Amonfo bio.",ɛno akyi no aaramfoɔ a ɔmpɛ sɛ wɔbɛboa amonfo bio,0.3333,0.0811
49,"Ase kyerɛ sɛ, nea edi kan no, ɔkɔɔ fam wɔ asase ase pɛɛ.",asekyerɛ sɛ nnoɔdi kan no ɔkɔɔ fam wɔ asase ase p,0.3846,0.122
50,"Wɔn mmara ne ɔman foforo biara de bɔ abira, na mpo, wobu ɔhene mmara so.",wɔn mmara ne ɔman foforɔ biara de bɔ aburahamu ne m,0.5333,0.3091
51,"Wofii Esion-Geber kɔbɔɔ atenae wɔ Kades, wɔ Sin sare so.",wofii asuangiba kɔbɔɔ tena wɔ kerdes kɔsii sa,0.7,0.3636
52,na nyɛ wo ho onyansafo mmoro so; adɛn nti na wosɛe wo ho?,na nyɛ wo ho onyansafoɔ mmoroso,0.6923,0.4419
53,"Emu biara tenten yɛ anammɔn abien ne nkyɛmu anan mu baako, na ne trɛw nso yɛ saa ara, ne sorokɔ yɛ ɔnammɔn baako ne fa.",emu biara tenten yɛ anammɔn abien ne nkyɛmu ananmu baako,0.64,0.4891
