sample_id,reference,hypothesis,wer,cer
0,Ɔtoo nsa frɛɛ nkorɔfoɔ no sɛ wɔmmra mma wɔmfa wɔn nsa nhyɛ Ne nkyɛn na wɔnte nnadewa a ɛwɔ Ne nsa ne Ne nan mu no ntwerɛwee nka.,"ɔsɔfo no sɛ nkrofoɔ no sɛ wɔmbra, na wɔmfa wɔn nsa hyɛ ne nkyɛn, ne ne mfɛne, ne ne nneɛma mu na adwoa a ɔde bɔɔ no",0.7143,0.46
1,na wɔnim [Warden Duffy] pa ara ɛnam ne mmɔdemmɔ sɛ ɔboa nnipa a wɔwɔ n’afiase hɔ ma wɔnya asetena pa.,ɔno nso fodeɛ fɛfɛ ɛna ne mɔdenbɔ sa ɔboa foforɔ ma ɔnya asetenapa,0.85,0.5385
2,"nneɛma a yɛyi,","ɛne m'awofoɔ hia eyi a, ɛbɛtumi asua wɔ saa asetena",3.0,3.0
3,"na ɛtɔ da a ɔdi awerɛhoɔ nya atenka sɛ ɔyɛ ankonam a ɔnni asɛmmisa,","Na ɛnto dɛɛ bi a, odi awerɛhoɔ ka sɛ, wɔyɛ Nyankopɔn ma wɔnni asɛmisɛm.",0.7857,0.4528
4,"sɛ yɛhyɛn ɔkwan teateaa ne teateaa a ɛde yɛn bɛsan akɔ Ɔsoro Agya anim no a,",ɔbaabaeɛ no ne ɛkɔeɛ no so. Na ɛde yɛn kɔ soro agya no,0.75,0.6167
5,ɔsom wɔ Asɔre no mu sɛ pɛɛwa agyinatukuo kɛseɛ ba.,ɔsɔfoɔ wɔsɔɛn mɔseɛ peewa gyinaa bia tuo kɛseɛ paa,0.9,0.475
6,M’agya nam Twerɛsɛm ne atenka hodoɔ a ɔkaa ho asɛm no so boaa me ma mede gyidie fapem a ɛyɛ den sii hɔ wɔ Awurade Yesu Kristo mu.,"M'agya, m'anfre wo sɛ m'ene Atekankohua a ɔka ho asɛm no so boa me, ma me gyedie fapem, ɛyɛ NDC adwuma, D. Jesus.",0.6429,0.39
7,"Amansan SodifoɔAduɔson a wɔdidi soɔ yi wɔbɛma wɔn agye wɔn ahome na wɔama wɔn emeritus dibea,","Ama Sasi Fordjour so a ɔdidi so yi, wɔbɛma wɔn adwe wɔn ahome, na wɔama wɔn Emeritus TV",0.5,0.2468
8,Nsakraeɛ a aba Mpɔtam Aduɔsonfoɔ mu Wɔgyee Mpɔtam Aduɔsonfoɔ a wɔdidi soɔ yi too mu wɔ akannifoɔ nhyiamu bi a wɔyɛeɛ sɛ amansan nhyiamu fa bi:,Ɛfiri effective immediately,1.0,0.8879
9,yɛsua no pefee sɛ yɛn Soro Agya no akyerɛ saa nkyerɛkyerɛ a ɛsomboɔ yi fiti mfitiaseɛ ankasa.,Yɛee yee anaa yɛee yee,1.0,0.8158
10,na saa kuo yi hyiaa nsɛmdennden pii.,"Saa mmerɛ ma bɔɔbɔokuo no deɛ, nneɛma ne mu yɛ den.",1.5714,1.069
11,mede m’ahoɔden nyinaa pia sɛdeɛ ɛbɛyɛ a mframa rensa wɔ sankuo no mu.,mede m'ahoɔden nyinaa pɛ sɛ deɛ ɛbɛyɛ a mframa a ɛde bɔ sɛnkoro no,0.6154,0.2364
12,a ɔhyɛ atadeɛ a ɔde da na ɔkuta Mormon Nwoma Abasɛm.,"Wo sɔea, wo de dɔn na wokura mu mpo? Nhoma aba sɛn?",1.0909,0.5366
13,"Berɛ a na ɔrekɔ sukuu wɔ asraafoɔ atenaeɛ bi wɔ Germany no,","Mmeampaano, mwasietɔni ho amanyanmesum. Bra",1.0,0.8298
14,baabi a mekae yie a na mekɔ Yesu Kristo Asɔre no sakramɛmte nhyiamu berɛ a na meyɛ abɔfra no.,"babiara wɔsɛ woyɛ Yesu Kristo wɔ yɛ kɔ meeting, sacrament no, m'abranteɛ m'ayɛ abofra no",0.8421,0.5541
15,"na yɛbɔ mmɔden sɛ yɛbɛyɛ Yesu Kristo asuafoɔ mmapa a,",Ɔse ɔyɛ homoding bia.,1.0,0.8372
16,tete ne ɛnnɛ yi deɛ no nyinaa.,Titsie ne nea ɛdie wo nyinaa,0.7143,0.4348
17,na saa onuabaa yi nyaa mfeɛ  kaa ho tenaa ase sɛ okunafoɔ.,"Na sɛ woanya Mfante 20 cents koraa, wo tena ase sɛ okunafoɔ.",0.6667,0.4444
18,Ɔkyerɛɛ mu sɛ na ɔnnya nhyira a na ɔrehwɛ anim afiri asɔre a asane aba bio no mu.,Afei mpo sɛ na Onyame nhyira a na ɔwɔ firi asɔre asaase no aba bio no,0.5,0.4286
