sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.",good afterland anti it has been a bit difficult to be annest i feel like a writtan is just pilen up on me it is my uncle,1.0833,0.908
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.",ampa mmama no bi wɔ hɔ a ɔmo no mu yɛ du na ɔmoho nso ɔyɛ den nso maa no de ɔmo ayɛ din asɛ yɛde mmera ahyɛ mo so memaa me ɛtaa aka sɛ menua baa no de ne ho dwo ɔtena fie ɔbo aduaneyɛ ɔnkasɛntia mpanyimfoo,0.5849,0.2316
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.",merbi a menankye afa msukuru dan nkyen naa ɛfɛ fɛ me de mesukuu dwumedie ɛma no ho ɔka nnwɔma afa menipa duaa ho na ɔka nhɔma a ma me ho ntɔme tse fɛfɛ mea men yɛ ɔba a ntɛntɛ so na memfa maadwen mbra ne so ɛkyeɛn mesukuu grata,0.9091,0.3136
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.",nanso ɔsere nɔ se eduane noa ɛyɛ maadwuma na me sɛ mmerɛ wɔgyaade a yɛnhu mi sɛ meaberante a mewoahoɔden anaato mi wɔ mpɔtɛm ha menim sɛ nyɛ no korɛ hwɛahɛmfoakuku dam ɛɛwɔ n kran anaa mmerante a wɔnea nnuane ɛtɔn,0.6667,0.1475
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.",ebɛtumi  akasaafa sɛ ne ebesia ka daa bi ɛtɔ daa ayɛ anaaden esiansa mɛma no ayɛ ana wɔngye pene ɛyɛ medɛ sɛ ɛnyɛ mepɛ name edwensaa nneɛma yi ho na watwe beyi mesamba bim,0.8182,0.2252
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?",mehoatɔ me esaan sɛ yɛdi adeɛ yi hu kɔmɔ dɛnna wɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me soma meyɛ ade a mempɛ sɛ meyɛ a sɛmpo wonyinsɛn me a ɛyɛ ana nkorɔfoɔ ka sɛ sɛ obi ka sɛ daabi a mpankyerɛ sɛ daabi medaase wɔ fa yɛbɛti me ehyia biomu ɛbenadaa,0.5263,0.1466
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.",wɔtenka sɛ wɔayɛ ankonam na wosoro sɛ wɔbɛba soku mpo akwan bɛn na wɔbɛfa so ante daabi a wobɛka no nyɛ mmerɛw berɛ nyinaa berɛ a wobearareyɛ ade a nteɛ no mepɛ sɛ mmeyɛ ɔtwɛtwerɛɛfo debi nti mebɔmɔ den sɛ metwɛ me ho afiri ɔhaw mu mebɔmɔden sɛ mmekɔ so de maaden esibribe so,0.569,0.1681
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.",even if tey do not lesten immediate me you are practitint the skale of self advocacy that is a transferable life skale i never thought about it like that,1.0,0.8879
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.",menindwu ho sɛ ekoni ninaabɛsesa nadwo baako na nsyɛ metume de mabu suahyɛase mepɛ sɛ nehini sɛ motusɛ metum a yɛa de kasea naa na ɛtɔm mabu a saa wɔ haw yi ayɛsɛnea ɛsose nnipa baakofo na aninti ma menyɛ ankonam,0.7609,0.234
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.",wosusu sɛ sɛ mmeawa de wɔn ho dodo a mpontem hɔfɔ bɛhwease esusu sɛ yɛakyidi sɛ ɛsɛ sɛ nneama yɛ saa efi sɛ na ɛtesaa berɛ nyinaa wɔde atete sɛm de dwuma sɛkyɛm de ma nkorɔfɔ yɛkɔm dɛde hwɛ a yɛhwe so na ɛfiase,0.5714,0.1486
