sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,屬功的面,1.0,1.0
1,Akwadaa wei,阿跨大委,1.0,1.0
2,Mafe wo,馬四,1.0,1.0
3,Yɛ wɔ,夜喔,1.0,1.0
4,Ɔmee ne Ɛfeɛ,好沒立而切,1.0,1.0
5,Mɛtɔ credit 5 cedis,賣錯快的子發西的,1.0,1.0
6,ɛkɔm de me,空點,1.0,1.0
7,Hyɛɛ n'anim teɛ,寫而你解,1.0,1.0
8,Medaase mensa aka,大生命沙可,1.0,1.0
9,Dum kanea no,動剛量,1.0,1.0
10,Na ɔkɔe kowui,那喔迫哭育,1.0,1.0
11,Neho ayɛ fi  paa,梅後愛已期怕,1.0,1.0
12,Me pɛse me tɔ credit na me de gu mtn number so,每被線每都規理南民離估楊見南吧說,1.0,1.0
13,Mepaa’kyɛw me number no yɛ 059,跑超梅當版也自若法納,1.0,1.0
14,Ko buu no,後部農,1.0,1.0
15,Woka borɔfo,我看肉否,1.0,1.0
16,Tuu no,出努,1.0,1.0
17,ɛyɛ,阿業,1.0,1.0
18,Mepaa’kyɛw ma sesa m’adwene,沒怕收馬四善馬雲,1.0,1.0
19,To nnwom,作用,1.0,1.0
20,Yɛ wɔ,夜霧,1.0,1.0
21,Bra ha,讓啊,1.0,1.0
22,Nsuo,音續,1.0,1.0
23,Mame bebree,滿立地魚,1.0,1.0
24,Ma me bi,麥密筆,1.0,1.0
25,Dadeɛ bi twa dadeɛ bi mu,等階幣差的階病,1.0,1.0
26,Hyɛɛ n'anim teɛ,學明命起,1.0,1.0
27,Tuu no,次溫腦,1.0,1.0
28,Dan mu,大意木,1.0,1.0
29,Mepaa’kyɛw me number no yɛ 059,每怕錯明南本也收法奶,1.0,1.0
30,Hwan akonnwa,花要塊雅,1.0,1.0
31,Wo pɛ deɛn,無本代,1.0,1.0
32,Dum kanea no,動咖量,1.0,1.0
33,Ne nea Ɔsɛe de yɛɛ buburoo wei,念亞不非畢業不入魚,1.0,1.0
34,Mee tɔ akɔ 054 so,每周阿火載又反否,1.0,1.0
35,Mepaa’kyɛw Aane (spoken),你排周阿你,1.0,1.0
36,Ne yere,牛夜語,1.0,1.0
37,Yoo medaase,玉喔們大死,1.0,1.0
38,Maa aboa bi twee,碼啊不不權,1.0,1.0
39,Mayera,滿夜啊,1.0,1.0
40,ɛno akyi no,南路第氣路,1.0,1.0
41,Nante yie,南機業,1.0,1.0
42,Me pɛse me tɔ credit na me de gu mtn number so,每排善沒錯回裡那密地估音次驗南保屬,1.0,1.0
43,ɛkɔm de me,該空目的美,1.0,1.0
44,Efiri sɛ,一服色,1.0,1.0
45,Wo pɛ deɛn,我北定,1.0,1.0
46,Me credit aka sɛn,可的早刻誰,1.0,1.0
47,Yoo medaase,又命登席,1.0,1.0
48,Nante yie,南積業,1.0,1.0
49,Wobɛtumi akyerɛ me hɔ,為怎們愛持熱沒或,1.0,1.0
50,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,怕出們排善梅錯驗積驗迴的,1.0,1.0
51,Mtn,安機,1.0,1.0
52,Akwadaa no to dwom,塊大作種,1.0,1.0
53,Mee tɔ akɔ 054 so,每超阿口資反符,1.0,1.0
54,Me sika no aka sɛn,明司咖農阿卡賽,1.0,1.0
55,Fa to hɔ,發出後,1.0,1.0
56,Na biribiara dwoi,那不要讓著,1.0,1.0
57,Aane,啊類,1.0,1.0
58,Woanyini kyɛn me,問音切米,1.0,1.0
59,Tikorɔ nnkɔ agyina,即迫文會質能,1.0,1.0
60,Me ho mfa me,沒後發明,1.0,1.0
61,Emu biara,目標啊,1.0,1.0
62,Woka borɔfo,我看不服,1.0,1.0
63,Woforo dua pa a na yɛ pia wo,無復點怕沒片,1.0,1.0
64,Neho ayɛ fi  paa,女護愛師爸,1.0,1.0
65,Akwadaa no to dwom,把塊達農做種,1.0,1.0
66,Gye di,積地,1.0,1.0
67,Okuu adubɔfoɔ,庫謠豬不富,1.0,1.0
68,"Kosɛ, manhyɛ da",補載媽生的,1.0,1.0
69,Ɛsoo aba pii,阿速阿半皮,1.0,1.0
