sample_id,reference,hypothesis,wer,cer
0,Me ho ye paa ara,Me hu ne paaa,0.8,0.3333
1,Yaw ne Ama,Yɛawo no ama,0.6667,0.375
2,Nsu,Nsuo,1.0,0.3333
3,Okuu adubɔfo,Okum adubofo,1.0,0.1818
4,Ma ɛtwee aboa bi,M'atye aboa bi,0.5,0.2308
5,Mefi Ghana,Mefi Ghana,0.0,0.0
6,Dɛɛbi dɛɛbi me pɛsɛ me tɔ,"Daabi daabi, me pɛ sɛ mɛtɔ.",0.8333,0.25
7,Number bɛn na wo pɛse wo tɔ gu su,Nnomaa ben na wo pɛ sɛ wo to gu so?,0.6667,0.36
8,Nokware di tuo,Nokware di hyio,0.3333,0.25
9,ɔkɔtɔ nnwo anomaa,ɔkɔtoɔ no wɔ hene ma,1.6667,0.4667
10,Mepawokyɛw,Mepa wo,2.0,0.4
11,Sɔ kanea no,Sɔkam nhyiamu,1.0,0.6667
12,Wɔ ńkwankyɛn,Wo nguan nkyen,1.5,0.5455
13,Tuu no,Soono,1.0,0.6
14,Mtn,MTN,0.0,0.0
15,ɛye,Eii!,1.0,1.0
16,Gye di,Gyidi,1.0,0.2
17,Wofi he,Wofe hẽ,1.0,0.3333
18,Abofra yi,ɔbɔfra yi,0.5,0.25
19,Saa ɔkɔre no,Saa akorɔnno,0.6667,0.4
20,Esian sɛ,Ɛnsɛe,1.0,0.7143
21,To so ma me,Tɔ mmɔme,1.0,0.5
22,Gyeene abiɛsa,Gye ne ebiesa,1.5,0.25
23,Me nsa aka,"Mmaa ne mmarima, moaba fie.",1.6667,2.0
24,Meredwen wo ho,Me dɔ wo,1.0,0.5833
25,Wɔn ti,wonsusu,1.0,1.0
26,Mepaw’ kyɛw yiw  (spoken - informal),Mepa wo kyɛw,1.0,0.6923
27,Tu amirika,So me Rika,1.5,0.4444
28,Mepawokyɛw ma sesa madwene,"Mepɛɔ, m'asisi margin.",1.0,0.5217
29,Woka brɔfo,Wokɔɔ bra fɔ,1.5,0.4444
30,Medɔ wo,M'edɔ,0.5,0.3333
31,Ɛsoe pɛ,"Ɛsoɛ mpo. Aane, ɛsoɛ.",2.0,1.6667
32,Wofi he,Ofie,1.0,0.3333
33,Ɛsow aba pii,Ɛso abɛpɛ.,1.0,0.4
34,Woforo dua pa a na ye pia wo,ɔkɔɔ tɔn wɔn noma,1.0,0.9048
35,Fa to hɔ,Fa to hɔ,0.0,0.0
36,Bra ha,Bra ha,0.0,0.0
37,Merehwehwɛ Yaw,Me ne hyia Yao,2.0,0.5385
38,To so ma me,Sɔsɔ m'amene,1.0,0.625
39,Abofra yi,Mampong 3,1.0,1.0
40,Nokware di tuo,Nokware 82,0.6667,0.4167
41,ɔkɔm de me,Ɔkɔm de me,0.0,0.0
42,Tow nnwom,Sɔ hyɛm,1.0,0.875
43,ɛno akyi no,Ɛnnoɔhyɛ no,0.6667,0.4444
44,Emu biara,Ɛmmom biara,0.5,0.5
45,Kyerɛw ma me,Kyɛw me,0.6667,0.4
46,Sɔ kanea no,Sɔ kanea no.,0.0,0.0
47,Woadi Ńkɔmmɔ mprɛnsa,Wɔyɛɛ dɛn nkɔmmɔ mprɛnsa?,1.0,0.3889
48,Wo pɛsɛ wo yɛ dɛn ɛnɛ,Wo pɛ sɛ woyɛ dɛn ɛnnɛ?,0.6667,0.0625
49,Mepawokyɛw Yiw,Mepa wo kyɛw,1.5,0.2308
50,Me ho ye paa,Me nhweipam,0.75,0.5556
51,Tew so ma me,Tie sɔ me,0.75,0.5556
52,Me ho ye paa ara,Me ho yɛ paaa.,0.6,0.25
53,Network bɛn,Nɛtwɛk bɛŋ,1.0,0.4
54,Me nsa aka,Me nsa ka,0.3333,0.125
