sample_id,reference,hypothesis,wer,cer
0,"Obiara n’enyi nnyɛ dzen dɛ ɔbɔbɔ no nkenyan; Na sɛ dɛm a, woana koraa nye nyia obotum emi m’enyim gyina?",obiara na enyi nyɛdzen dɛ ɔbɔbɔ no nkanyano na sadam a wɔna koraa nyenyia a ɔbɔtum emima nyi mu gyina,0.65,0.1625
1,"Nyew, ebɛyɛ dɛ nyia ɔda epo finimfin.",ye ɛbɛyɛ dɛ nya a ɔdɛpo,0.8571,0.4828
2,"Na obisaa hɔn dɛ, Afotu bɛn na hom dze ma, ma yɛdze mbuae aasan akɛma ɔman yi a wɔaka akyerɛ me, dɛ, Yɛ kɔndua a w’egya dze too hɛn do no harhar no?",na obisa a nwɔn dɛ afoto bɛnn a homadze ma maa yɛdze mbuaye asan akama ɔman yɛ a wɔakaakyerɛm dɛ yɛ kɔndu a wogyadze too hando no haahal no,0.6667,0.1364
3,"Na aka kakrabaabi na ebufuhyew no abɔ adze, na n’ebufuw adan ayɛ hɔn sɛɛe.",na akakeka baabi ma ebufo hyɛn abadze na na ebufo adɛn ayɛ hon sɛe,0.7857,0.2414
4,Judamba afamu dze no mu na Simeonmba egyapadze fi: osiandɛ Judamba kyɛpɛn no dɔɔ so dodow ma hɔn: dɛm ntsi Simeonmba nyaa egyapadze wɔ hɔn egyapadze no mu.,judambaafamdze no mu na simeɔn agyapadze fi osian dɛ judamba kyɛpɛn no dɔɔ so dodow mahɔn demiti simeɔn banyaa agyapadze wɔ hɔna agyapadze nom,0.6429,0.112
5,Aso wɔbɛka w’adɔyɛ akyerɛ wɔ adakamona mu?,asɛ wɔbaka wɔadɔyɛ akyerɛw wɔ adekamunam,0.8571,0.2059
6,Obobu Bɛt-semes a ɔwɔ Egypt asaase do no n’edum no; na ɔdze gya ahyew Egypt abosom efi no nyina.,obɔbu betal mes a ɔwɔ egit asasedon na edum no na ɔdze gye ahye egipt abosom efi ne nyina,0.6316,0.1757
7,"Ɔsor so sosɔɔw wɔ Nyankopɔn enyim: Sinai noara mpo wosoow wɔ Nyankopɔn, Israel Nyankopɔn no enyim.",ɔsoro so so sɔw wɔnyankopɔ n'anyim senda enuara mpo wo so w wɔ nyankopɔno israe nyankopɔ n'anyim,0.9375,0.1625
8,"Nna Solomon kaa dɛ, EWURADZE ase dɛ, ɔbɛtsena sum kebii mu.",nna solo mo kaa dɛ ewuadze ase dɛ ɔbatsena sum kebiim,0.5455,0.087
9,Na Netania ba Ismael nye mbarimba baawɔtwe fii Karea nsa kɔr Ammonmba no nkyɛn.,ne nataneaba ismel nyi mbarimba bawɔtw twii karia nsa kɔɔ amo mba no nkyeɛn,0.8571,0.2
