sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.","Good afternoon, Auntie. It has been a bit difficult, to be honest. I feel like everything is just piling up on me. It is my uncle.",1.0417,0.9655
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.","I'm not a man of war. I'm only you do. Now, I'm on so you are doing. And so a man there, I'm I'm doing. I said, you are the I'm I'm so so. But my, I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'",1.8868,1.0565
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.","The name of the village is ""Aman"" and the name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village is ""Aman"". The name of the village",4.1136,3.1716
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.","Naa o se, no se. Idyanne noa ayamejima. Na me se me o ja dia. Ye humi se. Mea brantia. Me wan wan den an na tu me wan potemha. Me nim sa nyano kure. Shai hem we ku ku dam ay wan krain. An na em ran tia wan nyia in nyia ne etong.",1.1556,0.4536
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.","I bet me a casa, fa se me be si a cada bi. A toda, a ya a ne din. E san se me ma no a ya no won je pe ne. A ya me de se. A ya me pe, a la me je in sa ne ma ya hu. Na wa chi e be me san ba biu.",1.2273,0.4768
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?","Mwa tomi, esan se yedi a de yunkomo. Den awasamekan, sobi pasese osha me sumameya adiya me me pasese meya. Sempu wini semiya. Aya anan ko fukase. Sobi kase da biya em panche se da bi. Me da su wafa. Ebeti me she biyum e benada.",0.9825,0.4398
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.","What thing I say, why I am coming? Now, we should say, ""Overpass, come up."" I can't be now, overpass, and then, there be, ""I will be coming,"" in emerald, ""Brennan, ""break out, be a ray, at the eye, and then, ""me pass, a mayor, of the trail, for the baby."" In the, ""me boom, me boom, ""den say, ""me trim, ""me who, ""free, ""or home."" ""Me boom, ""me den say, ""me cosmos, ""the margin, ""I see, ""be so.",1.2931,0.7522
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.","Even if they do not listen immediately, you are practicing the skill of self-advocacy. That is a transferable life skill. I never thought about it my dad.",1.0,0.8879
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.","Mening jor has set, the queen lama set on an anajubal ko. Lasa me to me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me me",5.3913,2.5213
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.","Wasu susa, se me a wa de won hu do wa, em pon tem ho fa be si a se. Me susu se a ye ji de se. E se se ni a ma ye sa, e fi se. Na e se se a bre ni a. Wa de a te ti se ni di ji ma. Se che mi. De ma in ko fo yo ko. De de che a, de che su na, e fi ya se.",1.4286,0.4571
10,"Sɛ me ka daabi a, ɔbɛka sɛ me mmu adeɛ. Na sɛ me ka sɛ mesuro nso ɛ? Me mpɛ sɛ me yam bɛhyɛ me o. Me mpɛ sɛ mede me nkwa bɛto asiane mu. Wobetumi aboa me ma me ne no akasa anaa? Me maame deɛ, ɔwɔ mfinimfini.",Samekanda bia. Obakasa mi muadi. Na. Mekase mi junsue. Empe se mi embashimiu. Empe se mi deminkaba tuisami. Obasimi abuanama manonwa kasana. Mi mamedi o wonfinfin.,0.9796,0.4371
