sample_id,reference,hypothesis,wer,cer
0,Halɩ maawobi mamʋ takayɩsɩ pa-maɣmaɣ pɔ-cɔlɔ se mowoni ɖɛ-tɛ ñɩma cɔlɔ Damaasɩ nɛ pɩsɛɣ mankpa patɩŋa nɛ mɔnkɔnɩ-wɛ Yeruusalɛm cɩnɛ nɛ pɔhɔ pa-nɩŋgbaaŋ.,halɩ maawobi mamʋ takayɩsɩ pa-maɣmaɣ pɔ-cɔlɔ se mowoni ɖɛ-tɛ ñɩma cɔlɔ damaasɩ nɛ pɩsɛɣ mankpa patɩŋa nɛ mɔnkɔnɩ-wɛ yeruusalɛm cɩnɛ nɛ pɔhɔ pa-nɩŋgbaaŋ,0.0435,0.0081
1,"Eeheyi-wɛ se ɛ-wayɩ lɛ, nɔɔyʋ kɔŋ, pɛwɛnɩ lidaʋ ɛ-yɔɔ.",eheyi-wɛ se ɛ-wayɩ lɛ nɔɔyʋ kɔŋ pɛwɛnɩ lidaʋ ɛ-yɔɔ,0.1111,0.025
2,"Pa nɛ mbá paana-ɩ ɛsʋlʋmaɣ yɔ, pana-ɩ ḿbʋ́ lɛ, pɔtɔŋ se: «Pɩtɛkɛ abalʋ ɛnɛ ɛɛcaɣna nɛ ɛsʋlʋmʋʋ yaa we?",pa nɛ mbá paana-ɩ ɛ-sʋlʋmaɣ yɔ pana-ɩ ḿbʋ́ lɛ pɔtɔŋ se pɩtɛkɛ abalʋ ɛnɛ ɛɛcaɣnaa nɛ ɛsʋlʋmʋʋ yaa we,0.1579,0.0395
3,"Pʋwayɩ lɛ, pata pɩsaʋ cikpeluu ŋgʋ́ kɩwɛɣ mɛlɛ ɛsɩndaa yɔ nɛ pakpazɩ se heɣlim eketi-kʋ nɛ puwoni kidiiliŋ cɔlɔ.",pʋwayɩ lɛ pata pɩsaʋ cikpeluu ŋgʋ́ kɩɩwɛ mɛlɛ ɛsɩndaa yɔ nɛ pakpazɩ se heɣlim eketi-kʋ nɛ puwoni kidiiliŋ cɔlɔ,0.0526,0.0222
4,"Yee ɖɩkpɛzaa se ɖɩtala kɩwɛɛkɩm nabʋyʋ kaʋ yɔ, ɖɩyaɣ Ɛsɔ se cɛtɩyʋ, pɩwɩlɩɣ se ɖɩtasɩ ɛ-tɔm.",yee ɖɩkpɛzaa se ɖɩtala kɩwɛɛkɩm nabʋyʋ kaʋ yɔ ɖɩyaɣ ɛsɔ se cɛtɩyʋ pɩwɩlɩɣ se ɖɩtasɩ ɛ-tɔm,0.0,0.0
5,"Peeɖe Pɩyɛ pɔzɩ-ɩ se: «Heyi-m nɛ mana se liidiye nɖɩ́ ɩpɛdɩ mɩ-tɛtʋ yɔ, ɖɩtɩŋa yɔ yaa we?",peeɖe pɩyɛ pɔzɩ-ɩ se heyi-m nɛ mana se liidiye ńɖɩ́ ɩpɛdɩ mɩ-tɛtʋ yɔ ɖɩtɩŋa ɛyaa we,0.1765,0.0462
6,"Pʋbʋ wayɩ lɛ, pɔpɔzɩ Ɛsɔ se ɛsɩɩ-wɛ wiyaʋ.",pʋbʋ wayɩ lɛ pɔpɔzɩ ɛsɔ se ɛsɩɩ-wɛ wiyaʋ,0.0,0.0
7,"Ma Pɔɔlɩ weyi pɩkɛdɩnɩ Ɛsɔ nɛ eyele se mɛnkɛ Krɩstʋ Yesu tiyiyu yɔ, ma nɛ taabalʋ Timootee ɖɩmaɣnɩ takayaɣ kanɛ taabalaa Ɛsɔ ñɩma mbá mɩ ɩwɛ Koloosi nɛ ɩtɩŋɩɣ Krɩstʋ nʋmɔʋ ɛzɩ pʋpɔzʋʋ mɩ nɛ ɩ mɩ-kpɛndʋʋ yɔɔ yɔ.",ma pɔɔlɩ weyi pɩkɛdɩnɩ ɛsɔ nɛ eyele se mɛnkɛ krɩstʋ yesu tiyiyu yɔ ma nɛ taabalʋ timootee ɖɩmaɣnɩ takayaɣ kanɛ taabalaa ɛsɔ ñɩma mbá mɩ ɩwɛ kɔlɔɔsɩ nɛ ɩtɩŋɩɣ krɩstʋ nʋmɔʋ ɛzɩ pʋpɔzʋʋ-mɩ nɛ ɩ mɩ-kpɛndʋʋ yɔɔ yɔ,0.1282,0.0355
8,"Mbʋ́ pʋyɔɔ yɔ, paatasɩɣ tayɩnaʋ pe-lelaa tɔɔnaɣ paa evemiye nɖɩ́.",mbʋ pʋyɔɔ yɔ paatasɩɣ tayɩnʋʋ pe-lelaa tɔɔnaɣ paa evemiye nɖɩ,0.1,0.0196
9,Pɩtamʋnɩ se ɖɩwɛɛ ɛzɩ Satanɩ ñɩnʋ Kayɛnɩ weyi ɛkʋ e-neu yɔ.,pɩtaamʋna se ɖɩwɛ ɛzɩ kañadʋ satanɩ ñɩnʋ kayini weyi ɛkʋ e-neu yɔ,0.4545,0.2553
10,"» Halʋ ɛnʋ, ɛpɔzɩ-ɩ ḿbʋ́, mbʋ́ pʋyɔɔ yɔ, Samaarɩɩ ñɩma nɛ Yuda ñɩma paacaɣ ɖama.",halʋ ɛnʋ ɛpɔzɩ-ɩ ḿbʋ́ mbʋ́ pʋyɔɔ yɔ samaarɩɩ ñɩma nɛ yuda ñɩma paacaɣ ɖama,0.2143,0.0517
11,"Yesu heyi-wɛ ḿbʋ́ lɛ, pekitini wayɩ wayɩ nɛ pɔtɔlɩ tataa.",yesu heyi-wɛ ḿbʋ́ lɛ pekitini wayɩ wayɩ nɛ pɔtɔlɩ tataa,0.1,0.0227
12,Halɩ Fezuu ŋ́gʋ́ kʋ-yɔɔ ɛtɩŋnaa nɛ ewolo esusi Ɛsɔtɔm ɖɔɖɔ kalɩzasɩ nzɩ́ sɩɩwɛ salaka taa yɔ.,halɩ ka-lɩzaɣ ŋ́gá kɔ-yɔɔ ɛtɩŋnaa nɛ ewolo esusi ka-lɩzasɩ ɛsɔtɔm salaka taa,0.5,0.3699
13,"Toovenim lɛ, ɖe-liu kɛwɛɛ kpem se ɩtɔɔ kewiyaɣ nɛ ɖɩkɔɔ ɖa nɛ mɩ ɖɩtɔɔ-kɛ.",toovenim lɛ ɖe-liu kɛwɛɛ kpem se ɛtɔɔ kewiyaɣ nɛ ɖɩkɔɔ ɖa nɛ mɩ ɖɩtɔɔ-kɛ,0.0714,0.0175
14,Ɛzɩma pɩlaba nɛ lɛɛlɛɛyɔ ɛnaɣ?,pɩlaba nɛ ñɛ-ɛsɛ kuli yɔ ecosi-wɛ se abalʋ weyi payaɣ se yesu yɔ ɛlabɩnɩ ahɔyɛ pazɩ nɛ ɛtaa mɛ-ɛsɛ yɔɔ nɛ,4.0,2.72
15,» Pɩlabɩ ɛzɩ náyʋ Yereemii maʋ Yesu tɔm Ɛsɔtɔm Takayaɣ taa yɔ.,tɛtʋ kɩlabɩ ɛzɩ lɔɔ yɔɔ tʋ yereemii maʋ yesu tɔm ɛsɔtɔm takayaɣ taa yɔ,0.4545,0.2245
16,Mansaŋ Ɛsɔ ɛzɩma mbʋ́ eyeba nɛ mɔyɔɔdʋʋ kʋnʋmɩŋ ndɩ ndɩ nɛ pɩkɩlɩ mɩtɩŋa payɩ yɔ.,mansaŋ ɛsɔ ɛzɩma mbʋ́ eyeba nɛ mɔyɔɔdʋʋ kʋnʋmɩŋ ndɩ ndɩ nɛ pɩkɩlɩ mɩtɩŋa payɩ yɔ,0.0,0.0
17,"Ŋgʋ́, kʋjɔʋ ŋgʋ́ Fezuu Kiɖeɖeu lakɩ paa weyi se pʋwazɩ ɖatɩŋa payɩ yɔ, ŋ́gʋ́ wɩlɩɣna se kɩwɛ ɛ-cɔlɔ.",ŋgʋ́ kʋjɔʋ ŋgʋ́ ɛsɔ kalɩzaɣ lakɩ paa weyi se pʋwazɩ ɖatɩŋa payɩ yɔ kɩwɩlɩɣna se kɛwɛ ɛ-cɔlɔ,0.2778,0.2
18,Ḿbʋ́ eyeki nɛ ɩtɛzɩ pɩʋ nɛ ɩwɛɛ cɩɖɩcɩɖɩ nɛ paanaɣ kawanaɣ nakɛyɛ mɩ-yɔɔ ɖa-Caa Ɛsɔ ɛsɩndaa puwiye nɖɩ́ ɖa-Kɩpaɣlʋ Yesu nɛ ɛ-ñɩma tɩŋa payɩ pɔkɔŋ yɔ.,ḿbʋ́ iyeki nɛ ɩtɛzɩ pɩʋ nɛ ɩwɛɛ cɩɖɩcɩɖɩ nɛ paanaɣ kawanaɣ nakɛyɛ mɩ-yɔɔ ɖa-caa ɛsɔ ɛsɩndaa puwiye nɖɩ́ ɖa-kɩpaɣlʋ yesu nɛ ɛ-ñɩma tɩŋa payɩ pɔkɔŋ yɔ,0.1154,0.0256
19,Ɛnʋ yekina nɛ ɩɖaŋ se ɩkɔŋ sʋʋ Ɛsɔ koboyaɣ taa.,ɛnʋ yekina nɛ ɛɖaŋ se ɛkɔŋ sʋʋ ɛsɔ koboyaɣ taa,0.2,0.0541
20,"Ḿbʋ́ ɖɔɖɔ Leevi liɖe taa tʋ nɔɔyʋ kɛwɛ Ciiprɩ ɛjaɖɛ taa, payaɣ-ɩ se Yozɛɛfʋ.",ḿbʋ́ ɖɔɖɔ leevii liɖe taa tʋ nɔɔyʋ kɛwɛ ciiprɩ ɛjaɖɛ taa payaɣ-ɩ se yozɛɛfʋ,0.1429,0.0339
21,"Pʋ-yɔɔ Daaviidi tasɩ maʋ ɖoli lɛɛɖɛ se: ‹Ña Kɩpaɣlʋ, ŋŋyeki ña-ñɩnʋ.",pʋ-yɔɔ daaviidi tasɩ maʋ ɖoŋ lɛɛɖɛ se ña kɩpaɣlʋ ŋŋyeki ña-ñɩna,0.2727,0.1154
22,"Peeɖe ɛha nɔɔ se mbá pasɩm lɩm yaʋ yɔ, pacalɩ falʋʋ pɩ-taa nɛ paya nɛ palɩɩ kidiiliŋ yɔɔ nɛ piyele lɛlaa ñɔñɔkɔyɩnɩ kpoŋgbolonaa yaa mɛlɛ hɔɔlasɩ nɛ patɩŋ pa-wayɩ.",peeɖe ɛha nɔɔ se mbá pasɩm lɩm yaʋ yɔ pacalɩ falʋʋ pɩ-taa nɛ paya nɛ palɩɩ kidiiliŋ yɔɔ nɛ piyele lɛlaa ñɔñɔkɩnɩ kpeŋgbeŋnaa yaa mɛlɛ hɔɔlasɩ nɛ patɩŋ pa-wayɩ,0.1034,0.0687
23,"Yee kewiyaɣ nakɛyɛ ɛwɛɛ nɛ ka-taa ñɩma youni ɖama yɔ, kaalaɣzɩɣ yɔkʋʋ.",yee kewiyaɣ nakɛyɛ ɛwɛɛ nɛ ka-taa ñɩma youni ɖama yɔ kaalɛɣzɩɣ yɔkʋʋ,0.1667,0.0357
24,"» Ɛlɛ́, Yesu heyi-wɛ se: «Yee ḿbʋ́ ɩla mbʋ́ Abraham laba yɔ.",yesu tasɩ ɛyáa samaɣ heyuu se mɛnɖɛɣ ɩkɔŋ kɩm ñɩnʋʋ ɛlɛ́ ɩkɔŋ sɩbʋ mɩ-kɩwɛɛkɩm taa ɩɩpɩzɩɣ iwolo ɖenɖe mowoki yɔ peeɖe yuda ñɩma pɔzɩ pa-tɩ se,2.1818,2.425
25,"Ɛlɛ́, mantañɩnɩ se mamanɩ ñɔ-yɔɔ nɛ mala nabʋyʋ: maacɛyɩɣ-ŋ se ŋlabɩ-m mbʋ́ pʋwɛ ɖeu yɔ.",ɛlɛ́ mantañɩnɩ se mamanɩ ñɔ-yɔɔ nɛ mala nabʋyʋ maacɛyɩ-ŋ se ŋlabɩ-m mbʋ́ pʋwɛ ɖeu yɔ,0.2,0.0455
