sample_id,reference,hypothesis,wer,cer
0,"Yezu en ta bɔna Bɛtani, Simɔn insageŋɔ daana la yire la, ti pɔka waam a zian na, tara lila ti ba dikɛ kugesuma yagum ka, ti kaam daa n kpeem bɔna ka puan.",a boi la simon seem n daa dekun koni la yiri dita ti pɔ ka kanyima n tari duge la la kaam n tari nyuum soŋɔ ti bu daa tɔna a,0.9091,0.6838
1,"La mam wʋn tõm sɛka tɩ mam Sɔ daan bĩŋe nõorɛ bɔ ya la, tɩ a waam wa bɔna la ya.",aeŋa paal ba bõnsaa wuu n kuls togre eŋa yele naawen gon la poa apos paal la moisi,0.9048,0.931
2,"Wakat-ẽŋa, la wʋn dɛna la toogo bɔ pɔg-sɛba n tarɩ pʋa, la sɛba n tarɩ bilɛɛsɩ tɩ ba mõgra la.",wakat eŋa la wa nena la toogo ba poga seba n tare poa la seba n tar bilaitiba mogera la,0.75,0.2429
3,"» Tɩ Nawẽnnɛ Sɩa darɛ bɔna la mam botɩ mam yẽ naam bĩmbĩnne n boe Nawẽnnɛ yire, tɩ nẽra zẽa a zuo.",ti naanwin sia dari boana la ma buti ma nye na'am bimbini n bo naanwin yire ti nera zin'a zuu,0.7619,0.3514
4,"Ba wʋn zɛbɛ la Pebila la mɛ, la Pebila la wʋn zɛbɛ yãŋɛ ba mɛ, ẽŋa n de zuudãandõma Zuudãana, la naadõma Naba la ĩyã.",ba wun zeb la pebila la me la pebila la wun zeb nyaaŋ ba me eŋa n le zuuraanuma zuuraana la naarema naba la inya,0.48,0.2022
5,"A ẽŋɛ yel-ɩr-sõŋɔ, dee sike a mẽŋa paalɛ tɩ a tarɩ yɛm.",a n yeli iri soŋa de sika meŋa paataa tari ya,0.9167,0.375
6,"La ban daa pun ka nyɛ yele seere ti ba wan zeele de zuo ku en la, ba daa kelum yele Palete mɛ ti a bahɛ ti ba ku en.",ban daa ɛɛri a tuure zi'a la ba ta'am ku'un koŋɛ la ba daa sini ge yele pailit ti a basɛ ti ba ku'un,0.6667,0.5294
7,"La sãn dɛna Alevi yɩɩsɩ la n toosrɩ pia pʋam ayɩla la, ba de la nẽrsaalba n kiiri, la Amelkisedɛkɩ de la sɛka tɩ Nawẽnnɛ gõŋɔ la yetɩ, a vɔa mɛ.",la sennana a leviyiisi la n to'osiri pie poha a yila laa ba de la ner saaleba n kiiri la a melkisedeki dela seka ti naawen ne goŋ la yeti a voma,0.7419,0.2364
8,"Nẽr-sɛka n ka mi Nawẽnnɛ sore yɛla sõŋa la, sãn yẽ fõn tarɩ bãŋrɛ la n zĩ baga kãabgɔ zẽam ɔbra nẽnnɔ, la wʋn pãasɛ ẽ tɩ a mẽ obe la baga nẽnnɔ.",ned sɛka n kami naawẽn sor yɛla sõnga la sã n yẽ fõn tar bãng la n zĩ baga kãabgo zĩ'a obrã neno la wʋn pã'asẽ tɩ a men obla baga neno,0.7273,0.3056
9,Nɛra woo kule la a tiŋa a tiŋa ti ba ta gulehɛ ba yuura.,nɛra woo lebe la amea teŋa puan ti ba kaaleda,0.6429,0.5476
10,"Bɛla tɩ ya wʋn tãagɛ tɔgɛ lerge nẽr-sɛba n wẽerɩ yõogɔ la sɛla n yẽtɩ la nini, dee ka bɩsra ba sũure pʋam na.",bela ti ya wun ta'aga tog lerge ner seba en wen'er yo'ogo la sela en yeti la nini dee ka bisira ba suur puana,0.7083,0.2289
11,A pɔgesaaren na ti a ele ta paaɛ yuuma ayopɔi ti a sira a ka wa bɔna.,ana gemɛ dia la asabuuri ge n eli la yuuma a yɔpɔi ma'a ti a sira la ki,0.9412,0.6346
12,"Ba daa kpa en mɛ a tɔregɔ puan, gee a voe mɛ Yinɛ paŋa la puan.",la ya ti la de la tɔregɛ zuo ti ba daa taam dikɛ in kpa' pupudɔo la zuo ti a ki la ge bala za'a na'ayinɛ paŋa daa basɛ in ti a le vo'e,1.875,1.5652
13,"» La ban sẽnnɩ wɛɛsa la, tɩ bãasɩ la basɛ ba, tɩ ba ãna sõŋa.",la a nyinya bala ti a yili ba yeti seŋ ya kan'abo kema la zin'a ti ba kabisi ya ine la an se'em la ban sen we'asa la ti ban'asi la basiba ti ba ana suŋ,2.2143,1.814
