sample_id,reference,hypothesis,wer,cer
0,Nu Si Dea Ame Dzi Ne Ele Subɔsubɔm Le Wo De,Nusidea me dzi ne ele subɔsubɔm le wo de.,0.3636,0.0303
1,EWƆ NU ÐE ÐEVI SUE AÐE ŊU AMEŊUBUBUTƆE,Awɔnu ɖe ɖevi sue aɖe ŋu ameŋububutɔe.,0.625,0.129
2,BIBLIA ME MƆFIAMEWO DZI WƆWƆ LE MÍAƑE GBE SIA GBE GBENƆNƆ ME,Biblia me mɔ fiam wo dzi wɔwɔ le míaƒe gbe sia gbegbe nɔnɔme.,0.5,0.0204
3,“Nye ɖeka nyemezɔna le gbeadzi o.”—Gisèle,"Nyɛ ɖeka nye me zɔna legbea dzi o, dzi siae.",1.5,0.1562
4,Ðe wòsesẽ na wò kpɔ be nàɖo ŋku nu si nèsrɔ̃ dzia? Edzɔna ɖe mí katã dzi ɣeaɖewoɣi. Nu kae akpe ɖe mía ŋu? Eyae nye be míagbugbɔ ato nya veviawo me.,Ɖewo sesē na wòkpɔ be naɖo ŋku nɔ anyi nɔ esr̄ɔ dzia. Edzɔ naɖe mi katāa dzi aɖewo ɣi. nuka eya kpē ɖe miawo. Eyae nye be mia gbogbo atɔ nyaviviawo me.,0.75,0.2232
5,b Míetrɔ ŋkɔ aɖewo.,Mietr̄ɔ ŋkɔ aɖewo.,0.5,0.1333
6,KAKAÐEDZI LE MÍAƑE MƆKPƆKPƆA ŊU!,Gaka ɖe dzi le mia ƒe mɔkpɔkpoa ŋu.,1.2,0.1481
7,"NE MÍEDA VO GƆ̃ HÃ LA, MÍATE ŊU ‘ATE ÐE MAWU ŊU’","Nenye davo gɔ hã, miate ŋu ate ɖe mawo.",0.6667,0.2727
8,Afɔku kae le nuwo dada ɖe Internet dzi hahoo kadoƒewo?,Afɔku ke le nuwo dada ɖe ɖe ɖe ŋutana dzi ha ho ka doƒo o.,0.9,0.2955
9,Aleke gbɔgbɔ vɔ̃wo kplɔa amewo trana egbea?,Aléke gbɔgbɔ v̄ɔwo kpl̄ɔa me wotsrana egbea.,0.4286,0.0857
10,DZINƆAMEƑO KPENA ÐE MÍA ŊU,Dzinɔme ƒo kpena ɖe mia nu.,1.0,0.1818
11,"Le Gbetakpɔxɔ ƒe tata sia mea, míadzro nyati atɔ̃ siwo de nu wo nɔewo me la me. Woakpe ɖe mía ŋu míakpɔ ŋuɖoɖo na biabia siwo gbɔna:","Le gbetakpɔ xɔ ƒe tata ya mea, mia dzro nya tsi at̄ɔ yiwo ɖe ne wo nɔewo ma me, woakpe ɖe mia nu mia kpɔ ŋu ɖo ɖe na biabia yiwo gbɔna.",0.7037,0.1373
12,ŊUSẼ SI WONA ƑOME ƑE TAWO KPLE HAMEMETSITSIWO,Nusē siwo na ƒomeƒe ta kple hamemetsitsiwo.,0.75,0.1053
13,“Medzra ga ɖo ale be nyemava nɔ amewo sinu kpɔm be woana ga kpekpeɖeŋum o.”—Géraldine,Ame dzraga ɖo ale be yema va nɔ amewo si nu kpɔm be wɔna gakpokpe ɖe eŋu o yiɔɖiɔ.,0.8,0.2239
14,NU SIWO NÀTE ŊU AWƆ BE WÒ KPLE YEHOWA DOME NAGANƆ KPLIKPLIKPLI WU,Nusiwo nate ŋu awɔ be wo kple yewoa dome naga nɔ kplee kple wo ŋu.,0.8462,0.2264
15,Nu ka tae tafe si Mawu na to Yesu dzi la nye nunana nyuitɔ kekeake si ate ŋu asu mía si?,"Nu katã taƒe sima wònã to ye su dzi la, nye nunana nyuitɔ keke si atɔ nua su miasi.",0.6667,0.1642
16,MƆ KAWO DZIE MÍATO ATSƆ ŊUTIKƆKƆE SI YEHOWA DZE NA LA ANƐ?,"Mɔkawo dzĩ míató atsɔ ŋuti kɔkɔe yehoa dzena, aɖe",0.9167,0.2174
17,Nu Vɔ̃,Aɖaka yi ƒe ta nyai nye nu vɔ menyawo xlẽ be…,4.5,7.5
18,AME SIWO NƆ ABOYO ME TSÃ LA TSƆ NYATEƑEA VA KYRGYZSTAN,Ame siwo nɔ abɔ yome tsa la tsɔ nyateƒea va kedzi stal.,0.4545,0.1818
19,ALE SI MÍAWƆ BE MÍAKPƆTƆ ANƆ ŊUTIFAFA ME,Alē si mia wɔm be mia pɔtɔa nɔ ŋuti fafa me.,1.0,0.1515
20,FIAÐUƑE AKPATAWO TUTU LE CENTRAL AFRICAN REPUBLIC,Fiaɖuƒe akpatawo tutu le afɔkawo ɖe blik.,0.5714,0.3953
21,Nu kae míesrɔ̃ tso ale si Kristo kplɔ hamea le ƒe alafa gbãtɔ me la me?,Nukamishɔtsɔ aɖe si kri zɔ kplɔ ha mea le eƒe alɔ agba tɔ me la me.,0.8125,0.2407
22,Yohanes,Yohane,1.0,0.1429
23,ALEKE KRISTO KPLƆ HAMEA LE ƑE ALAFA GBÃTƆ ME?,Alẽ ke krisitokpl̃ɔ hamea le ƒe alɔƒagbãtɔ me.,0.5556,0.1111
24,Míedaa Akpe Na Yehowa Be Etsɔa Míaƒe Nu Vɔ̃wo Kea Mí,Mieda kpena yewo abe tsɔa miaƒe nu ʋɔwo kea mi.,0.8182,0.2195
25,ÐE NƆVIŊUTSU ÐE SIA ÐE NYE TA NA NƆVINYƆNU ÐE SIA ÐEA?,Ɖe nɔvi ŋutsu ɖe sia ɖe nye ta na nɔvi nyɔnu ɖe sia ɖea.,0.75,0.119
26,MÍEXƆ DƆDEASI YEYEWO,mie xɔ dɔde asi ye wó,2.0,0.2222
27,talento ŋuti lododoa me?,Talento ŋutsilododoa me.,0.5,0.05
28,Nu ka tae ‘wònyo be míate ɖe Mawu ŋu’?,Nu katã wònyo ƒe mia te ɖe mawo ŋu.,0.6667,0.1852
29,Aleke Yehowa ɖee fia be yekpɔ ŋudzedze ɖe Maria kple Yesu ŋu?,Aleke Yehawo aɖe fia be yekpɔ nudzedze ɖe ma ɖe ya kple yi su nu.,0.75,0.1837
30,"Ao, naneke mele Biblia me alo ŋutinyagbalẽwo me si ɖee fia be wowɔ nu ma tɔgbi o.","Aw, naneke mele bibla me alo ŋuti nyagbaleawo me yi ɖe afi abe wòwɔ nume tɔgbiwo.",0.7647,0.1429
31,NU SI VIDADAWO ATE ŊU ASRƆ̃ TSO MARIA ƑE KPƆÐEŊUA ME,Nusiviɖaɖawo ate ŋu asr̄ɔ tso mariaƒe kpɔɖe ŋuame.,0.6364,0.0732
32,NUNANA SIWO KPENA ÐE MÍA ŊU BE MÍADO DZI,Nunana siwo kpena ɖemia ŋu be mia do dzi.,0.4444,0.0938
33,Aleke míate ŋu ade dzi ƒo na nusrɔ̃viwo be woanɔ kpekpeawo dem?,Ale kemia teŋu ade dziƒo na nusr̄ɔviwo be woanɔ kpekpeawo dem.,0.4167,0.02
34,NU SI ŊU WÒLE BE NÀBU NE ÈLE NYA ME TSOM LE DƆWƆÐUI ŊU,Nuyi ŋu wòle be na bu ne le nyame tsom le dɔwɔri ŋu.,0.5714,0.122
35,"Nu ka dzie Yesu ka ɖo ku ɖe gbeƒãɖeɖedɔa ŋu, eye nu kae míate ŋu asrɔ̃ tso egbɔ?",Nukadzie sukaɖoku ɖe gbeƒaɖeɖe doa nu eye nukae mia tɔm asr̄ɔ tso egbɔ.,0.7778,0.15
