sample_id,reference,hypothesis,wer,cer
0,"Wɔde wɔn fi amanaman no mu, na mprempren wɔn nyinaa te asomdwoe mu.",wɔde wɔmf amanaman o mu na mprempren wo y n tɛ asmdeɛmu,0.6154,0.2642
1,"Mebɔ mpae sɛ omfi nʼanuonyam ahonya no mu mfa ne Honhom a ɛte mo mu no so nhyɛ mo den, sɛnea ɛbɛyɛ a Kristo bɛfa mo gyidi so abɛtena mo koma mu.",mebɔ mpae sɛ omfi nanuonyam ahonya no mu mfa ne huhuu a ɛte mu mu no nhyɛ mmoden sɛ ɛbɛyɛ hristi bɛfa mo gye di so abɛtena mo akomamu,0.4062,0.1532
2,"“Awurade, afei yɛ nea woahyɛ ho bɔ afa me ne mʼabusuafo ho no.",awurade fɛ yɛ ne wɔhyɛ ho baafa me ne meabusuiɛ ho,0.5385,0.2766
3,"Anaasɛ, sɛ wɔde ɔbo kɛse bi bɔ obi ma owu a, ɛyɛ awudi enti ɛsɛ sɛ wokum owudifo no.",anaasɛ sɛ wɔde ɔbo kɛse bi bɔɔbi mɔ owu a ɛyɛ widi nti sɛ sɛ woɔkuma wo difo no,0.4737,0.1429
4,"Ɔde asie wɔ ɔsoro ama mo, efisɛ hɔ de, ɛremporɔw anaa ɛrensɛe na ɛrempa nso.",ɔde asie wɔ ɔsoro amamo ɛfiri sɛ hɔde remprɛw anaa sɛ rensɛe na ɛrempa nso,0.5333,0.1186
5,"Ɛno na ɛbɛyɛ nsɛnkyerɛnne a ɛkyerɛ sɛ, Onyankopɔn adi mo anim rekɔka Filistifo no agu.",mna bɛtyrɛ nsɛ nkyɛne ɔkyerɛ sɛ onyankopɔn aduma ne rokɔka fistfo no au,0.8,0.2857
6,"Twa wʼani hwɛ me na bua me, Awurade, me Nyankopɔn.",hwɛ wane hwɛ me na bua me awurade me nyankopɔn,0.2,0.1053
7,"Ɛno akyi no, ababaa a ɔsɔ wʼani yiye no na wobesi no ɔhemmea, asi Wasti anan mu.",ɛno akyi no ababaa a ɔsɔ waniiie no na woabɛsi no ɔhemmea asi woasi ananu,0.3529,0.1311
8,"Akofo akɛse a wofi Efraim abusuakuw mu no, na wɔn dodow yɛ mpem aduonu ne ahanwɔtwe a wɔn mu biara agye din wɔ nʼabusua mu.",apofa kɛs sɛ wofi afr mepa abusua ko mu no na wo ne do yɛn mpoma duo ne ne ha nwɔtwe a womu biara gyegye di wɛl n abusua mu,0.92,0.2887
9,"Afei, Dawid ne Israelfo no nyinaa kɔɔ Baala a na wɔfrɛ no Kiriat-Yearim a ɛwɔ Yuda no sɛ wɔrekɔfa Onyankopɔn Apam Adaka a wɔde ahyɛ kerubim ntam na Awurade din da so no aba.",afei dawid ni sraelfo no nyina kɔɔ bal a na ɔfrɛ hɔ kiri akyiarema wɔ widane sɛ wɔrekɔfo nyankopapoma adakaa wɔde hyɛ korobim ntɛm na wrad din da so no bab,0.6176,0.2044
10,"Afei, wɔbɛhwɛ mmeamu nnua, mpuran, nsisiso ne ɛho nneɛma a wɔde di dwuma no nyinaa, ne mpuran a ɛwɔ adiwo hɔ nyinaa ne ne nsisiso, nnyinaso, ne ntampehama nyinaa, wɔbɛhwɛ so.",afei ɔbɛhwɛ mmea mu nnua mporan nsisisu ne aho neɛma a wɔde du dwuma no nyinaa nyo mpran a wadi hɔ nyinaa no no sisi so nyina so ne ntaapehama nyinaa bɛhwɛ so,0.6452,0.1471
11,"mo a moka se, “Hena na obetumi ako atia yɛn?",mua mo ka se  na nɛbɛtumi ako ati ayɛm,0.7,0.2188
12,"abufuw, anibere ne ɔtan; abɔfo asɛefo kuw no.",abufo ani bere nnuatan abɔfo asɛefo kuu n,0.75,0.2
13,"Dawid kohyiaa wɔn kae se, “Sɛ moaba asomdwoe so sɛ morebɛboa me a, yɛyɛ nnamfo.",mewdekohyia a wɔ nka si sɛ ma ba som de sɛmo remɛboa me a yɛyɛ nnamfo,0.7333,0.2131
14,Wʼabufuwhyew ayɛ duru wɔ me so; woama wʼasorɔkye nyinaa abu afa me so.,wabufuhyew ayɛ duru wɔ me so woama wasɔrɔte o nyinaa abu afa me so,0.2308,0.125
15,Ahyɛde a woayɛ no yɛ trenee; ɛyɛ nea wonya mu ahotoso pa ara.,ahyɛeɛ a woanyɛ no yɛ tenenee ɛyɛ neɛ wanwa mu ahoto so pa a ar,0.6923,0.2128
16,"Ɔbrɛɛ no ntade sɛ ɔmfa nsi atweaatam no anan, nanso ɔpoe.",brɛɛ no ntaade sɛ ɔmfɛ nsi atweatam no ana nanso ɔpoe,0.4545,0.1111
