sample_id,reference,hypothesis,wer,cer
0,"Lɛ ɩn nyɛ lɛ ɩka, ala ɩ waa kul sɩrɛ ɛ, tɩ na wʊ jãnɛ, wʊn ɩn bɔɔsʊ̃n sʊɔ. N tɩɛr ɩka n mɩ tara na a Nãaŋmɩn Sɩɛ.","La ɛ n ya la ɛ ka, ala ɛ i wakur si-re. Tina wo jina, wa n barsi so. N tier ɛ ka N mi tarena, Anamwinsi-re.",0.931,0.481
1,"Ban wa tɩ nyɛ wʊ a manyal gɔ̃ɔn, ba sʊʊr wʊ naa, “Wiwile, dabor fʊ wa ka?”","ba na wa tyeŋ wa amaayagon, ba soruna wiwilie, debur fu wa kayee",0.8824,0.4314
2,"N bɔ̃ɔn naa fʊn wõnõ a n sʊɔrfʊ, tɩchɛ n 'yɛr naa ka a na sʊ̃ʊ a nɩbɛ banyãna na ara a ka, a ba sɔɔ de ɩka, fʊ̃ʊ lɛ tʊ̃ ma.”",Bon na fɔ nwu nu aa fɔ n sɔr po. Tɩ kyaara ka a maasũu anebebe nɛ na ara aka. A bɔɔ sɔ dɛɩ ka fɔ n lɔ tɔm.,0.8438,0.494
3,"Daba kɔ̃ɔ dɔ̃ɔ be be ban bʊɔlɔ Simon na wʊ ma tʊ̃nɔ̃ tãsɔɔ tʊ̃mɔ̃ ka a 'maa a Samariya nɩbɛ nɛɛ, na wʊ ma wile a wʊ mãɛ ɩka nɩkpɛ̃ɛ lɛ wʊ ɩ.","Dabakoŋ dɔɔ bɛɛ, ban polo chi mwɔ? Na woma tuna tɛ sɔtu mɔ. Ka ba asamari ndɛ bɛndɛ, na woma wule awumiɛ, yi kan kpɛ lawi.",0.8788,0.3878
4,"Tɩchɛ ban wa tɩ ta a pɔɔfʊ die pɔ baa nyɛ nɩrɛ jaa ɛ. A ba lɩɛb chen tɩ mana kʊrɔ ba,","Zabban-na wa teta apofuu die paa, ban yan n dagra ayie, abalyie fien ci mana korabaa.",0.8636,0.5484
5,"Ɩn lɩɛb kul a n sãa sɛ̃ naa tɩ 'yɛr wʊ, n maal dɛɛr Nãaŋmɩn sɛ̃ nɩ a fʊ sɛ̃.","n lékɔ la nsansé, nantɔ iɛrwo, n maar dɛɛr anaamɔ senné afosenné.",0.85,0.5098
6,"Nãaŋmɩn da yɩn da tuo, yɩ ta ɩ nɩrɛ jaa gbãgbaa ɛ.",namadeĩ datuo yita Indra jya gongba,1.0,0.4595
7,An ɩ a Sãa nʊ̃ yɩ naa bojũu yɩ nʊ̃ ma naa na yɩ sɔɔ de ɩka a Nãaŋmɩn sɛ̃ lɛ n yi.,"Aa, yɛ asaano yina, bojung yinuu ma na, nɛ yisɔ dɛ i ka aanamo sile nyi.",0.913,0.4727
8,"Bojũu sɩ bɔ̃ɔn naa ɩka a 'lɔ na sãɩ a sɩ Soro Yesu Kɩrɩsɩto a kũu pɔ, mɩ na sãɩ sɩ naa nɩ a Yesu 'matãan a yɩn a sɩ wa ara a wʊ niem.","Wo yoɔ se buona ɛka at la naa si akasite sore Yesu Kristo a kũ po, ma naa sinsina ni ayɔsu bantãã ayen a suwa ara awoni yɔɔ.",0.8571,0.4574
9,"Bala jaa na turo a Nãaŋmɩn nɛɛ wʊn bin, ba ben a wʊ 'yɔ̃ɔ, ka wʊ mɩ be a ba 'yɔ̃ɔ. Sɩ bɔ̃ɔn naa ɩka wʊ ben a sɩ 'yɔ̃ɔ, a Sɩɛ 'lɔ wʊn de kʊ sɩ jũu.","Ba kyanu tura ana mun de un bin. Bebe na o yon, ka o mun be aba yon. Se bo na i ka, o ben a si yon, a si alo un de kosi ju.",0.8158,0.4583
