sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,nsukɔm de me,0.5,0.0
1,Wo pɛsɛ wo yɛ deɛn ɛnɛ,wopɛ sɛ woyɛ dɛn enne,1.0,0.2353
2,Awi no rehwehwɛ ahu,awi no rehwehwɛ ahu,0.0,0.0
3,Wɔ nnwomkorɔ kuo bi mu,wɔ nnwomkurokuo bi mu,0.4,0.1111
4,Nante yie,nante yie,0.0,0.0
5,Te so ma me,te so ma me,0.0,0.0
6,Wobɛtumi akyerɛ me hɔ,wobɛtumi akyerɛ me hɔ,0.0,0.0
7,Afenhyia pa,afehyia pa,0.5,0.1
8,Nokware di etuo,nukware di atuo,0.6667,0.1538
9,Maa wɔn ho yɛɛ huam,ma a wɔ ho yieihua,1.0,0.3333
10,Kafra,kafra,0.0,0.0
11,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ baard,0.7143,0.6667
12,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ baad,0.7143,0.697
13,"Kosɛ, manhyɛ da",ku sɛ manhwɛ da,1.0,0.1667
14,Woforo dua pa a na yɛ pia wo,woforo dua paa na epiawo,0.625,0.0952
15,Wote borɔfo,wote borɔfo,0.0,0.0
16,Neho ayɛ fi  paa,ne ho ayɛ fi pa ara,1.0,0.1667
17,Me ho yɛ paa,me ho yɛ pa ara,0.5,0.2222
18,Ko buu no,kobuu no,0.6667,0.0
19,Mefri Ghana,mefrii gaana,1.0,0.2
20,Me ho yɛ pa ara,wuyɛ pa ara,0.6,0.3636
21,Na biribiara dwoi,na biribiara dwoe,0.3333,0.0667
22,Ɔmee ne Ɛfeɛ,ɔmee nni afie,0.6667,0.5
23,Me nsa aka,me nsa aka,0.0,0.0
24,Nsuo,rontuo,1.0,0.75
25,Wo se sɛn,wosesɛe,1.0,0.1429
26,Meda wo ase,meda wo ase,0.0,0.0
27,Hello good morning. Mepaa’kyew mɛ tɔ credit (Maakye mepaa’kyew mɛ tɔ credit),hɛlo gud mɔrnin mepa tyɛ me pa credit,0.9167,0.5667
28,Mame bebree,ma ne da bree,2.0,0.3
29,Nti ɔtɔɔ afe fa bi,enti ɔtɔɔ afefa bi,0.6,0.0714
30,Akwadaa wei,akwadaa wei,0.0,0.0
31,Me sika no aka sɛn,mesika no aka sɛn,0.4,0.0
32,Apoobɔ nnyɛ,apoobɔ nye,0.5,0.2
33,Wo pɛ deɛn,opɛ pɛn,1.0,0.375
34,Pia no bio,bia ne bio,0.6667,0.25
35,Me sika no aka sɛn,me sika no akasen,0.4,0.0714
36,Yɛbehyia biom,yɛbɛhyia bio,1.0,0.1667
37,Hwɛ soro,hwɛ soo,0.5,0.1429
38,Hyɛɛ n'anim teɛ,hwɛɛ nanim teɛɛ,0.6667,0.1667
39,Na biribiara dwoi,ɛna bribiara dwoe,1.0,0.2
40,Yoo medaase,yoo medaase,0.0,0.0
41,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ bad,0.5714,0.697
42,Kɔɔ dua bi akyi,kɔodua bi atyi,0.75,0.1667
43,Mefri Ghana,firii da na,1.5,0.5
44,Anwa a aguu asuafo no ho,anwa a ɛguu asuafoɔ no ho,0.3333,0.1053
45,Aane,aaene,1.0,0.25
46,Daabi,daabi,0.0,0.0
47,Kɔɔ dua bi akyi,kɔɔ edwue bi akyi,0.25,0.25
48,Mepawokyɛw aane,mepaa kyɛw an,1.5,0.2857
49,Esian sɛ,ɛsien sɛ,0.5,0.2857
50,Emu biara,emu biara,0.0,0.0
51,Te so ma me,te so ma me,0.0,0.0
52,Na biribiara dwoi,na biribiara dwere,0.3333,0.2
53,Hwan akonnwa,i akonnwa,0.5,0.3636
54,Hyɛɛ n'anim teɛ,hyɛɛ neanim tee,0.6667,0.1667
55,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nipa yɛ bar,0.8571,0.7273
56,Boa me,boaa me,0.5,0.2
57,Nsu kɔm de me,nsukɔm de me,0.5,0.0
58,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ baat,0.7143,0.697
59,Ɔbebue n'ani ɔkyena,obɛbue nenni ɔkyena,0.6667,0.25
60,Okuu adubɔfoɔ,ɔkuu adurbɔfoɔ,1.0,0.1667
61,Yɛbehyia biom,yɛbɛhyia bio,1.0,0.1667
62,Number bɛn na wo pɛse wo tɔ gu su,na mma bɛn na wopɛ sɛ wotɔ gu so,0.7778,0.24
63,Ebi didi ebi akyi,ebi dide ebi akyi,0.25,0.0714
64,Na ɔkɔe kowui,na ɔkɔɔe kɔwui,0.6667,0.1818
65,Daabi,daa bi,2.0,0.0
66,Na biribiara dwoi,na biribiara dwoeɛ,0.3333,0.1333
67,Wɔ ńkwankyɛn,wɔ kwa nkyɛn,1.0,0.0909
68,"Kosɛ, manhyɛ da",ku sɛ manhyɛ da,0.6667,0.0833
69,Saa ɔkɔdeɛ no,saa ɔɔkɔdeɛ no,0.3333,0.0909
70,ɛberɛ nni hɔ/  mmerɛ nni hɔ,ɛberɛ nni hɔ,0.5,0.5
71,Mepawokyɛw aane,mepaa kyɛw aan,1.5,0.2143
72,Dum kanea no,dom kanea no,0.3333,0.1
73,Twerɛ ma me,twerɛ ma me,0.0,0.0
74,Ɔmee ne Ɛfeɛ,ɔmenne afiiɛ,1.0,0.4
75,Me ho mfa me,me ho mfa me,0.0,0.0
76,Dan mu,dan mu,0.0,0.0
77,Me hia wo mmoa,mehia wɔ moa,1.0,0.1818
78,Kɔɔ dua bi akyi,kɔɔdoea bi akyi,0.5,0.1667
79,Tuu no,turuu no,0.5,0.4
80,Woo tɔ akɔ number bɛn so,woetɔ agu namma bɛn soro,0.8333,0.4737
81,Bra ha,busuɛh du brɛaha,1.5,1.8
82,Woadi Ńkɔmmɔ mprɛnsa,wadi nkɔmmɔ mprensa,1.0,0.1667
83,Merehwehwɛ Yaw,merehwehwɛ ya wo,1.0,0.0769
84,ɛyɛ fɛ,ɛyɛ fɛ,0.0,0.0
85,Hwɛ soro,ɛsoro,1.0,0.2857
86,Neho ayɛ fi  paa,ne ho ayɛ fi pa ara,1.0,0.1667
87,Yɛbehyia biom,yɛbɛhyia bio,1.0,0.1667
88,Nsuo,nsuo,0.0,0.0
89,Wɔn ti,wɔ nti,1.0,0.0
90,Mame bebree,ma me bebree,1.0,0.0
91,Mepaa’kyɛw ma sesa m’adwene,epa a ta masesa madweɛ,1.25,0.3182
92,Kɔɔ dua bi akyi,kɔɔ dua pi akyi,0.25,0.0833
93,Neho ayɛ fi  paa,ne ho ayɛ fi pa ara,1.0,0.1667
94,Wobɛtumi akyerɛ me hɔ,wubɛtumi akyerɛ me hɔ,0.25,0.0556
95,Meredwene wo ho,medyere ne ho ho,1.0,0.3846
96,Emu biara,emu biara,0.0,0.0
97,Wobɛtumi akyerɛ me hɔ,wubɛtumi akyerɛ me hɔ,0.25,0.0556
98,Woanyini kyɛn me,wanyi nkyɛn me,0.6667,0.1429
99,Yaw ne Ama,yao ne ama,0.3333,0.125
100,Medaase Nyame nhyira wo,medaase nyame nhyi,0.5,0.2
101,Number bɛn na wo pɛse wo tɔ gu su,na ba bɛn na wopɛ sɛ ɔtɔ bi so,0.8889,0.4
102,Anwa a aguu asuafo no ho,angwa n a ɛguuo asuafoɔ no ho,0.6667,0.2632
103,Meda wo ase,meda wo ase,0.0,0.0
104,Afenhyia pa,afehyiɔtɔ,1.0,0.4
105,Dadeɛ bi twa dadeɛ bi mu,dadeɛ bi twa dadeɛ bi mu,0.0,0.0
106,Tikorɔ nnkɔ agyina,koro nkɔ agyina,0.6667,0.25
107,Deɛ edi kan,deɛ ɛdi kan,0.3333,0.1111
108,Nokware di etuo,dwokwari di etuo,0.3333,0.2308
109,Mtn,emteɛn,1.0,1.0
110,ɛkɔm de me,ɛkɔm de me,0.0,0.0
111,Wɔ nnwomkorɔ kuo bi mu,wɔ nnwomkurokuro bi mu,0.4,0.1667
112,Ɔmee ne Ɛfeɛ,ɔhoei ne afiɛ,0.6667,0.5
113,Wo ewie,woawie,1.0,0.1667
114,Esian sɛ,ɛsian seɛ,1.0,0.2857
115,Aane,aane,0.0,0.0
116,Wote borɔfo,wote borɔfo,0.0,0.0
117,Medaase Nyame nhyira wo,medaase nyame nhyira wo,0.0,0.0
118,Akwadaa wei,akwadaa wei,0.0,0.0
119,Ahoɔfɛ nntua ka,ɛhomfrɛ ntuaa ka,0.6667,0.3846
120,Twerɛ ma me,twerɛɛ ma me,0.3333,0.1111
121,Daabi daabi me pɛ sɛ me tɔ,dabi dabi mepɛ sɛ metɔ,0.8571,0.1
122,Dadeɛ bi twa dadeɛ bi mu,dadeɛ bi twa dadeɛ bi,0.1667,0.1053
123,Me sika no aka sɛn,mesika no akase,0.8,0.1429
124,Ko buu no,kɔbuu no,0.6667,0.1429
125,Maa wɔn ho yɛɛ huam,ma a ɔho yɛ hwam,1.0,0.2667
126,Mtn,emten,1.0,0.6667
127,sɔ kanea no,sɔ kaneano,0.6667,0.0
128,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ baad,0.7143,0.697
129,Nti ɔtɔɔ afe fa bi,nti ɔtɔɔ afefa bi,0.4,0.0
130,Dum kanea no,dom kanea no,0.3333,0.1
131,Ahoɔfɛ nntua ka,ahoɔfe ntie aka,1.0,0.3077
132,Medaase Nyame nhyira wo,medaase nyame nhyra wo,0.25,0.05
133,Maa aboa bi twee,maa aboa bi twee,0.0,0.0
134,Wobɛtumi akyerɛ me hɔ,wubetumi atwerɛ me hɔ,0.5,0.2222
135,Yoo medaase,uu medaase,0.5,0.3
136,Tu amirika,su emmurita,1.0,0.5556
137,Wofiri he,wofirii he,0.5,0.125
138,Yoo medaase,yioo medaa sɛ,1.5,0.2
139,Medaase,medaase,0.0,0.0
140,Daabi,daabi,0.0,0.0
141,Me nsa aka,me nsa aka,0.0,0.0
142,Woo tɔ akɔ number bɛn so,worotɔ akɔ nnamma bɛn so,0.5,0.3158
143,Aane,aren,1.0,0.75
144,Boa me,mboaa me,0.5,0.4
145,Ahoɔfɛ nntua ka,ahoɔfantua ka,0.6667,0.1538
146,Me credit aka sɛn,me credit aka sani,0.25,0.1429
147,Nsuo,nnisuo,1.0,0.5
148,Okuu adubɔfoɔ,ɔkuu adubɔfoɔ,0.5,0.0833
149,Dadeɛ bi twa dadeɛ bi mu,bi twa dadeɛ bi mu,0.1667,0.2632
150,Akwaaba,akwaa ba,2.0,0.0
151,Akwadaa no to dwom,akwadaa no to dwom,0.0,0.0
152,Yɛ wɔ,yɛ wɔ,0.0,0.0
153,Boa me,boaa me,0.5,0.2
154,Tu amirika,tu mmirika,0.5,0.1111
155,Na ɔkɔe kowui,na ɔkɔɔe kɔ wuiɛ pe ɛnim,1.6667,0.8182
156,Okuu adubɔfoɔ,ɔkoo adibɔpoɔ,1.0,0.4167
157,Ne nea Ɔsɛe de yɛɛ buburoo wei,ne nea ɔsɛi de yɛɛ aburuburo wei,0.2857,0.2083
