sample_id,reference,hypothesis,wer,cer
0,"Sasak ma doho nɩaa nɛ: Ɩsɩpaŋ, Ɛba, Ɛlɩɛl,",Hassakɛɛ mi duhuniaa nɛ Isahaku Iba Iliasuu,0.875,0.6452
1,"Má ŋmoo niiŋ a tɩŋ girep nɛnɛɛ sɩ-falɩɩ-la wɩaa,",mangwoni atanggbeng nana se fale lawia,1.0,0.5135
2,"Nɩaa bʋɩ banɛsɛ ma jaŋ pʋpɔ Wɩa dɩɩ-bal-la boi baalaa, dɩ nɩaa bʋɩ banɛsɛ ma du kʋduulo-la mɩ sɩ chɛ bil dɩ ba kaa dɩdɛnnɛ La TƖƖNA.”",niŋa wuu ba na se ma jaŋ polo wia re bala wia bala niŋa wuu ba na se ma duu ku duulo me se chɛbɛlɛ jawa kaa de daa ni latiina,1.037,0.4554
3,Doŋ pɩnɩŋ kɩŋkɛŋ jaŋ leŋ dɩ ba laalɛ gɛrɩ-kɔsʋmɔɔ.,"Dɔŋpinaŋkaŋgyaŋ leŋ, dɔŋ lala gɛrɛ kɔ sumo.",1.0,0.425
4,"Hamaŋ sɩ kʋ jɩŋ dɩ Modikaaya ŋaa Juu tɩɩna nɛ, ʋ beŋ dɩ ʋ nɛ kpʋ ʋ dʋndʋŋa, ŋɩɩ ha bɩ magɛ. Ʋ lɛɛlɛ chɩchɛ wombiiŋ dɩ ʋ kpʋ Juu tɩŋŋaa kala sɩ hɔŋ kuoro Zɛzɛs tinteeŋ lɛ.","Hama, suko jaŋ, di mo de kayaŋ a jwu ti na nɛ. U be ndi, u no kpo o do ndoŋ a, ngi ha ba ma ka, u lɛ lɛ chɛ chɛ wu mbi, du kpo jwu ti ngaŋkala so hoŋ kuo ro zɛ zɛ ti n tiŋ lɛ.",1.2105,0.3488
5,ŋɩɩ nɛ ŋ yaraa ma yie fɩɛlɛ dɩ ŋ nɛ nɩɩ wʋzɔmʋŋ sɩ lɩɩ,"Niina 'n yarama yefiile, den anene wusomo n selle.",1.0,0.5854
6,"Dɩ ʋ nɛ pɩɛsɛ wɩaa bʋɩ, ŋ bɩ jaŋ wuo laa wʋbala ma a bʋl.",Dɔɔna piise wia bɔi mıjaŋ wuo laa wʋ bala maabɔ.,0.8667,0.3659
7,"Pʋlʋmʋŋ tʋɔŋ nɛ nɩaa ŋɩŋaa wʋzɔŋŋɔɔ, tʋɔpʋl wɩaa arɩ wʋtɩtɩɩba.","Polimani wa ne yaŋa nga soŋo, tua polivia aro weti ba.",1.1,0.6538
8,Zɛzɛs kuori kpaha fa hɛ taŋ-la ba sɩɩ yɩrɛ Susa lɛ nɛ.,"Dɛasɛ kuor pasa fɛɛ taŋ la, ba sii yere su sallɛɛ.",0.9167,0.3659
9,"dɩ mɩ kala birisi, dɩ mɩ gɛnnɩŋ ma paala bɛrɛmɛ.",dɛmaka labiri si dɛmaga naŋ mapala bɛrɛ,1.0,0.2703
10,"Nɩarɩa ma hambolibiisiŋ ŋaa batori nɛ: Elionai, Hizikia arɩ Azirikam.",nyaa ria maŋ bɔli wiisina bɔtɔrɔ nɛ iliya naŋ azikyaa arɛ azirika,1.1,0.4211
11,"Kirisito tɩtɩa nɛ leŋe la sɩŋ, ʋ nɛ kɛŋ nɩalɩŋ sɩ ŋaa Juu tɩŋŋaa arɩ nɩalɩŋ sɩ bɩ Juu tɩŋŋaa ŋaa kala hɛ dɔŋɔ lɛ ba kʋ ŋaa kʋbala. Ʋ sɩ sʋʋ daagɛsɛ nyuŋ nɛ giri dʋndɔnnɩɩ-la fa sɩ hɛ la pɛgɛ ta.","kisə diŋyaŋ lɛ la saŋ. Onə kaŋŋi a lɛŋ saŋ a jutuŋa, arə ni a lɛŋ sə bi jutuŋaŋa, kalə hɛ doŋlɛ ba kuŋa kobala. Woso so daa ga sɛŋyuŋ ni giri doŋdoŋ nə la fɛ sɛhɛla pa katə.",0.907,0.4257
12,Ʋ nɛ ŋaa baga kɩaa kala kuoro.”,Onɛŋa bagagya kala kuworo.,0.8571,0.2609
13,"Dɩ nʋʋ tʋɔŋ nɛ cheye, ʋ maga dɩ ʋ nandɔnsʋŋ nɛ chɩna gbɛrʋ,",Deneɔɔ toyennekeyee ɔ ma do nana dɔnsɔnnɛɛ ke na gbeere,1.0,0.5556
14,"Arɔŋ doho nɩaa dɔnsʋŋ nɛ ŋaa Kohaf nyɩŋ-nɩaa, ba nɛ fa ŋaa nɩalɩŋ ba sɩ laa sɩpaaŋ joŋ tasɩŋ pa.",A naŋ do ho nya dosanŋa ku ha nya nya ba ne faŋani alaŋ ba se la a se paŋ joŋ ta kaŋ pa,1.05,0.3378
15,"Ɛlɩfas hambolibiisiŋ nɛ ŋaa: Tɛmaŋ, Omaa, Zefo, Gatam, Kɛnas arɩ Amalɛk. Amalɛk naaŋ nɛ fa Tɩmɩna.","Elifas, Teman, Oma, Zefu, Katam, Kenas, aa Amalɛk, Amalɛk na Nafa, Sima",0.875,0.4605
16,"bɛɛ wɩaa, mɩ dʋndʋŋa nɛ Wɩa, Wɩa dɔŋ bɩra tuo.","bɛɛ wia, m ba nduŋŋwaa ni wia, wia doŋ biri tuu",1.0,0.4706
17,"Ma saa bɩra bɩ nʋhʋɔraa ŋaa, ma bɩ jʋjʋʋlʋ ma ŋaa. Ma dɩ Wɩa nɩaa kala ŋaa kʋbala nɛ a ŋaa Wɩa dɩa nɩaa.","Masa vi ra ba no huara nga, ma ba di jolo ma nga, ma di wi a ni a kalanga kobalane, a nga wi a di a ni a.",1.0417,0.4103
