sample_id,reference,hypothesis,wer,cer
0,Nu Si Dea Ame Dzi Ne Ele Subɔsubɔm Le Wo De,nu shidia maji na alas basubɔm lɔ o de,0.8182,0.3939
1,EWƆ NU ÐE ÐEVI SUE AÐE ŊU AMEŊUBUBUTƆE,a wɔnnuradavisuyaraŋ aman bubutohe,1.0,0.4839
2,BIBLIA ME MƆFIAMEWO DZI WƆWƆ LE MÍAƑE GBE SIA GBE GBENƆNƆ ME,bi blama mofyamaoji wɔwɔ lɛmiafa gbasi agbεgbεnɔnɔmε,0.9167,0.3265
3,“Nye ɖeka nyemezɔna le gbeadzi o.”—Gisèle,nnyeda kanyo bazona lagbe ajio jisel,1.0,0.4062
4,Ðe wòsesẽ na wò kpɔ be nàɖo ŋku nu si nèsrɔ̃ dzia? Edzɔna ɖe mí katã dzi ɣeaɖewoɣi. Nu kae akpe ɖe mía ŋu? Eyae nye be míagbugbɔ ato nya veviawo me.,deo ssena pobena donkni ne soja e jona demikata jiadyi nukaeya pede miao eyanɛbɛmiagugbɔ  atonya viviaomε,1.0,0.4554
5,b Míetrɔ ŋkɔ aɖewo.,ሚi ትረoንኮ ደ,1.0,1.0
6,KAKAÐEDZI LE MÍAƑE MƆKPƆKPƆA ŊU!,ga kadeji lemi ya famkpakpoanu,1.0,0.4444
7,"NE MÍEDA VO GƆ̃ HÃ LA, MÍATE ŊU ‘ATE ÐE MAWU ŊU’",nenye davugo ha miaten watedɛ mau,1.0,0.4242
8,Afɔku kae le nuwo dada ɖe Internet dzi hahoo kadoƒewo?,afakukele nu dadare intanet di haho kadofou,1.0,0.2955
9,Aleke gbɔgbɔ vɔ̃wo kplɔa amewo trana egbea?,a leke gbogbovun o klamtrana e gbé a,1.1429,0.3143
10,DZINƆAMEƑO KPENA ÐE MÍA ŊU,jina mafukwena le myangu,1.0,0.5
11,"Le Gbetakpɔxɔ ƒe tata sia mea, míadzro nyati atɔ̃ siwo de nu wo nɔewo me la me. Woakpe ɖe mía ŋu míakpɔ ŋuɖoɖo na biabia siwo gbɔna:",lɛgbeta kpa xofetata yama mi a jronyati atɔn yodanonuyo mamε wakwεde miyagumi akpondoona biya biya yogbona,1.0,0.402
