sample_id,reference,hypothesis,wer,cer
0,"Bʊrɔɔzɩ́ gɛ Ɩsɔ́ɔ waabá ɩkpáázɩ yɩ ɩsɩ́ɩ yɩ ɖɩdáarɛ ɖɩɩgɩ́lɩ adá rɩ́ŋa nɛ́, bɩka ɩfa yɩ yɩ́ɖɛ ɖɩɩgɩ́lɩ yɩrá rɩ́ŋa nɛ́.",bɔɔsɛ gɔɔsɔɔ wa bɔkpasɩ ɛsɩɩ dɩ daa dɛnŋɛlɛ adarɩŋanɛ bɔka ɩfayɩnya dɛnŋɛlɛ yɩ rarɩŋanɛ,0.9524,0.3953
1,"Kaɖaa-dɛ́ɛ nɛ́, bɩ́nbɔɔzɩ́ ɩbá ɩsɔ́ɔ́lɩ ɖamá, káma, sɔɔlɩ́m wɛ́njɛ́m alaháácɩ́wá tuutúúma gɛ.","Kada dɛnɛ bɔmbɔzɛ ɛba ɔ sɔlɛ dama, kama sɔlɛm wɛnjɛm alɛhatu wɔ tuutuma gɛ.",0.9167,0.2985
2,"” Amá, a méévé malɩ́ɩ ɩsɩɖáa-daá, mɛ́ndɛ́ɛ mɩ́ɩ nɩ́bááwʊ mobó Galilée laadɔ́ɔ-daá.","Ama, a mɛɛfɛɛ ma lɛɛsɛɛ dadaa, mɛndɛɛ mɛnbaɔ mɔmbu galileela dadaa.",0.8182,0.3729
3,"Bʊrɔɔzɩ́ gɛ máábá mɔ́zɔɔlɛ́ɛ mevééri mɩ́ɩ ɩtɩlɩ́ sɩsɩ naárʊ fɛ́yɩ́, a Ɩsɔ́ɔ-dɛ́ɛ Kezeŋa wéngeti kʊ yɩ, wánbɩɩzɩ́ ɩŋmátɩ sɩsɩ: «Ɩsɔ́ɔ ɩ́la Yeésu láálɩ́» nɛ́.","bɔ́rɔsɩ́kɛ́, máá bá mɔ́ɔ́ la mɛ vɛ́ɛ́rɛ́ mɛ́. ɛ́tɛ́lɛ́sɛ́sɛ́ náá rú fɛ́ŋ. Aa ɩ́ sɔ́ɔ dɛ́ kɛ́sɛ́na, wɛ́ŋgɛ́ tʊ kwɛ́yɩ́. Wámbɛ́zɩɩ ɛŋwá tɛ́sɛ́sɛ́, ɩ́ sɔ́ɔ, ɛ́ láá yéésí láálí ná",1.25,0.5089
4,"Weení ɩŋmaráa na ma bɩka mɔ́ɔ́ máŋmáráa na yɩ nɛ́, bʊdʊ́ʊ wánlám kífeńbi ɖabata, káma, a mɛ́vɛ́yɩ́ mɩ́jɔ́, mɩ́dánbɩɩzɩ ɩlá báa nabʊ́rʊ.","Ɔnyɩ ɩmwaana na ma, bɩ ka mɔɔ mɔŋ mwaana ɩnɛ, bɩ dɔɔ wálɩm kɩ fémbii dábata. Kama, a mɛɛ véem ujoo, mɩ dámbee zɛɛ ɩ laba na bɔɔrɔ.",1.0455,0.4184
5,"Lɛlɛɛɖɔ́ nɛ́ kpɩná náádoozo wɛ ná: bɛɛ toovonúm fáa, tamɔ́ɔ, na sɔɔlɩ́m.",Ɖɛɖɛɖɔnne mɛnɛ na ɖozo wɔna bɛɛ to vɔnufu tamɔ na sɔlɛ,0.8333,0.3962
6,"Bɩlɛ́ nɛ́, koobíya máábá mɔ́zɔɔlɛ́ɛ mɩ́ɩ nɛ́, sáátɩ wenkí mávʊnwɛ mɩ́jɔ́ nɛ́, mɩ́ɩ́bá ɩnɩɩná ma.","Bilaan, kɔbiyɛ maaba mɔɔɔ lɛmɩn, saatʊ wɛnkɩ maavɔm waamʊyɔnɛ, mii ba Ɛnɛnaam.",0.9333,0.4179
7,"Nuvoowú nakɩ́rɩ, Ɖádʊ́ʊ waalɩzɩ́ ɩdɩ ɩwɩ́lɩ Pɔ́ɔlɩ, ngɛ wɔɔdɔ́ yɩ sɩsɩ: «Nkanɩ́ɩ nɩdáárɛ, laaná ŋmatɩrɛ, nkosú tɔ́m.","Nu vɔɔ na kɛrɛ, ɖaɖuu wa lɛɛ sɛyɛ wɔlɛ pɔlɛ. N vɔɔ ɖɔisi sii, nkanɛɛ ndaarɛ, lanaŋ matɛrɛ, nkusutɔɔ.",1.1176,0.4353
8,"Méévééri mɩ́ɩ bɩrɩ́ŋa bɩlɛ́ gɛ na a mɩ́ŋmáráana ma, iyuú fɛɛzɩrɛ.","Mɛ vɛɛ mɛ brɛŋa blɛgɛ na, amɛŋ marana ma, ioo fɛsɛrɛ.",0.8182,0.3878
9,Ɩnáábɩ́lɛ́ Kezeŋa wenká kánwɩlɩ́ɩ wenbí bɩgɛ́ɛ toovonúm nɛ́.,Nna mlekizi ŋa wɨŋka kaa woli wɛmbe gɛ tɔɔ vɔnɔm na.,1.375,0.5106
10,Ɖaanɩ́ŋa-rɔ kpátáá bɩlɛ́ gɛ Ɖádʊ́ʊ Ɩsɔ́ɔ wɔɔgɔ́nɩ wéngilím kárɔɔ́-daá.,Dádɩ́ níŋɔ kpá tábɩlɛkɛ dá dɔ́ ɩsɔ́ wɔ́ gɔ́nɩ wɛ́nŋglɩm kárɔdá.,1.2222,0.4717
11,"Amá, weení ɩ́dánjaa baaganáa nɛ́ waasɩ Ɩsɔ́ɔ, káma, Ɩsɔ́ɔ kɛ́ɛ sɔɔlɩ́m gɛ.","Kama, weni naŋŋabakanaŋɛ, w'asɛɛ sɔɔ, kama, ɛsɔɔ kɛ sɔɔ lɛm gba.",1.0,0.3585
12,"Mévééni wánnɩɩ́ mɔ́nɔ́ɔ́, mányɩ tɩ bɩka tínvúu ma; mánváa tɩ weezuú kɩ́dɛ́ndɛŋ́ nɛ́.",Tɔm matɛ ɩnna dɔ. Zini wandaravulu ɩnjamasaa. Yahuduwa wanja dɩ sɩbatɛlɛ weni Yesu kɛnɛ,1.0769,0.9344
13,"Fɛɛzɩrɛ wɩ́rɛ báa wenɖé, Pɔ́ɔlɩ wánzʊʊ́ Yahúúɖuwá-dɛ́ɛ Ɩsɔ́ɔ ɖaazɛɛɖɛ́, wánlám Yahúúɖuwá na wenbá bɛdɛkɛ́ɛ Yahúúɖuwá nɛ́ faawɩ́ɩ.","Pɛsɛda w'abande, pɔlɔ wam̃sʊ Yaahuduwa dɛɛ ɛsɔdaasɛdɛ, wam̃lam̃ Yaahuduwa na w'am̃m̃atɛkɛ Yaahuduwa na faawɛɛ.",0.9412,0.44
14,Ɩzɔɔlɛ́ɛ gɛ sɩsɩ báa weení ɩlá túúbá ɩkɛ́ɛ cɔwʊrɛ.,"Isɔlaka səsɛ, baweniɛ n laatubaɛ kɛ cɔwurɛ.",1.0,0.4615
15,Ɖánzám Ɩsɔ́ɔ Wúro Kʊ́bɔnɩ́ ɩmʊ́ weení wɔɔgbɔ́ɔ nyɛ́dɛ́ɛ ɩ́bɛrɛwá ɩɖʊ nyɛ́ńdɛ́ nɛ́.,dasaŋ ɩsɔ wuro kubɔnɩ ɩmʋ wɛnɩ wɔgbɔnyɛdɛ ɩbɛrɔwa ɩdrɩyɛndɛn,0.9167,0.3051
16,"Wenbí ɖááná bɩ bɩka ɖiwélesi bɩ nɛ́-dɛ́ɛ tɔ́m gɛ ɖénveerím mɩ́nyɔ́ɔ́ ɖʊɖɔ, na ɖána mɩ́ɩ ɖiyóózi ɖɩlá kʊ́ɖʊḿ.","U wɛmbi da na bɛ, gbuka dɔwɔlɛsi bɛ na ndɛɛ tɔm gɛ. Dɛm veeri mu nyɔɔndɔ dɔ. Na da na mii ndu yoosi dɛ la kɔdɔ.",1.2778,0.4625
17,"Ɩ́kabɩsɩná mɩ́dɩ liideé-dɛ́ɛ yomáa, amá, ɩzɩŋná wenbí mɩ́wɛná nɛ́, káma, ɩdɩtɩŋa wɔɔdɔ́ sɩsɩ: «Médénÿelí nya kɛtɛngɛrɛ, mɛ́dɛ́njɛḿ nya madálɩ kɛtɛngɛrɛ.",nkapasini mɛdili dɛyoma ama ɛzəŋna wɛmbi mɔwanənɛ kama ɛtətəŋawɔ tɔsɛsɛ mɛdɛn yɛliña kətɛŋɡəlɛ mɛdɛn yɛmña mbandalɛ kətɛŋɡəlɛ,0.9,0.4224
18,"Bʊ́ʊ́rɛ wenɖé bónzulúu lɔkɔ kɩḿ kɩnɔɔ́-rɔ nɛ́, bʊ́ʊ́rɛ gɛ fɩ́ya ńɖɛ.","Gboo wuu ni mbo sulu laka k'am kwo noɔne, bwora ga fiyande.",1.0909,0.5833
19,"Bánváa mɩ́ɩ lɩ́m ɩsáŋ mɩ́nʊvɔ́, bɩka ceré tɛ́ɛrɛ́ nɛ́, ɩlɩ́ɩ ɩkpɔ́ɔ mɩ́nɩ́bááwʊ.","Bɔm va mɛlɛm isamunɔvɔ. Bəka tsirɛ tsirɛ nɛ, ɛle ɪkpɔ mənəmbaɔ.",0.9167,0.5091
