sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.","Good afternoon, auntie. It has been a bit difficult, to be honest. I feel like everything is just piling up on me. It is my uncle",1.0417,0.9655
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.","Ampa, mmarima no bi wɔ hɔ a, ɔmo nim adwuma di, na ɔmo hunu sɛ ɛyɛ dɛn? Ɛnso mmaa no deɛ, ɔmo ayɛ din. Asɛ yɛde mmara ahyɛ ɔmo so. Me maame taa ka sɛ me nua baa no deɛ, ne ho dwo, ɔte fie, ɔboe dwa na ɛyɛ, ɔnkasa ntia mpanimfoɔ.",0.4717,0.2542
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.","Mewɔ bi a menante afam asase ho dantei, anaa ɛsɛ sɛ midi sukuu dwumadi a ɛmma me, a kan nnwoma a afam nnipa dwen ho, na oka nnwoma a ɛmma me, ɛmma me ho ntɔ me te sɛ sɛnea meye oba intenten so na memfa m'adwene mmra ne so ɛkyen sukuudwan.",1.0,0.3905
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.","Na nso sɛ ɛno sɛ ɛdianenoma ɛyɛ m'adwuma. Na m'esɛi mberɛ wɔ gyae deɛ, yɛnhu me sɛ me abaranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtɛm ha. Menim sɛ ɛnyɛ no koraa. Hyɛ ahemfoɔ kukudam a wɔwɔ Nkran anaa mmaranteɛ a me ne wɔn nya nɛɛtɔn.",0.6444,0.2295
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.","Ɛbɛtumi aka saa fa sɛ nea ɛbesi aka daabi. Ɛtɔ da a, ɛyɛ a na ɛyɛ den ɛsiane sɛ mmarima no, ɛyɛ a na wɔnngye pɛn. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na m'adwene saa nneɛma yi ho. Na wɔtwɛn ebei, mɛsan aba biom.",0.3636,0.1325
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?","Mmoatomɛ, ɛsɛ sɛ yɛdi adeɛ yi ho nkɔmmɔ. Dɛn na wɔse me ka sɛ obi pɛ sɛ ɔhyɛ me so ma me yɛ adeɛ a mmpɛ sɛ me yɛ a? Sɛ mpo wunnyinsɛm a? Ɛyɛ a na nkrofɔ ka sɛ, sɛ obi ka sɛ daabi a, ɛmpam kyɛɛ sɛ daabi. Meda ase wɔfa. Yɛbɛtumi ahyia biom ɛbɛna da?",0.5088,0.1571
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.","Wɔse nkasaeɛ wɔ yɛn ammammuo mu, na wɔse ɔsɛeɛ wɔba sukuumpɔ. Akwan bɛn na wɔbɛfa so anti? Dabi aa wɔbɛka no, ɛnyɛ mmerɛ. Brɛ na brɛ a obiara reyɛ adeɛ a ɛntiɛ no, mɛpɛ sɛ mɛyɛ ɔkyerɛkyerɛfoɔ dabi. Enti, mɛbɔ m'den sɛ mɛtwe me ho mfiri ɔhaw mu. Mɛbɔ m'den sɛ mɛkɔ so de m'adwene esi biribi so.",0.6379,0.2168
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.","Even if they do not listen immediately, you are practicing the skill of self-advocacy. That is a transferable life skill. I never thought about it like that.",1.0,0.9052
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.","Mefiase sɛ guinea worm bɛsa anaa anadwo baako na insomnia tumi de me weɛ hyɛɛ aseɛ. Mepɛ sɛ mehu sɛ oduruyɛnsɛm tumi ayaade kɛseɛ anaa. Na ɛtɔ mɛbi a, saa ɔhaw yi ayɛ sɛ neɛ ɛsɔ sɛ nnipa baako pɔɔ. ɛna enti ɛmma mɛnya ankonam.",0.6522,0.3245
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.","wosusu sɛ ɛyɛ me a w'adwene wɔ hɔ a ɛmfa ho mfa bɛhyɛ ase. Wosusu sɛ ɛyɛ gye sɛ ɛnsesa nneɛma yɛ sa efirisɛ na ɛte saa brɛ nyinaa wode atetesɛm di dwuma. Sɛkyerɛ me, deɛ ma nkorɔfoɔ yɛ kom, deɛ yɛhwɛ a yɛhwɛ so na ɛfiri ase.",0.6122,0.3086
