sample_id,reference,hypothesis,wer,cer
0,Suɔmi Yeɔ Bua Wɔ Nɛ Wa Daa Ninyɛ Nya,soɔmeyi ɔboa wɔ ne wɔadaa ne nyenya,0.8889,0.2857
1,MƐNI LƐ HAA NƐ KRISTOFO NO BUA JƆƆ?,mini lɛ hani kristofonu buajɔɔ,0.875,0.1481
2,"Mo pia o he ngɛ o yayamihi a he, nɛ o pee tsakemi ngɛ o si himi mi",a o heŋgɛ o yɛ ya mii a he nɛ o pei cha ke miiŋgɛ o sihimi mi—,0.7222,0.25
3,MOO KASE MATSƐ DAVID NƆ HYƐMI NƆ́ Ɔ,mou kase ma chɛ david nɔ hiɛmi nɔɔ,0.75,0.1481
4,NƆ́ NƐ E SA NƐ O PEE LOKO A BAPTISI MO,sane̱ ope loko a baptisme,0.8182,0.3333
5,Yehowa Nɛ Ji Wa Tsɛ ɔ Suɔ Wɔ Wawɛɛ,yehowa nedzi wòatsewɔ sɔ̃ wɔwɔawe,0.8889,0.3846
6,Mɛni weku yi ko ma nyɛ maa pee kɛ tsɔɔ kaa e baa e he si?,meni weku yi ko manyema pee kɛ kyoɔ ka a ebaa ɛhɛsin,0.6875,0.2195
7,"Marie-Line: Daa Hɔɛgbi ɔ, wa jɔɔ wa he, nɛ wa dlaa wa he kɛ haa asafo mi kpehi. Kɛ je Pɛplɛgbi kɛ yaa a, wa yaa fiɛɛmi.",aa huɛ gbiɔ wa jɔɔ wa he nɛ wa ndila wa he kɛ haa safomkpeŋ kɛje pɛplɛ gbi kɛyaa wa yaa fiɛmi,0.5556,0.2326
8,A ‘FƆ MƐ EKOHU’,afɔme ekonu,1.0,0.2
9,A FƆ MI NINE KAA MA SƆMƆ KAA KPƆ MI NƆ HYƐLƆ,hafɔn mi ninde ka ma sɔ mɔ kan kpɔ mi nɔ hiɛ lɔ,0.75,0.1818
10,LOKO A MAA BAPTISI MO:,loko amo baptismo,0.8,0.1765
11,NYƐƐ “DI NÍHI NƐ NGƆƆ TUE MI JƆMI KƐ BAA” A SE,needinii ne ngɔ tungyɔmi kɛ baa se,0.75,0.3636
12,"Anɛ o pia o he ngɛ yayamihi nɛ o pee ɔmɛ a he, nɛ o jɔɔ o he nɔ kɛ ha Yehowa, nɛ o kplɛɛ nɔ kaa Yesu Kristo nɔ nɛ Yehowa guɔ kɛ heɔ nɔ yi wami lo?",o pia o heŋa yɛyami nɛ o piɔɔ ma he nɛ o jɔɔ o henu kɛ ha yɛhowa nɛ o kpɛlɛnu kaa yesu kristo nɔ nɛ yɛhowa guwɔ kɛ hiɔnu yi wami lo,0.4103,0.2
13,WA NÍ TSUMI EHE KƐ E MI NYAGBAHI,wa nichum ehie ke eminyagba hị,0.875,0.28
14,O Ma Nyɛ Maa Pee Nɔ Nɛ Woɔ Ni Kpahi ‘A Bua Wawɛɛ Nitsɛ’,ò mọyẹn mọ́ pénù níwu ọnì pa ẹ abò awàwẹẹniṣẹ,1.0,0.6
15,asafo mi nɔkɔtɔma ji mo?,ke a safu mi nɔkɔtɔ man ji mu,1.2,0.2632
16,YEHOWA HA WƆ TA BULI A HE PIƐ POMI NÍHI,yehowa ha wɔ tabulin ayɛpiɛpo minin,0.7,0.2
17,MƐNI MA NYƐ MA HA NƐ WAA PEE YEYEEYE?,mini ma nyɛ maanu waa peyeyeiyei,0.6667,0.2143
18,ANƐ E SA NƐ WAA HAO KAA NIHI NƐ A YEƆ ABOLO Ɔ NƐ A NUƆ WAI Ɔ A YIBƆ NGƐ HƐ MI YAE LO?,ani esane wɔaha wo ka nii ne ayio aboloɔ ne anua wayoa ayibɔŋɛhem yae lo,0.92,0.3
19,"Ngɛ mɛni blɔhi a nɔ nɛ Yehowa tsɔɔ kaa e susuɔ wa he, nɛ e suɔ wɔ?",ŋrɛmini blɔi anɔ ne yehowa kyɔno kaa ɛsusuɔ wahe nɛ ɛsuɔ wɔ,0.7647,0.2292
20,Mɛni níhi ekpa nɛ wa ma nyɛ maa pee nɛ maa ye bua wɔ konɛ waa pee kpoo?,mi nini e kpani wama nyɛ ma pe nɛ maye buao koni wa pe kpowu,0.8889,0.2642
21,KE BAIBLO KASELƆ KO BƆNI ASAFO MI KPEHI YAMI,ke baiblo ka se lɔ ku bɔni a safumi kpeŋ yam,0.8889,0.1389
22,Moo to blɔ nya ko nɛ ma kai mo. Mo set alarm ngɛ o klama a nɔ konɛ e kai mo nɛ o kane Baiblo ɔ daa ligbi.,mòó to bọ̀nyà kò nímà káí mò mòsẹt à lámgẹ́ ó klã́máa nó kó ní é káì mò ní ó kàlé báíbìlùọ dáá lìgbi,0.9643,0.5395
23,Ngɛ mɛni blɔ nɔ nɛ blema níhi nɛ a tsua si nɛ a na a yeɔ he odase kaa Belshazar hi si hyɛ ngɛ Babilon?,ŋe miniblɔnu ne bleme nii ne atuasi,1.0,0.7273
24,"Loko o sɔlemi maa nu tso ɔ, mɛni ji ní komɛ nɛ o ma nyɛ maa pee?",loko o sɔle mi manu tsuɔ miliji ni komi no manyi ma pee,0.7647,0.1957
25,Sane Bimi Enyɔ Nɛ O Ma Ha Heto Ngɛ Ligbi Nɛ A Maa Baptisi Mo ɔ Nɔ,sanlebi mi e nyu nɛ o mahan he toŋɛ ligbi nɛ amɔ baptis muonu,0.8235,0.2245
26,bwɔmi ha we nɛ waa pee babauu?,boam ha we ni waa pei babaoo,0.5714,0.3043
27,HE DUMI KO NƐ NGƐ SLƆƆTO,hedum konengeslotho,1.0,0.3158
28,MOO SU BAIBLO KASELƆ Ɔ TSUI HE,mboo su baiblo kase lɔɔ chui he,0.5714,0.125
29,"Mɛni he je nɛ e he hia wawɛɛ kaa wa maa su wa Baiblo kaseli ɔmɛ a tsui he, nɛ mɛni blɔ nɔ wa maa gu kɛ pee jã?",me ni hegye na hehia wɔawɛe ka wɔamasu wa biblo kaseleomatwe he na me ni blɔ no wɔamaa gu kɛ peegya,0.8621,0.3
30,Nɔ́ Nɛ O Maa Pee Konɛ O Sɔlemi Nɛ Nu Tso,none o maa peko ne o solem ne nu cho,0.6364,0.3103
31,Mɛni níhi nɛ e sa nɛ weku yi nɛ ha e weku mi bimɛ?,mininii na sana eweku yine ha eweku mibi me,0.9286,0.25
32,KƐ NƆ KO MA PLƐ KƐ LE KAA A PƆ LƐ NU HA KƐƐ?,kɛndukoma plɛŋ kɛ lekaa a pɔlɛ nu ha kɛ,0.7143,0.1333
33,E MA BI NƐ O KƐ LƐ NƐ KPA NÍ KASEMI Ɔ LO?,e mabine̱ ˈo -kɛlɛ̱ nɛ kpa nikasemio lo,0.6923,0.1429
34,WA HIA KƐ YA ZUGBA KPƆ KPA MI,wòaxiake yea zu gbe kpɔ kpa mi,0.625,0.2273
35,WA BUA JƆƆ KE A NYƐ WƆ,wa boà jɔɔ́ ké a nyɛ wɔ̀,0.2857,0.1875
36,KEKLEEKLE BE NƐ I KUƆ YOKU,keklekle be nɛn ikuɔ yeku,0.8333,0.1429
37,MOO HƐ MO KƐ SU MAWU HE NƐ O YA NƆ NƐ O NÁ BUA JƆMI,mbou hɛ mbo kɛ sumɔu hi ni o yanunu na bua jɔm,0.75,0.3333
38,MOO BU YEHOWA TUE KƐ TSƆƆ KAA O SUƆ LƐ,mo bu yehowa tue kɛ chɔn kaan o suɔn lɛ,0.4,0.2069
39,KE O PIƐƐ BAIBLO TSƆƆLƆ HE NƐ NYƐƐ KƐ NƆ KO NGƐ BAIBLO Ɔ KASEE,ke o piɛi baiblo chuŋ lɔ hi nɛ nyɛ kɛ nukuŋgɛ baiblo kasii,0.6667,0.2708
