sample_id,reference,hypothesis,wer,cer
0,NIBII NI BAAYE ABUA BO NI OBATSƆ KRISTOFONYO NI EDA YƐ MUMƆŊ,Ni bii ni baai aaboobɔ ni obɛɛcɛ kristo fonyo ni edaemumɔ,0.9167,0.2449
1,MIKASE NII NI MITSƆƆ NII BE NI MISƆMƆƆ AKƐ KPOKPAA NƆKWƐLƆ KƐ BE NI MISƆMƆƆ AKƐ KPOKPAA WULU NƆKWƐLƆ LƐ,Enka sɛ nɛ nɛ nchɔɔ nɛ bɛnɛ sɔmɔ akɛ pɛpɛɛ nɔ kwɛlɔ ke bɛnɛ sɔmɔ akɛ pɛpɛɛ awulu nɔ kwɛlɔ.,0.9,0.4167
2,Mɛɛ be nɛkɛ Yehowa yelikɛbuamɔ he baahia wɔ waa?,me bi nɛ kɛɛ yɛɛ yi lɛ kɛɛ baamoɛi baa hiɛ awo wá,1.4444,0.5128
3,"Mɛni hewɔ esaaa akɛ wɔnuɔ he akɛ kɛ́ wɔbatsɔmɔ Kristofoi ni edara yɛ mumɔŋ lɛ, belɛ wɔgbe naa lɛ?",Mɛni hu e saake wɔ nuuɔ yɛɛ ke wɔ ba chɔmɔ Kristo fɔine draa mɔmɔɔ bɛ wɔ gbɛnaa.,0.9474,0.3684
4,"No hewɔ lɛ, eyɛ mli akɛ mɛi ni hi shi yɛ blema lɛ bɛ watsii, tamɔ bɔ ni wɔyɔɔ ŋmɛnɛ lɛ moŋ, shi no mli lɛ amɛyɛ gbɛ ni amɛtsɔɔ nɔ amɛtsɔɔ bɔ ni atswa.","Nue wò, eyɛ mi yɛ kɛ mɛni hi shiiɛ blɛma bɛ wa tsi, ta wa bɛ ni woyɔɔ ŋwɛɛ mo, shinumliɛ, amɛyɛ gbeni amɛ tso nu, amɛ tso bɛ ni atwa, sa nu yɛ na agbe.",0.9429,0.3929
5,"Feemɔ nibii ni nyɛmimɛi lɛ feɔ lɛ eko. Yaa asafoŋ kpeei lɛ fɛɛ, ni okɛ amɛ afee ekome kɛya shiɛmɔ","Feɛ mɔ ni bi ni nyɛ mɛɛ, fioo, eko. Yaasa fɔŋ pɛɛɛ. No kɛɛ ma fɛɛ, kɔ mɛɛ kɛɛ ashia mɔ. Wɔ ncha ni kanɛɛ mɔ nɔ.",1.2,0.5921
6,"Winston, ani sɔɔmɔ ni oyasɔmɔ yɛ Pasifik Wuoyigbɛ Ŋshɔkpɔi lɛ anɔ lɛ eye ebua bo ni onyɛ otsu onitsumɔ akɛ Australasia Nitsumɔhe Nine Ajinafoi Akuu lɛ mli nyo lɛ jogbaŋŋ?","Winston, anɛi somo nɛi, asomɔ yɛ Pacific wei gben shɔkpɔyɛi anɔ, e yɛi buabu ni onyei ɔ chunuu ni chumu, akɛ Australasia nichumu ni ni aginafoi akuɛ mli ni ni ewɔjo gban.",0.8667,0.3669
7,HÃ NIKASEMƆ ATSE ONAA,Ha ni kasemo ache una.,1.25,0.3333
8,KƐ́ WƆKƐ WƆHIƐ FƆ̃ YEHOWA NƆ LƐ WƆBAANÁ NAANƆ WALA,"Kɛ wá kɛ wá hìɛ́ fɔ́ yɔ̀ɔ̀ hwàá nɔ̀, wò bɛ́ nánánánɔ́ wàlá.",1.0,0.4615
9,"Mɛni kɛ́ wɔfee lɛ, no baahã wɔye Yehowa anɔkwa?",Minɛ kɛ wo fiiɛ nu baha woyɛɛ hu a nɔkwa,1.0,0.4444
10,Wɔbaakase bɔ ni wɔnáa mfonirifeemɔŋ paradeiso lɛ he sɛɛ kɛ nɔ ni wɔbaafee ni baagbala mɛi krokomɛi kɛba mli lɛ he nii.,"wɔba ka si boni wɔ naa nfo nii fe mo npaade so ehee sei, kee noni wɔba fe ni baa gbla mi krokoo mɛnkee ba amli ehee nii.",1.1818,0.3229
11,ESAA MƐI ATSUI KƐ AMƐJWƐŊMƆ,E saame aci kɛ mɛjɛɛ mɔ,1.0,0.3478
12,Sanebimɔi Ni Jɛ Kanelɔi Adɛŋ,Sane bi mli ni ni jɛ kɛ nɛ lo ya adɛi.,1.8,0.375
13,PAULO YE EBUA ENYƐMIMƐI LƐ KONI AMƐHEMƆKƐYELI LƐ MLI AWA,Palo ye bo enye me. Kuna me he moko yee le mli awa.,1.0,0.4043
14,NITSUMƆ KO NI HE HIAA WAA,Nɛɛchumɔ kuniiɛ hɛɛwa.,1.0,0.55
15,"Pam, bo hu obale anɔkwale lɛ yɛ ogbekɛbiiashi. Te eba lɛ tɛŋŋ?",Am mɔɔ baa la nu ko ale yoɔ bi kɛ bi a shii. Te ba le tɛŋ?,1.3333,0.4167
16,MƐƐ GBƐ NƆ NIBII NI NYIƐ SƐƐ NƐƐ BAANYƐ AYE ABUA WƆ NI WƆKAYOYORO KƐ́ WƆKƐ NAAGBAI KPE?,"Mɛɛgbɛ no ni bi ni nyɛ sɛɛ nɛɛ, baanye ayi abua wo. Nuwɔ kaayo euro kaawoke naagba ekpe.",0.7778,0.2206
17,Mɛni hewɔ ehe miihia ni wɔhã yiŋtoi ahewɔ ni wɔshiɛɔ lɛ ahi wɔjwɛŋmɔ mli?,"Mɛni hiewo ehi mi, hiani wooha yiintoɔ hiewo ni wooshee ahiŋwoo jɔmɔ mli.",0.7857,0.4407
18,"Mɛɛ gbɛ nɔ brikii ni ana yɛ he ni blema Babilon yɔɔ lɛ kɛ gbɛi ni atsɔ nɔ afee brikii nɛɛ maa nɔ mi akɛ, nɔ ni awie yɛ Biblia lɛ mli lɛ ja lɛɛlɛŋ?",Mɛngbɛɛnɔ bliki ni yaa na yɛɛhɛɛni blima babii lɔŋ yɔɔ. Kɛgbɛɛnɛɛnɔ fɛɛ bliki nɛɛ maa nɔ mi akɛ. Nɔ ni aya yɔɔ yɛɛbiblaamliɛɛ jalele.,0.7429,0.3636
19,NYƐSUƆMƆ LƐ MLI AWAA,Nyɛsoɔ momli awaa,0.75,0.2353
20,"Nyɛmimɛi ni tee kpee nɛɛ eko lɛ ateŋ mɛi pii kɛɛ miishɛɛ ni amɛná yɛ kpee nɛɛ shishi lɛ nɔ bɛ, ejaakɛ amɛna faŋŋ akɛ Yehowa miijɔɔ ewebii lɛ. Shi amɛmiishɛɛ lɛ sɛɛ etsɛɛɛ.","Ngemɛɛ meenii teɔ kɛɛnii kɛɛ a tee mɛɛ pii kɛɛ, miishɛɛ naa mɛɛ naa yɛɛ kɛɛnii a shishi nɔ bɛɛ. Eji akɛɛ miinaa faa kɛɛ Yehowa miijɔɔ e wui biɛ. Chaamɛɛ miishɛɛ sɛɛ chɛɛ.",0.8235,0.3926
21,Feemɔ Nibii Ni Baahã Ohe Oye Waa Akɛ Yehowa Asafo Lɛ Nɛ,"A fɛɛ moni beni baha oheo ye waake, Yehowa safo",0.9167,0.3409
22,YEHOWA BAAYE EBUA WƆ KƐ́ WƆMIINU HE AKƐ WƆBƐ MƆ KO,Yehowa baaye bo awo ke wonu hiake wo bemoku,0.8182,0.359
23,NƆ NI ABAASUSU HE a,Nonii Abasui,1.0,0.5333
24,MƐNI HEWƆ ESA AKƐ WƆJIE HIƐSƆƆ KPO?,Mɛniɔɔ yaa sakawajiɛhiin sɔɔpɔɔ.,1.0,0.5
25,Mɛi Ni Sɔmɔɔ “Miishɛɛ Nyɔŋmɔ Lɛ” Yɛ Miishɛɛ,Mɛnii sɔmɔɔ mi nshɛɛ nyɔŋmɔ ye mi nshɛɛ.,0.875,0.2059
26,‘Nyɛkwɛa Jogbaŋŋ Ni Mɔ Ko Akaŋɔ Nyɛ Nom’!,Níɛ kɔɛ ayogba ní mókɔ a ka ngɔnyɛɛ nɔ̃ɔm. Ngwale nì ní kàsímɔ dàmɔnɔ.,1.75,1.129
27,OKƐ OTII NI OBAANYƐ OSHƐ HE AMAMƆ OHIƐ,O ka otii noo baa nyɛɛ o shee amamɔ o hii.,1.125,0.1935
28,BƆ NI FEE NI MIKASE YEHOWA HE NII NI MIBALE LƐ,Moni fɛɛ niŋ kaa sɛɛ yoo ahi niŋi niŋ ba lile.,1.0,0.5
29,YEHOWA BOƆ SƆLEMƆI TOI,Yehu aboo Solomon itei,1.0,0.4211
30,Nɔ Hewɔ Ni Enáaa Nyɔŋmɔ Hiɛ Dromɔ,nɔ ni ewa ni e naanyaŋ nɔ hiɛ dromɔ,0.7143,0.2222
31,BO YEHOWA TOI KONI EHI EHÃ BO WƆSƐƐ,Bo yε ŋua twɛɛ kɔnyɛ hie ha bo wɔse.,0.875,0.4643
32,Bɔ ni wɔbaafee wɔhã hemɔkɛyeli ni wɔyɔɔ akɛ Yehowa asafo lɛ nɛ lɛ mli awa be fɛɛ be.,"Kasei bonu obaafi wɔ ha, he moke eli ni wo yoo akɛ, Yehowa safo ni mli awa befɛɛ.",0.9444,0.3939
33,Wɔle akɛ nyɛyi enyɔ fɛɛ nyɛnya sɔɔmɔ ni nyɛsɔmɔ yɛ ŋshɔkpɔi lɛ anɔ lɛ he waa. Ani nyɛbaasumɔ ni nyɛgba wɔ nibii ni tee nɔ yɛ jɛmɛ ni nyɛhiɛ kpaŋ nɔ kɔkɔɔkɔ lɛ ekomɛi?,Wɔ yaa kɛnyɛɛnyɔɔ fɛɛ nɛɛ nyɛ somɔɔ nɛɛ somɔɔ yɛɛ nshɔɔ pɛ anɔ hiɛ waa. Anɛɛ nyɛ baasumɔɔ nɛɛ nyɛ gba wɔ niibi nii tɛɛnoo ɛjɛɛmɛɛ nɛɛ nyɛ hiɛ kpaanɔɔ kɔkɔɔkɔɔ ekome.,0.9412,0.3588
34,Ani naagba yɛ he akɛ Yehowa Odasefoi kɛ wɛbsaitii loo apps ni akɛtaoɔ gbalashihilɛ mli hefatalɔi baatsu nii?,Anɛ nagbayei akɛ Yehowa odasefoi ke websaiti loo apps nɛ akɛ tɔɔ wolo gbɛlɛshii ni efata lo ebaatsu ni.,0.8889,0.2778
35,MIBƆI SƆƆMƆ EKOŊŊ AKƐ KPOKPAA NƆKWƐLƆ,Enbɔɔi sɔmɔi kɛ wuii akɛ peepa no kwɛɛ lo,1.3333,0.5312
36,Mɛɛ gbɛ nɔ esoro Yesu baptisimɔ lɛ yɛ esɛɛnyiɛlɔi lɛ anɔ lɛ he?,Mɛi bɛnɛ sɔrɔ yɛ su baptismɔiɛi sɛnyɛlɔiɛ anɔhi?,0.9231,0.36
37,NYƐMIMƐI LƐ TEE NƆ AMƐSHIƐ,Yɛ mi mete na meshiɛ.,1.0,0.3636
38,Sanebimɔi Ni Jɛ Kanelɔi Adɛŋ,Sanɛbi mɔi ni jɛ Kaneshie lɔi adɛŋ.,0.8,0.2083
39,"KƐ́ WƆMLI HI LƐ, WƆBAAFEE MƐI EJURƆ","Ke wo mli hie, wo ba fei me jro.",1.2857,0.4074
40,"KƐ́ OOTAO OYI ANÁ WALA YƐ HARMAGEDON LƐ, MƐNI ESA AKƐ OFEE?","Kɛɔ, ta o ya na wala, ya ma gɛɛ nɔ, mɛni sɔɔ kɛɛfi.",1.0,0.4222
41,c NƆ NI WƆNAA YƐ MFONIRI LƐ MLI: Nyɛmi nuu ko kɛ shishitoo mlai ni ekase yɛ Nyɔŋmɔ Wiemɔ lɛ mli lɛ miitsu nii koni ena nɔ ni ebaanyɛ ekwɛ yɛ TV lɛ nɔ.,"Yɛn fɔŋ ni ni kɔɔkɔ kunyɔmɔ kɛɛ tɛɛi hiɛ mli yɛ, nyɛmi nunkɔ kɛ shishitoo mli ayɛ ni ekasɛɛ nyɔmɔ gbi mɔ mli nchu ni kɔɔ ni e nanɔ ni eba nyɛɛ kɔyɛ TV nɔ.",0.8235,0.4696
42,MƐNI ASAFOŊBII LƐ BAANYƐ AFEE KƐYE AMƐBUA?,mɛnyã sãfũ biɛ̃ banya fɛkɛi amɛbwa,1.0,0.4
43,Nɔ Hewɔ Ni Ehe Miihia Ni Abaptisi Kristofoi Fɛɛ,Nɔe ni niɛmihi aná baptisimi kristofoi fɛɛ,0.6667,0.2821
44,ESA AKƐ WƆMLI AHI AHÃ MƐI NI EJE KPA LƐ,E sa ke wolo mli ahiaha meinie jikpa.,1.0,0.3333
45,NAMƆ KƐ́ WƆHIƐ BA NYAM YƐ EHIƐ LƐ EHI JOGBAŊŊ?,"Namɔ kɛ wɔhiɛ ba nyamnyɛɛ, ehĩi jogbaŋŋ.",0.5,0.2
46,"Hanania, Mishael, kɛ Azaria","Hanania, Micheo, Kazaria",0.75,0.1818
47,"Mɛni kɛ́ wɔfee lɛ, no baatsɔɔ akɛ wɔkɛ heyeli ni Nyɔŋmɔ kɛdro wɔ lɛ tsuuu nii jogbaŋŋ?","Mɛni kɔɔ fɛɛ nɛɛ, no baa tswaake, wɔkɛ hɛɛli ni nyɛnɛɛ wɔkɛ drowɔɔ tšu ni njogbaŋŋ.",0.7647,0.3433
48,KRISTO KÃ HE EETSƆƆ ASAFO LƐ GBƐ,"Kɛɛ sɔɔŋɛɛ, ejiɔnɔ safoɔ gbɛ.",0.8571,0.5769
49,Mɛni wɔbaanyɛ wɔfee kɛtsɔɔ akɛ wɔsusuɔ mɛi krokomɛi ahe tamɔ Epafra?,"Mɛni waba nyɛwɔfii kɛtɔɔ kɛwɔ susumɔ mɛi kuroko mɛi ayi, tamɔ EPAFRA.",0.7273,0.1754
50,Bɔ Ni Obaafee Oná Miishɛɛ Waa Yɛ Shiɛmɔ Nitsumɔ Lɛ Mli,"Boni obaa feo na mi shee waa, eshe moni chuumo mli.",0.9091,0.3864
51,“NYƐJIEA EFƆŊFEELƆ LƐ”,"Nyɛ jia, eefɔ̃ fe lɔ.",1.6667,0.3333
52,JEEE ASAFOŊ ONUKPAI PƐ ESA AKƐ AMƐWO MƐI HEWALƐ,je asafoi onu kpae pei e sa ke ame wo mei he wale,1.4444,0.2821
53,Ani Ole?,aniuli tefe tei ni abanape he,3.0,3.1667
54,"KƐ́ WƆFEE MƐI EJURƆ LƐ, NYƆŊMƆ BAANÁ WƆHE MIISHƐƐ","Ke wuo fee me eju no, nyongba naa wo min she.",1.2222,0.5641
55,TE OBAAHÃ HETOO OHÃ TƐŊŊ?,Tɛɛ ba yɛɛ tɔɔ hɔɔ ten.,1.2,0.75
56,Nɔ ni wɔkaseɔ yɛ bɔ ni Korinto asafo lɛ kɛ nyɛmi nuu ko ni yafee esha ko ni yɔɔ hiɛdɔɔ lɛ ye ehã lɛ mli.,Noni wa kasio ya bwanikoi nto asaa fwe kenye minu ko ni ya afie shako ni yo hedo oye haamli.,0.88,0.3797
57,Mɔ ni gba ji Charles Molohan,Monigba ji Charles Molohan,0.5,0.0435
58,Yehowa Shɛje Mimii Yɛ Mihaomɔi Fɛɛ Amli,Ye huɔɔ shɛɛ dɛɛ mi mi yɛ mi haa mɔɔ fee amli.,1.4286,0.3636
59,TE OBAAHÃ HETOO OHÃ TƐŊŊ?,Te obaa yɛɛ tɔɔ oha te.,1.0,0.5
60,"Winston, te nibii tee lɛ tɛŋŋ be ni nyɛbɔi Yehowa sɔɔmɔ lɛ?","Winston, te ni bii tɛle tɛɛ bi niɛ bo niɛ ho asɔmo?",0.8333,0.3696
61,FEEMƆ NIBII NI BAAHÃ EKOMEFEEMƆ NI YƆƆ WƆTEŊ LƐ MLI AWA,fɛ mɔ ni bi ni bɛ hãɛ kɔmɛ fɛ mɔ ni yɔɔ tɛm ni awa,1.0909,0.3556
