sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,su kɔm de me,0.25,0.1
1,Akwadaa wei,akwadaa wei,0.0,0.0
2,Mafe wo,mafe wo,0.0,0.0
3,Yɛ wɔ,yɛ wɔ,0.0,0.0
4,Ɔmee ne Ɛfeɛ,ɔmee ne ɛfeɛ,0.0,0.0
5,Mɛtɔ credit 5 cedis,mɛtɔ credit  cedis,0.25,0.0625
6,ɛkɔm de me,ɛkɔm de me,0.0,0.0
7,Hyɛɛ n'anim teɛ,hhɛen nnim teɛ,0.6667,0.25
8,Medaase mensa aka,medaasi mensa aka,0.3333,0.0667
9,Dum kanea no,dum kanea no,0.0,0.0
10,Na ɔkɔe kowui,na ɔkɔe kowui,0.0,0.0
11,Neho ayɛ fi  paa,neho ayɛ fi paa,0.0,0.0
12,Me pɛse me tɔ credit na me de gu mtn number so,me pɛse me tɔ credit na me di gu mtn number so,0.0833,0.0286
13,Mepaa’kyɛw me number no yɛ 059,mepaa’kyɛw me number no yɛ,0.1667,0.125
14,Ko buu no,ko buu no,0.0,0.0
15,Woka borɔfo,woka brɔfo,0.5,0.1
16,Tuu no,tuu no,0.0,0.0
17,ɛyɛ,ɛyɛ,0.0,0.0
18,Mepaa’kyɛw ma sesa m’adwene,mepaa’kyɛw ma sesa m’adwene,0.0,0.0
19,To nnwom,to nnwom,0.0,0.0
20,Yɛ wɔ,yɛ wɔ,0.0,0.0
21,Bra ha,bra ha,0.0,0.0
22,Nsuo,nsuo,0.0,0.0
23,Mame bebree,mame bebree,0.0,0.0
24,Ma me bi,ma me bi,0.0,0.0
25,Dadeɛ bi twa dadeɛ bi mu,dadeɛ bi twa dadeɛ bi mu,0.0,0.0
26,Hyɛɛ n'anim teɛ,hyɛɛ nanim teɛ,0.0,0.0
27,Tuu no,tuu no,0.0,0.0
28,Dan mu,dan mu,0.0,0.0
29,Mepaa’kyɛw me number no yɛ 059,mepaa’kyɛw me number no yɛ,0.1667,0.125
30,Hwan akonnwa,hwa akennwa,1.0,0.1818
31,Wo pɛ deɛn,wo pɛ deɛn,0.0,0.0
32,Dum kanea no,dum kanea no,0.0,0.0
33,Ne nea Ɔsɛe de yɛɛ buburoo wei,ne nyea ɔsɛe de yɛɛ buburo wei,0.2857,0.0833
34,Mee tɔ akɔ 054 so,mee tɔ akɔ  so,0.2,0.2308
35,Mepaa’kyɛw Aane (spoken),mepaa’kyɛw aane spoke,0.3333,0.0526
36,Ne yere,ne yere,0.0,0.0
37,Yoo medaase,yoo medaase,0.0,0.0
38,Maa aboa bi twee,maa aboa bi twee,0.0,0.0
39,Mayera,mayera,0.0,0.0
40,ɛno akyi no,ɛnu akyi no,0.3333,0.1111
41,Nante yie,nante yie,0.0,0.0
42,Me pɛse me tɔ credit na me de gu mtn number so,me pɛse me tɔ credit na me de gu mtn number so,0.0,0.0
43,ɛkɔm de me,ɛkɔm de me,0.0,0.0
44,Efiri sɛ,efiri sɛ,0.0,0.0
45,Wo pɛ deɛn,wo pɛ deɛn,0.0,0.0
46,Me credit aka sɛn,crediti aka sɛn,0.5,0.2143
47,Yoo medaase,yoo medaase,0.0,0.0
48,Nante yie,nante yie,0.0,0.0
49,Wobɛtumi akyerɛ me hɔ,wobɛtumi akyerɛ me hɔ,0.0,0.0
50,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,mepaa’kyɛw me pɛsɛ me tɔ mtn credit,0.0,0.0
51,Mtn,mtn,0.0,0.0
52,Akwadaa no to dwom,akwadano tso jom,1.0,0.2667
53,Mee tɔ akɔ 054 so,mee tɔ akɔ  so,0.2,0.2308
54,Me sika no aka sɛn,me sika no aka sɛn,0.0,0.0
55,Fa to hɔ,fa to hɔ,0.0,0.0
56,Na biribiara dwoi,na bepera doi,0.6667,0.4667
57,Aane,aane,0.0,0.0
58,Woanyini kyɛn me,woanyini kyen me,0.3333,0.0714
59,Tikorɔ nnkɔ agyina,tirkor nn kɔ egina,1.3333,0.25
60,Me ho mfa me,me ho mfa me,0.0,0.0
61,Emu biara,emu biara,0.0,0.0
62,Woka borɔfo,woka borɔfo,0.0,0.0
63,Woforo dua pa a na yɛ pia wo,wofu duapa na yɛ pia o,0.625,0.2381
64,Neho ayɛ fi  paa,neho ayɛ fi paa,0.0,0.0
65,Akwadaa no to dwom,akwadanɔ to dwom,0.5,0.1333
66,Gye di,gye di,0.0,0.0
67,Okuu adubɔfoɔ,okuu adubɔfoɔ,0.0,0.0
68,"Kosɛ, manhyɛ da",kusɛ manhyɛ da,0.3333,0.0833
69,Ɛsoo aba pii,ɛsoo aba pii,0.0,0.0
70,Me hia wo mmoa,me hia wo mmoa,0.0,0.0
71,Medaase,medaase,0.0,0.0
72,Wo ewie,w’ ewie,0.5,0.1667
73,Merehwehwɛ Yaw,merehwehwɛ yaw,0.0,0.0
74,Wɔ nnwomkorɔ kuo bi mu,wɔ nnwomkorɔ kuo bi mu,0.0,0.0
75,Wo se sɛn,wo se sɛn,0.0,0.0
76,Hwɛ soro,hwɛ soro,0.0,0.0
77,Tikorɔ nnkɔ agyina,tikor nnkɔ agyina,0.3333,0.0625
78,Woo tɔ akɔ number bɛn so,wo tɔ agu number bɛn so,0.3333,0.1579
79,Nante yie,nante yie,0.0,0.0
80,Wo pɛ deɛn,wo pɛ deɛn,0.0,0.0
81,Woadi Ńkɔmmɔ mprɛnsa,woadi ńkɔmmɔ mprɛnsa,0.0,0.0
82,Maa wɔn ho yɛɛ huam,maa wɔn ho yɛɛ huam,0.0,0.0
83,ɛyɛ fɛ,ɛyɛ fɛ,0.0,0.0
84,ɛkɔm de me,ɛkɔm de me,0.0,0.0
85,Number bɛn na wo pɛse wo tɔ gu su,number bɛn na wo pɛse wo tɔ gu su,0.0,0.0
86,Nsu kɔm de me,nsu kɔm de me,0.0,0.0
87,Ne nea Ɔsɛe de yɛɛ buburoo wei,ne nea ɔsɛi de yɛɛ buburoo wei,0.1429,0.0417
88,Me credit aka sɛn,me credit aka sɛn,0.0,0.0
89,Maa wɔn ho yɛɛ huam,maa wɔn ho yɛɛ hweam,0.2,0.1333
90,Deɛ edi kan,deɛ edi kan,0.0,0.0
91,Afenhyia pa,afehyia pa,0.5,0.1
92,ɛyɛ,ɛyɛ,0.0,0.0
93,Wote borɔfo,wote borɔfo,0.0,0.0
94,Me ho yɛ paa,me ho yɛ paa,0.0,0.0
95,Wo pɛ deɛn,wo pɛ deɛn,0.0,0.0
96,Dadeɛ bi twa dadeɛ bi mu,dadeɛ bi twa dadeɛ i mu,0.1667,0.0526
97,Yoo medaase,yoo medaase,0.0,0.0
98,ɛkɔm de me,omte me,0.6667,0.5
99,Daabi,daabi,0.0,0.0
100,Na ɔkɔe kowui,na ɔkɔe kowui,0.0,0.0
101,Wɔn ti,wɔn ti,0.0,0.0
102,Maa wɔn ho yɛɛ huam,maa wɔn ho yɛɛ huam,0.0,0.0
103,Mepaa’kyɛw Aane (spoken),mepaa’kyɛw aane so,0.3333,0.2105
104,Nante yie,nante yie,0.0,0.0
105,Wɔ ńkwankyɛn,wɔ ńkwankyen,0.5,0.0909
106,Ma me bi,ma me bi,0.0,0.0
107,Te so ma me,te so ma me,0.0,0.0
108,Medaase,medaase,0.0,0.0
109,Woo tɔ akɔ number bɛn so,woo to akɔ na maben so,0.5,0.3158
110,Me ho mfa me,me ho mfa miliy,0.25,0.4444
111,Merehwehwɛ Yaw,morohwehwɛ yaw,0.5,0.1538
112,Dan mu,dan mu,0.0,0.0
113,Yaw ne Ama,yaw ne ama,0.0,0.0
114,To so ma me,to so ma me,0.0,0.0
115,Adwoa Aboagye,adwoa aboagye,0.0,0.0
116,Woanyini kyɛn me,woanyini kyɛn me,0.0,0.0
117,Mtn,mtn,0.0,0.0
118,Te so ma me,te so ma me,0.0,0.0
119,Ɛsoo aba pii,ɛsoo aba pii,0.0,0.0
120,Me pɛse me tɔ credit na me de gu mtn number so,me pɛse me tɔ credit na mede gu mtn number so,0.1667,0.0
121,ɛyɛ fɛ,ɛyɛ fɛ,0.0,0.0
122,Emu biara,emu biara,0.0,0.0
123,Nsuo,nsuo,0.0,0.0
124,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,mepaa’kyɛw me pɛsɛ me tɔ mtn crredit,0.1429,0.0357
125,Pia no bio,pia no bio,0.0,0.0
126,Wɔn ti,wɔn ti,0.0,0.0
127,Gye di,gye di,0.0,0.0
128,Ne nea Ɔsɛe de yɛɛ buburoo wei,ne nea ɔsɛe de yɛɛ buburo wei,0.1429,0.0417
129,Hwan akonnwa,hwan akonnwa,0.0,0.0
130,Wo pɛsɛ wo yɛ deɛn ɛnɛ,wo pɛsɛ wo yɛ dɛɛng lɛ,0.3333,0.1765
131,Medaase mensa aka,medaase mensa aka,0.0,0.0
132,Mafe wo,mafe wo,0.0,0.0
133,Ɛsoo aba pii,ɛsoo aba pii,0.0,0.0
134,Yɛbehyia biom,yee behyia biom,1.0,0.1667
135,Wɔ ńkwankyɛn,wɔ ńkwacjɛn,0.5,0.2727
136,Yaw ne Ama,yaw ne ama,0.0,0.0
137,Mame bebree,mame bebree,0.0,0.0
138,Yeinom nyinaa yɛ wo dea,yeinom nyinaa yɛ wo dya,0.2,0.0526
139,Tuu no,tuu no,0.0,0.0
140,Ɔbebue n'ani ɔkyena,ɔbebue nani ɔkyena,0.0,0.0
141,Nokware di etuo,nokware di ethuo,0.3333,0.0769
142,Mee yɛ credit transfer 10 cedis,mee yɛ credit transfer  cedis,0.1667,0.0769
143,Na ɔkɔe kowui,na ɔkɔe kowui,0.0,0.0
144,Okuu adubɔfoɔ,nuu adubɔfo,1.0,0.25
145,Me sika no aka sɛn,me sika no aka sɛn,0.0,0.0
146,Mtn,mtn,0.0,0.0
147,Sua adeɛ,sua adeɛ,0.0,0.0
148,Network bɛn,network bɛn,0.0,0.0
149,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ bad nforal n  noal,0.5714,0.3636
150,Me pɛsɛ me tɔ credit 10 cedis,me pɛsɛ me tɔ credit  cedis,0.1429,0.087
151,Number bɛn na wo pɛse wo tɔ gu su,number bɛn na wo pɛse wo tɔ gu su,0.0,0.0
152,Medɔ wo,medɔ wo,0.0,0.0
153,Wo pɛsɛ wo yɛ deɛn ɛnɛ,wo pɛsɛ wo yɛ deen ɛnɛ,0.1667,0.0588
154,Ne nea Ɔsɛe de yɛɛ buburoo wei,ne nea ɔsɛe de yɛɛ buburo wei,0.1429,0.0417
155,Wɔ ńkwankyɛn,wɔ ńkwankyɛn,0.0,0.0
156,Mayera,mayera,0.0,0.0
157,Mepawokyɛw aane,mepawokyɛw aane,0.0,0.0
158,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ bad informal  nnip nyɛffrfrmal,0.4286,0.1515
159,ɛno akyi no,ɛno akyi no,0.0,0.0
