sample_id,reference,hypothesis,wer,cer
0,"Ni di osuɔtɔ nwu nkpo lakaalɛ nwɔ alɛ, “Kɔmɛnfiofa?”",ni di osuɔtɔ nwu nkpo lakaalɛ nwɔ alɛ kɔmɛnfiofa,0.0,0.0
1,"Bitambla lɛsaa le nimakpɔnɔnfɔsa ye ni kuninwii,",bitambla lɛsaalee nimaakpɔnɔ bɔsa ye ni kuninwii,0.4286,0.0976
2,"Bɛɛkpana di Kɔkpana Klekle Kukũ kamɛ alɛ, Saate nwu labu alɛ,",bɛɛkpana di kɔkpana klekle kukũ kamɛ alɛ saate nwu labu alɛ,0.0,0.0
3,"Bitanta diate nkpo okle di kamɛ lee. Nse onwii lee komiɛ alɛ ale ɔnɔɔfo kaamɛ lee yi, ni dikpe ni eele kpɛmblatɛ ɛɛta babule.",bitanta diate nkpo okle di kamɛ lee nse onwii lee komiɛ alɛ ale ɔnɔɔfo kaamɛ lee yi ni dikpe nii eele kpɛmblatɛ ɛɛta babule,0.0417,0.0101
4,Lɛsaa le di Kristo labuɛ aatɛ alɛ abata wo ni ninle nkpa be ninnaa ni kaloo.,lɛsaa le di kristo labuɛ aatɛ alɛ abata wo ni ninle nkpa be ninnaa ni kaloo,0.0,0.0
5,"Yesu lakaalɛ ma alɛ, “Be lɛsaa di Yaa kafa nwu nkpo ledie?",yesu lakaalɛ ma alɛ be lɛsaa di yaa kafa nwu nkpo ledie,0.0,0.0
6,"Ninfɛ di Yesu latɔkɔ nwɔ alɛ, “Nkpikiti nkpe atuɛ ya kamɛ mansiɛ nii, bakansiɛ nkpe ayo mante nii. Kafɔɔ ami Otii Obi, nnaa lɛba katɛ ni disi.”",ninfɛ di yesu latɔkɔ nwɔ alɛ nkpikiti nkpe atuɛ ya kamɛ mansiɛ nii bakansiɛ nkpe ayo mante nii kafɔɔ ami otii obi nnaa lɛbakatɛ ni difi,0.1111,0.0091
7,"Kafɔɔ nse buobuɛ bulɛ ‘otii nfũ kuokye’ yi, buɔyɛkɛ bulɛ batii ba mmle mabla wo lɛsaa, diekye bamuu lɛma beefũ beenu alɛ Yohane yi, Yaa ɔlaa buɛtɛtɛ aale.”",kafɔɔ nse buobuɛ bulɛ otii nfũ kuokye yi buɔyɛkɛ bulɛ batii ba mmle mabla wo lɛsaa diekye bamuu lɛma beefũ beenu alɛ yohane yi yaa ɔlaa buɛtɛtɛ aale,0.0,0.0
8,Baakpaa okosopo nwu kafɔɔ baasɛnkɛsa ni baasifiko leyo. Nioso otu late ma.,baakpaa okosopo nwu kafɔɔ baasɛnkɛsa ni baasifiko leyo nioso otu late ma,0.0,0.0
9,"Di alɛɛ anyɔ kamɛ, aatuo asaa, ni di ɔlaa biene wɔ mmle labiɛ kuakyaka Asia kasɔ kamuu nɛ. Nioso batii ba ninle ni Yuda batii ku mba ninanle ni Yuda batii kafɔɔ baanu ɔlaa nwu.",di alɛ aanyɔ kamɛ aatuo asaa ni di ɔlaa biene wɔ mmle labiɛ kuakyaka asia kasɔ kamuu nɛ nioso batii ba ninle ni yuda batii ku mba ninanle ni yuda batii kafɔɔ baanu ɔlaa nwu,0.0571,0.0072
10,"“Ninfɛ di banumbentɛ nwu nkpo latɔkɔ ma alɛ, ‘Oo, nnɔfɔ be bukle ni dilabawo awo ku aye. Nkpo oso bitɔɔkyɛ basunsutɛ nfũ biɛlaaya.’",ninfɛ di banumbentɛ nwu nkpo latɔkɔ ma alɛ oowo nnɔɔfɔ be bukle ni dilabawo awo ku aye nkpo oso bitɔɔkyɛ basunsutɛ nfũ biɛlaaya,0.087,0.0294
