sample_id,reference,hypothesis,wer,cer
0,"Yaayaa seettii, wii: —Mi yii Ruuhu hono wuugaandu ana jippoo iwde dow kammu faa hoɗi dow makko.",yahaaya seettii wii --mi yiyii ruuhu hono wuugaandu ana jippoo iwde dow kammu faa hoɗi dow maa,0.1765,0.1067
1,Homo woni duroowo mo yarataa kosam sewre mum?,homo woni duroowo mo yarataa kosam sewre mum,0.0,0.0
2,"Jamaa keewɗo filii mo, o haalani ɓe ngol banndol: —Aawoowo yalti sankoyde.",jamaa keewɗo filii mo o haalani ɓe ngol banndol aawoowo yalti sankoyde,0.0,0.0
3,Sabi min laatike fijirteeɓe yeeso aduna oo fuu: yeeso malaaikaen e yimɓe fuu.,sabi min laatake fijirteeɓe yeeso aduna oo fuu yeeso malaa'ika'en yimɓe fuu,0.1538,0.0317
4,"Oon wakkati fuu, o yamiri hoore Yaayaa taƴoyee ley kasu too.",oon wakkati fuu o yamiri hoore yaayaa taƴoyee ley kasu too,0.0,0.0
5,"Haala dokke ɗe Ruuhu Ceniiɗo hokkata ɗee, sakiraaɓe, miɗo yiɗi paamon ɗe faa gasa.",haala dokke ɗe ruuhu ceniiɗo hokkata ɗee sakiraaɓe mi wiɗi paamon ɗe faa gasa,0.1429,0.0455
6,"Taalibbo anndondirɗo e Jottinoowo Sadaka Mawɗo oo, yalti haaldi e debbo doomoowo damal ngal oo, naanni Piyeer.",taalibbo anndondirɗo e jottinoowo sadaka mawɗo oo yaltii haalde e debbo doomoowo demal ngal oo naannii piyeer,0.2353,0.044
7,"Gooto e yanooɓe ɗiɗon tontidaaɓe e makko ɓee ana ɲiŋa mo, ana wiya: —Wanaa aan woni Almasiihu naa?",gooto e yanooɓe ɗiɗon tontidaaɓe e makko ɓee ana niŋa mo ana wiya --wanaa aan woni almasiihu naa,0.0556,0.013
8,"Ɓe njehi, ɓe tawri hono no o wii ɓe nii, ɓe lanndinii hiraande Paska ndee.",ɓe njehi ɓe tawri hono no o wii ɓe nii ɓe lamndinii hiraande paska ndee,0.0667,0.0175
9,"Pool ɓami naɓi worɓe ɓee, yaadi e mumen.",pool ɓami naɓi worɓe ɓee yaadi e mum'en,0.0,0.0
10,"Celliniraaɗo haaynde ndee oo, duuɓi muuɗum ana ɓuri capanɗe nay.",selliniraaɗo haaynde ndee oo duuɓi muuɗum ana ɓuri capanɗe nay,0.1,0.0189
11,"Yimɓe leydi Gerasa fuu ndaardi Iisaa yoppana ɗumen leydi mumen, sabi kulol manngol nanngi ɗumen.",yimɓe leydi gerasa fuu ndaardi iisaa yoppana ɗum'en leydi mum'en sabi kulol manngol nanngii ɗum'en,0.0667,0.0125
12,"Ɗal min ndarna ɗoo buguuji tati: aan wooturu, Muusaa wooturu, Iliyaasa wooturu.",ɗal me ndarna-ɗoo buguuji tati aan wooturu muusaa wooturu iliyaasa wooturu,0.25,0.0312
13,"Nden Iisaa wari darii hakkunde maɓɓe, wii ɓe: —Onon e jam!",nden iisaa wari darii hakkunde maɓɓe wi'i ɓe --onon e jam,0.0,0.0
14,"Kaa Iisaa, o waɗi ɗum e juuɗe maɓɓe, faa ɓe ngaɗa ɗum ko weli ɓe.",kaa iisaa o waɗi ɗum e juuɗe maɓɓe faa ɓe ngaɗa ɗum ko weli ɗi,0.0667,0.0417
15,"Jamirooje makko nganaa donngal, sabi ko iwi e Laamɗo fuu, jaaloto giɗaaɗe yonki.",jamirooje makko nganaa donngal sabi ko ƴuwi e laamɗo fuu jaaloto giɗaaɗe yonki,0.0769,0.0308
16,"Ana yiɗaa taalibbo wuurda no moobbo mum wuurdi fuu, maccuɗo duu no kalfaaɗo mum wuurdi.",ana yiɗaa taaliibu wuurda no mobbu mum wuurdi fuu maccuɗo duu no kalfaaɗo mum wuurdi,0.1333,0.0563
17,"Homo ɓuri teddude, jooɗiiɗo faa ɲaama naa ɓattinoowo ɲaamdu?",homo ɓuri teddude jooɗiiɗo faa naamanaa ɓattinoowo naamdu,0.3333,0.04
18,"Nde Iisaa nani kaa haala ndee, haaynaa e hooreejo sordaasien oo, yeeƴii yimɓe jokkuɓe e mum ɓee, wii: —Miɗo haalana on, mi yiyaali hono ngal goonɗinal e sellude fay e Israaiilanke.",nde iisaa nani kaa haala ndee haaynaa e hooreejo sordaasi'en oo yeeƴii yimɓe jokkuɓe e mum ɓee wii --miɗo haalana on mi yiyaali hono ngal goonɗinal e sellude fay e israa'iilanke,0.0,0.0
19,"Nde Iisaa yii inniraaɗo oo ndee, yurmii ɗum, wii: —Pati woy!",nde iisaa yii inniraaɗo oo ndee yurmii ɗum wii --pati woy,0.0,0.0
20,"Balɗe ɗiɗi caggal mum, kuurtungu waɗi ley ngalluure wiyeteende Kaana ley leydi Galili.",balɗe ɗiɗi caggal mum kurtuma waɗii ley ngalluure wiyeteende kaana ley leydi galili,0.1538,0.0694
21,Njehee ndoomiroyee yanaande ndee no mbaawru-ɗon fuu!,njehee ndoomree yanaande ndee mo mbaawru-ɗon fuu,0.2857,0.0909
22,"Kaa Iisaa wii: —Piyeer, miɗo haalane: fade ndontoori jogginde hannde a wiyan a anndaa kam cili tati.",kaa iisaa wii --piyeer miɗo haalane fade ndontoori jogginde hannde a wiyan na anndaa kam cili tati,0.0588,0.0127
23,"Ɗum saabii homo e mon fuu waaltina hakkille banndum, gooto fuu faaboo goɗɗo banngal goonɗinal, hono no ngollirton nii.",ɗum saabii homo e mon fuu waltina hakkille banndum gooto fuu faaboo goɗɗo banngal goonɗinal hono no ngollirton nii,0.0526,0.0103
24,"Mo goonɗinaali fuu tilike sareede, sabi goonɗinaali Ɓii Laamɗo bajjo oo.",mo goonɗinaali fuu tilki sareede sabi goonɗinaali ɓii laamɗo bajjo oo,0.0909,0.0333
25,"Nguleefi kii yaltini e majje mboddi, ndi soppi junngo makko.",nguleefi ki yaltini e majje mbooddi ɗi soppi junngo makko,0.3,0.0816
26,"Kaa Pool jippii, hippii e makko, ɓami mo e juuɗe muuɗum, wii: —Mbaaltee!",kaa pool jippii hippii e makko ɓami mo e juuɗe muuɗum wii --mbaaltee,0.0,0.0
27,"Ɓee ana ngullana ɗum ɗoo, ɓee too ana ngullana ɗum gaa.",ɓee ana ngullana ɗum ɗoo ɓeetu ana ngullana ɗum gaa,0.1818,0.0465
28,"Walaa ko o wiiri non, sinaa Iisaa yamirii seyɗaani oo yalta e neɗɗo oo.",walaa ko o wiiri non sinaa iisaa yamirii seyɗaani oo yalta e neɗɗo oo,0.0,0.0
29,"Saabe ɗum, miɗo wiya on: ɲannde darngal, jukkungo mon ɓuran ngo Tirus e Sidon ngoo naawde.",saabe ɗum miɗo wiya on nannde darngal jukkungo mon ɓuran ngo tirus e sidon ngoo naawde,0.0625,0.0141
30,"Ana tilsi pelle-pelle ngaɗa hakkunde mon, yalla hoolniiɓe jaati wonɓe e ley mon ɓee ana annditee.",ana tilsi pelle-pelle ngaɗa hakkunde mon yalla hoolniiɓe jaati wonɓe ley mon ɓee ana annditee,0.0625,0.0127
31,Sabi miɗo nii golla golle e ley wakkati mooɗon.,sabi miɗo nii golla golle e ley wakkati mooɗon golle mo on ngoonɗintaa so neɗɗo haalaniino on caggal pool e barnabas njaltii waajordu nduu jamaa oo ndaardi ɓe yo ɓe ngartu fowteteende waroore yalla eɓe njokka e,3.1111,3.5789
32,"Laaci maggal wuuwi tatoɓere koode kammu, wedii ɗum e leydi.",laaci maggal wuuwi tatoɓere koode kammu wedii ɗum e leydi,0.0,0.0
33,On fuu yo on keɓu jam onon yimɓe Iisaa Almasiihu ɓee!,on fuu yo on keɓu jam onon yimɓe iisaa almasiihu ɓee,0.0,0.0
34,"Kaa neɗɗo fuu jiɗɗo Laamɗo, Laamɗo ana anndi ɗum.",kaa neɗɗo fuu jiɗɗo laamɗo laamɗo ana anndi ɗum,0.0,0.0
35,"Ɓe fuu ɓe mbemmbaa, ɓe cikkitii, ɓe mbiyondiri: —Koɗum ɗum foti laataade?",ɓe fuu ɓe mbemmbaa ɓe cikkitii ɓe mbiyondiri --koɗum ɗum foti laataade,0.0,0.0
36,Oɗon njiɗi mi yoppitana on kaananke Yahuudiyankooɓe oo naa?,oɗon jiiɗi mi yoppitana on kananke yahudiyankoɓe o na,0.5556,0.14
37,"Nde ɓe tilinoo ɲaagaade Laamɗo ndee, nokku ɗo ɓe kawritinnoo ɗoo dimmbii.",nde ɓe tilinoo naagaade laamɗo ndee nokku ɗo ɓe kawritinnoo ɗoo dimmbi,0.1667,0.0333
38,"Nelaaɓe sappo e ɗiɗon ɓee noddi jamaa goonɗinɓe oo fuu, mbii: —Minen, yoppude konngol Laamɗo, min kiinnoo jakkaade hiraande, sellantaa min.",nelaaɓe sappo e ɗiɗon ɓee noddi jamaa goonɗinɓe oo fuu mbii --minen njoppude konngol laamɗo min kinnoo jakkaade hiraande sellantaa min,0.0952,0.0268
39,O waɗi ɗum hakke ɲalaaɗe ɗe jomen annde ɓee ndokki mo taƴoral mum ɗee.,o waɗi ɗum hakke nalaaɗe ɗe jom'en annde ɓee ndokki mo taƴoral mum ɗee,0.0714,0.0179
40,"No anndirten ko woni jilli dee, Almasiihu hokkitirii yonki mum kammari men.",no anndirten ko woni jilli dee almasiihu hokkitirii yonki mum kammari men,0.0,0.0
41,"Saabe majjum, haala mbonka ɓe kaalata, aduna oo ana hettinanoo ɓe.",saabe majjum haala bonka ɓe kaalata aduna oo ana hettinanoo ɓe,0.0909,0.0189
42,"O jaabii ɓe, o wii: —Onon nee, koɗum waɗi so oɗon luutta yamiroore Laamɗo ndee faa njokkon neesu mooɗon?",o jaabii ɓe o wii --onon nee koɗum waɗi so oɗon luutta yamiroore laamɗo ndee faa njokkon neesu mooɗon,0.0,0.0
43,"Ɓoornotooɓe kaddule lobbe so nguura nguurndam lobbam ɓee, e cuuɗi kaanankooɓe tawetee.",ɓornotooɓe kaddude lobbe so nguura nguurndam lobbam ɓee e cuuɗi kaanankooɓe tawetee,0.1667,0.0274
44,Ɗiin luutti kaɲumen njippinta tikkere Laamɗo e dow saliiɓe goonɗinde mo ɓee.,ɗiin luuttii ka num'en njippinta tikkere laamɗo e dow saliiɓe goonɗinɗe mo ɓee,0.3333,0.0469
45,"Sabi ɲalaaɗe ngaran nde yimɓe mbiyata: «Rewɓe rimarɓe e deeɗi ɗi caawaali abada e enɗi ɗi muyninaali, mbelii hoore!",sabi nalaaɗe ngaran nde yimɓe mbiyata rewɓe rimarɓe e deeɗiɗi caawaali abada e enɗiɗi muuyninaali mbelii hoore,0.3158,0.0215
46,"Miin Pool e Timote, maccuɓe Iisaa Almasiihu, mbinndi oo ɓataaki faade e deental goonɗinɓe Iisaa gonngal ngeenndi Filipa.",miin pool e timote maccuɓe iisaa almasiihu binndi oo ɓataaki faade e deental goonɗinɓe iisaa gonngal ngeenndi filipa,0.0556,0.01
47,Ɓe ngaɗanii kam ko onon on mbaawaa waɗande kam saabe waasude mon taweede.,ɓe ngaɗanii kam ko onon on mbaawaali waɗande kam saabe waasude mon taweede,0.0769,0.0333
48,"Iisaa yalti, fai waamnde haayre wiyeteende Jaytun no o woowiri nii.",iisaa yalti fa'i waamnde haayre wiyeteende jaytun no o woowiri nii,0.0,0.0
49,"Jooni eɗen njeyaa e goongaraajo oo, sabi eɗen ɲiiɓi e Ɓiyiiko Iisaa Almasiihu.",jooni eɗen njeyaa e goonga raajo oo sabi eɗen niiɓi e ɓiyiiko iisaa almasiihu,0.2308,0.0156
