sample_id,reference,hypothesis,wer,cer
0,Tega kam maama koge mo ye ka ta leere.,Tega kam maama kogwe mo ye ka ta leere.,0.1111,0.0345
1,Ko nam bá dáane se abam tiini á keeri.,Ko nam bá daane se abam tiini á keeri.,0.1111,0.0345
2,pa se ba teene dem zwɛ de daare di-dwonnu yerane.,Pa se ba teene dem zwɛ de daare de dwoi nu yerane.,0.3,0.0526
3,Konto mo wó pa se á jwoori á na yazura ye á daare á lɔre kolo ŋwaane o na tiini o pa ko zo á yera to.,Konto mo wó pa se á jwoori á na yezura ye á daare á lɔre kolo ŋwaane o na tiini o pa ko zo á yera to.,0.037,0.0135
4,Abam wó kwei gare-fefale mo á ma ke Aron gare-dedɔrɔ kom de o yuu gare-yi dem.,Abam wó kwei gare fenfale mo á ma ke Arɔn gare-dɔrɔ kom de o yuu gare yi dem.,0.375,0.0678
5,amo Wɛ wó pa ba na amo verem dem.,Amo Wɛ wó pa ba na amo verem dem.,0.0,0.0
6,"Dɩ́ ko-biǝ-ba, abam daa ba taá lagɩ sɩ dɩ́ pʋpʋnɩ dɩ́ ta dɩ́ brɩ abam maŋa kalʋ wǝǝnu tɩntʋ na wʋ́ kɩ tɩn.","Dé kwo bia ba, abam daa bá ta-á lage se dé popone dé ta dé bere abam maŋa kalo wonnu tento na wó ke-ta.",0.8261,0.32
7,"Abam dwi dem wone, bu-kwe sem de á vara maama wone cheeri-bia bam ye amo nyem mo.","Abam dwi dem wone bukwe sem, de á vara maama wone cheeri bia bam, ye amo nyem mo.",0.1176,0.0
8,Asiria pɛ wom ma toŋe o dedɛɛra bam yiga tu se o zege Lakisi ne o nwoŋi de jar-keira kɔgɔ dedɛ o vo Jerusalem o gware Hezekia.,Asira pɛ wom ma toŋe o dedɛɛra bam yiga-tu se o zege Lakisi ne o nwoŋi de jare-keira kɔgɔ dedɛ o vo Jerusalem o gwaare Hezekiah.,0.2222,0.0408
9,Muni delo na daare to se á bibili-de memene ye á laam ma nuga á taare-te.,"Bom delo na daare to se á bebele memem, ye á laam ma nuga á taa te.",0.3125,0.2182
10,"Konto ŋwaane, á wó bwoŋi á chorro Isarele tiina bam we, ‘A nɔɔna’, de ‘A bu-swonnu’.","Konto ŋwaane, á wó bwoŋi á chorro Isarele tiina bam we, ‘A nɔɔna, de a bu-swonnu.’",0.0,0.0
11,"Dɩ́ dɛɛn tu dɩ́ tɩtɩ mʋ nɩ biǝ te, yɩ dɩ́ laan nii abam lanyɩranɩ nɩ kaanɩ na jɩgɩ o biǝ o nii te tɩn.","De déem tu de tete mo ne bia tei, ye de laam nii abam lanyerane ne kaane na jege o bia o ni tei to.",0.76,0.3425
12,"” Tontoŋeno wom ma leiri‑o o we, “Nii, Wɛ tontoŋeno dedoa wo teo konto ne.",Tontoŋeno wom ma leiri o Wɛ ni. Wɛ tontoŋeno dedoa wo teo konto ne.,0.2143,0.0556
13,jejegero tem na wó taa daga dedɛ to ŋwaane.,Dei-jegero tem na wó ta daga dedɛ to ŋwaane.,0.2222,0.0882
14,"Isarele tiina bam ná yeini ba ja pɛɛra ba jeeri se ba pa-ne, ye tusim ná wora ba totoŋa yam ne, amo wó da Aron ŋwaane a yage a ma chɛ-ba, pa se a sɛ a jwoŋi ba pɛɛra yam konto.","Isarele tiina bam ná yeini ba ja pɛɛra ba jeeri se ba pa-ne, Yitu sem ná wora ba totoŋa yam ne, amo wó da Aron ŋwaane a yage a ma chɛ-ba, pa se a sɛ a jwoŋi ba pɛɛra yam konto.",0.0488,0.0154
15,Ba na jege dam ba ke tei to yɔɔre ko ba tɔge chwoŋa.,"Ba na jege dam ba ke tei to, yɔɔre ko ba tɔge chwoŋa.",0.0,0.0
16,Amo nɔɔna bam tusi belei mo ba daŋe ba yuu ne: Amo mo ye buli-yi delo na na pae ŋwea to.,Amo nɔɔna bam tusi belei mo ba daŋe ba yuu ne. Amo mo ye buli yi delo na na pae ŋwea to.,0.0952,0.0
17,Á laam ma‑á wó boŋe wonnu telo ya na pɛ abam foone to boboŋa.,Á laam ma wó boŋe wonnu telo ya na pɛ abam foone to boboŋa.,0.0714,0.0217
18,"Á ná ke konto, amo de wó zeili Amori tiina bam, de Kanaan tiina bam, de Hiti tiina bam, de Pɛrizi tiina bam, de Hivi tiina bam dedaane Jebusi tiina bam maama se ba nwoŋi ba daare tega kam ba pa abam.","Á ná ke konto, amo de wó zeili Amɔre tiina bam, de Kenan tiina bam, de Hɛti tiina bam, de Pɛrizi tiina bam, de Hivi tiina bam dedaane Jabuze tiina bam maama se ba nwoŋi ba daare tega kam ba pa abam.",0.0952,0.0526
19,Ba ta ma lɛɛre ba mɔ kɔɔra se ba ke ba na ba wone.,Ba ta maa lɛɛre ba mɔ kɔɔra se ba ke ba na ba wone.,0.0714,0.0278
20,Jeeli-na ko di-dedwaaro tem ni.,Jeeli-na ko di dedwaaro tem ni.,0.4,0.0
21,O ta ma ke takworru dedɛ ko wone.,Ko ta ma ke takworru dedɛ ko wone.,0.125,0.04
22,Wolo na ke o tɔge Wɛ nia yam to.,Wolo na ke o tɔge Wɛ nia yam to,0.0,0.0
