sample_id,reference,hypothesis,wer,cer
0,"Fɩlɩsɩtɩa tɩŋŋaa kʋ yuo Iziral tɩŋŋaa a kpʋba woruŋ peel-la ba sɩɩ yɩrɛ Gɩlɩbʋa lɛ, ka ba dɔnsʋŋ fá a lɛl.","fɛɛ ɲaa ʧɛŋga, kuu yuu ɩzɛɛ ʧɛŋga, akɔba woloŋ, pɛɛla, ba syeere, gɛlɛbwalɛ, kaba doosɔn fɛɛ ɛlɛm.",0.0454,0.0067
1,"Ka Fɩlɩsɩtɩa tɩŋŋaa laalɩyuoroo kire to Sɔɔl arɩ ʋ hambolibiisiŋ harɩŋ, a kpʋ ʋ hambolibiisiŋ deemba batori: Jonataŋ, Abɩnadab arɩ Malɩkɩ-Sʋa.","Kafi, latia tengan lali yuro krito. Sol are wabili-bili sengaran. Akup wabili-bili din bobotori. Jonathan, Abinadab, are Malekisua.",0.0476,0.0036
2,"Laal-la sɩ kʋ lɩma kɛŋ Sɔɔl, ʋ dʋndɔŋŋɔɔ yagʋ arɩ to-hɛŋŋɛɛ, a bolimu.",la lasoko lama kansol odondongo yako are tuhenge abolu,0.0769,0.0096
3,"Ŋɩɩ nɛ Sɔɔl bʋla pɩ nɩɩ-la sɩ kori ʋ laalɩyuori kɩaa, “Lɩɩsɛ ŋ tokobiiŋ a tɔɔmɛ kpʋ, ŋɩɩ dee disiŋ tɩŋŋaa deemba jaŋ kʋ kpʋmɛ a tʋʋsɛ mɩ joŋŋoo.” Ama fawʋllʋŋ fa kɛŋ nɩɩ-la sɩ kori ʋ laalɩyuori kɩaa nɛ, ʋ bɩ wuo ŋaa ŋɩɩ. Ŋɩɩ nɛ Sɔɔl lɩɩsɛ ʋ tɩtɩa tokobiiŋ a pɛ, a tel ʋ nyuŋ a kpʋ ʋ tɩtɩa.","Ngn soa, bila nala sekuri olal yuurikia, lese entoko biing atomoko. Ngi de, disentanga deemba yang kome atoosumijongo. Ama fawon lon fakan nala sekuri olal yuurikia ne, owowo nganggi. Ngn soa, lese otitiiye toko biing ape etel unyung ako otitiye.",0.0156,0.0024
4,"Nɩɩ-la sɩ kori Sɔɔl laalɩyuori kɩalɩŋ sɩ na dɩ ʋ sʋba, ʋ ma lɩɩsɛ tokobiiŋ kpʋ ʋ tɩtɩa a pɛ Sɔɔl lɛ.",nila sikure solaali yore kyalan sana do osaba o malisito gubin bo oma otetiya ape sola,0.0455,0.0068
5,Sɔɔl arɩ ʋ hambolibiisiŋ batori arɩ ʋ dɩa nɩaa kala sʋʋ hɛ dɔŋɔ.,"So are a one bullet vision with Tory, are odd yeah near a color so head down.",0.1006,0.0154
6,"Iziral tɩmma-la sɩ hɛ Jɛzɩrɛl fuonaaŋ lɛ sɩ na dɩ Iziral laalɩyuoroo kala fá a lɛl, ka Sɔɔl arɩ ʋ hambolibiisiŋ ma sʋʋ, ba lɩɩ fá kagɛ ba tasɩŋ lɛ. Ŋɩɩ nɛ Fɩlɩsɩtɩa tɩŋŋaa kʋ jʋʋ hɔŋ ba lɛ.",A a tumla se a yel telefon nang lesana de isal al yuru kala fa al al le faka ke batasa le nene felisiya ta nga ko juhoŋ bele.,0.025,0.0042
7,"Taŋ sɩ pʋla Fɩlɩsɩtɩa tɩmma-la sii mʋ dɩ ba wuri nɩalɩŋ ba sɩ kpʋa kɩaa, ba na dɩ Sɔɔl arɩ ʋ hambolibiisiŋ batori sʋʋ pɩŋ Gɩlɩbʋa peeliŋ nyuŋ.","Tansapula felia tema lesi, mo daba wuri, nialam basapua kia, bana desol aro uhambuliwisun botoru, sopan gelebua felin yuno.",0.0344,0.0037
8,"Ba keri Sɔɔl nyuŋ aŋ wuri ʋ laalɩyuori kɩaa, aŋ tɩŋ nɩaa ba gɔllɔ heele bʋl wɩɩ-la sɩ ŋaa Fɩlɩsɩtɩa tɩŋŋaa tinteeŋ kala lɛ arɩ ba vesiŋ dɩɩsɩŋ lɛ.","beke reso ɲuŋ aŋwuri olaliyorokia aŋtaŋnya bagolo hele bolowela 50, fulasiyatenga tintin kalale arebe vesin disɛn le",0.0345,0.0039
9,"Ba joŋ ʋ laalɩyuori kɩalɩŋ a bil ba vesiŋ dɩa lɛ, aŋ joŋ Sɔɔl nyuŋ sagɛ ba vene-la ba sɩɩ yɩrɛ Dagɔŋ dɩa lɛ.",a dyonola yorukhyalan a bil vɛsɛn dyala a njon sol nyun sakɛ bɛ vɛnɛlabasɛyɛɛ dagon dyala,0.0382,0.0057
