sample_id,reference,hypothesis,wer,cer
0,“Maanib bi ke ipiih i aapihkpaal cha i wɔŋ ŋijoo ponn ni na la.,maanib bi ke ipii aapikpaak ha i woŋ nijoo pon i na,0.6429,0.2292
1,Li cha aate ni aana aah nan chaa ŋiwaa aabɔnabr bi chee na.,bica aateni aana aah nan cha ŋiwaa aabɔnab bi che na,0.5385,0.1087
2,"Isakar ŋichur piiŋmu ni ŋinaa, ni ikui inaa.",aŋichurkpiib ŋmuni ŋinaa ni iko ina,0.75,0.2857
3,Binib ngem mu bi ke njikaabim mu lir ikokon ponn ni na la.,bininfɔb bubaa mu na ni m di bimmɔ lu ikonkon aape nin e,0.9231,0.5556
4,Kina pu le Ahab kuun Israel aanib mɔmɔk ni liwaal Baal aawaadam ke bi keln tɔb Kamel Aajool paab.,kina pu le ahab kuun isral aanib mɔmɔk ni liwaabaan aawaadam ke bi keln tɔb kameel aajool paa,0.2632,0.0641
5,"Ni lik ke kitiŋ ngbaan bi kinye, ki lik ke binib biŋa bi ki ponn ni, ki lik ke bi kpa mpɔɔn kinye.",ni lik ke kitiŋ ngbaan bi kinye ki lik ke binib bi ŋa bi ki ponn ni ki lik ke bi kpa mpɔn nye,0.1739,0.0411
6,"Le ni saa tikur tiwae yoonn, le u ki buen kinyaŋ ni ki ti mui bijab bibaa si nima, kaa kpa lituln libaa.",ni nan foo tikur ti wee aayook le u jon ki nyaŋni ki taa mii bijab bibaa si ni aan kaa joo ton i,0.7391,0.4177
7,"Tisufar ngbaan aabil le ye liwaatiir, ŋibil mɔmɔk filk jer lima la.",ŋa timɔrmɔn aa le u len ke aa ni jee na ni ye i ŋab timɔrmɔn ken ni baa ke idi ibaa mu,1.75,0.8519
8,"Cha binib bi kpokl m pu na aalan ŋmal, aan bi fenn bipuwɔb.",tha binib bi kpokl m pu na aalan ŋmar aan bi fenn bi poo,0.3077,0.1333
9,"Aaronn ni uyaabitiib mɔmɔk ga li joo nkaal ngbaan kina, le ki cha n‑yoonn mu kaa kpa ndoon na.",ronn ni uyaabitiib mɔmɔk ga li joo nkaal ngbaan ki na le ki cha nyoonn mu kaa kpa ndoon na,0.1579,0.0274
10,"“Libiln ni kan, ni dan ki nan doon min, nimi Israel yaab Aadindaan Uwumbɔr, u ni dii u na, nfum mutaa.",libiln ni kan ni dan ki nan doon mi nimi israel yaab aadindaan uwumbɔr  ni dii u na nfu mitaa,0.1905,0.0526
11,"Bi dak ke ni ga duun la, ni yaa kaa ye kina kan, u ga kpo.",bi nan tuk ke ni nyi duun le naa ye ma ke  y,0.75,0.6
12,"Moses yaa ti koo li ponn ni kan, le ntaalangbam dan nan sil Libool ngbaan aabisamɔb, le Uwumbɔr len Moses chee tibɔr ntaalangbam ngbaan ponn ni.",moses yaa ti koo li ponn ni kan le ntaalangbalm dan nan sil libool ngbaan aabisamɔb le uwumbɔr len moses chee tibɔr ntalangbm nbaa p n ni,0.1923,0.0603
13,"Le butɔb aajab aaninkpel Julius gee Pɔɔl aabɔr, ki cha u buen ujɔtiib chee nima, u ti kan waah ban pu na.",lesijam aaninkpel julis kpee pɔɔl bu ki chee u jon ujɔtiib ban ninyaan u da kan waa ban na»,0.5909,0.4074
14,Pɔɔl aah tuk Ubɔr Agripa waabamɔn pu na.,pɔɔl kaa gbee ubɔr aagbiipaa aaɔ,0.75,0.5
15,"Le u ga gaa bi lii na kpa mpɔɔn, waayimbil le ye Uwumbɔr Mpɔɔnsakpiindaan.",le u ga gaa bili nan kpa mpɔɔn waayimbin le ye uwumbɔr mpɔn sapin,0.4286,0.1695
16,"Bi yaa kan limukl ti pu kan, bee binib yaa ŋa bi falaa ti pu kan, libuul ngbaan ni, le bi ga di ti lii.",bi kan limukl ibuken beei binifoob jim falaa ibuken liboln liboln limɔn yaa le bi ta i,0.76,0.4667
17,"Le u ti bui ubɔr ke, “Nte ni nkpetiib fuu ni a.",le u ti bui ubɔr ke nte  npi  n,0.4167,0.3636
18,"U nan ŋman le ki nyun nnyun, le ki ki gir doon.",u na ŋman le ki nyu nnyun l ki kii gir don,0.4167,0.1471
19,"Ni di tikumann ŋmeen ŋa tiwan ni mɔmɔk ni joo tun lituln Libool ngbaan ni na, ni laakpaa mu.",ni di tikuman ŋmeen ŋa tiwan ni mɔmɔk ni joo tun lituln libooln ngbaan ni na ni laa ka m,0.2632,0.0694
20,"Uwumbɔr aabɔnabr, u bi nan yin u ke Elaija, aan u nyan ni Tisbe aatiŋ ki bi Gilead ni na le nan bui Ubɔr Ahab ke, “M ye timi Israel yaab Aadindaan Uwumbɔr u bi na aatutunn.",uwumbɔr aabɔnabr u bi nan yin u ke elaija aan u nyan ni tesbee aatiŋ ki bi gilea ni na le nan bui ubɔr aahab ke m ye timi israel yaab nan uwumbɔr u bi na aatutu,0.1351,0.0916
21,"Uwumbɔr len ke, “Tak Merataim ni Pekod aatim aanib man.",umbɔr len ke ta umirataim ni peekoo aatim  ni m,0.6,0.2558
22,"Le Uwumbɔr aatuun ngbaan bui u, “Fii ki yoor ubo ngbaan ni una ki gir buen Juu yaab aatiŋ ni.",lin uwmbɔr aatulramɔn bee u fii ki yuor ki bi mumɔ ni una mari ki jir ki jo juu yaab aatiŋ,0.7,0.4648
23,U joo limɔyiir le kpae titunwanbir pu; le ki ŋani Uwumbɔr mbɔnyun ti mɔmɔk aanimbil ni.,u limɔɔyiik le kpa titunwanbir pu le ki ŋani uwumbɔr mbɔnyun ti mɔmɔk aanimbil ni,0.1875,0.0857
24,"David aataani ubaa u, u nan tun na le ye Hef aanii Uria aabɔr na baanja.",daid aataani ubaa u u nan tun na le ye hef aani ur aabɔr a a,0.3125,0.1818
25,"N‑yoonn mumɔk paa ni na, ni li tii Uwumbɔr njan aamaab u ni ken na kina cha.",nyoonn mumɔk paan ni na ni li tii uwumbɔr njan aamaab uni ke na kina cha,0.2353,0.0351
26,"Waah kpa kikumɔŋ ke likaakul ki bi ke nkun na, waa babr tiwan nibaa, le ki nyaŋni ŋitimbol ki chur binib mɔmɔk tinaagbiir.",waa kpa kikumɔn kee likaakul ki bi ke nkun na waah bab tiwan nibaa le ki nyaŋni ŋitimbol ki chur binib mɔmɔk tinaagbii,0.2609,0.0619
27,"Ni ŋa idɔja iloob ki di ŋa Libool ngbaan aawilir, lipuwɔb, aan ki ŋa idɔja ilee siin ŋigulɔ mɔk ni.",ni ŋa idɔja ilool ki di ŋa libokl ngbaan aawul lir lipuwɔb aan ki ŋa idɔja ilee siin ŋi gol l n,0.4,0.1299
28,U nan bi ki ti saa ŋibin ikui itaa ni imonko itaa ni ŋiŋmu.,u nan bi i ti saa ŋibin iko itaa ni imonko itaa ni ŋŋ,0.2143,0.1333
29,Waah nan nan por pu na le kitaafaak aaween ibaa nan wɔb u.,waah nan por pu na le ki taa faa aawein ibaa nan wɔb,0.4615,0.1333
30,"N‑yoonn mu bi fuu na, le Josef koo itaan aatɔroku ponn ni, le ki buen ute chee nima chee.",nyoonn mu bi fuu na le josef koo itaa aatoorokoo ponn ni l ki buen ute che nima chee,0.2105,0.1045
31,"M nan kan mbaa le ki bui ke, “Ubaa aan ki ŋmaa nyaŋ mi.",m nan kan mbaa le ki bui ke ubaa aan ki ŋmaa na mi,0.0714,0.0513
32,Uwumbɔr Aadichal aan nya nimi ntafadaan ni.,uwumbɔr aadichal aan nyan nimi ntafadaan,0.2857,0.0833
